商品,ジャンル,シナリオ,仕入単価_円,仕入数量_個,国内送料_円,FBA入庫送料_円,販売価格_円,販売手数料率,販売手数料_円,FBA配送代行料_円,在庫保管料_月_円,粗利_円_per個,粗利率,回転日数_推定,仕入総額_円,全消化時総売上_円,全消化時総コスト_円,全消化時総利益_円,消化率反映_想定総利益_円
商品①シャンプー詰替パウチ,ヘルス&ビューティー,楽観,700,30,1000,1200,1580,10%,158,413,6,303,19.2%,15,21000,47400,38330,9070,15440
商品①シャンプー詰替パウチ,ヘルス&ビューティー,中央,800,30,1500,1500,1480,10%,148,413,8,111,7.5%,21,24000,44400,41070,3330,11160
商品①シャンプー詰替パウチ,ヘルス&ビューティー,悲観,900,30,2500,2000,1380,10%,138,413,12,-83,-6.0%,35,27000,41400,44690,-3290,-5100
商品②猫用おやつ ちゅーる類似品,ペット用品,楽観,480,20,800,1000,1180,8%,94,413,5,188,15.9%,12,9600,23600,19860,3740,18500
商品②猫用おやつ ちゅーる類似品,ペット用品,中央,550,20,1200,1300,1080,8%,86,413,7,24,2.2%,18,11000,21600,21120,480,13500
商品②猫用おやつ ちゅーる類似品,ペット用品,悲観,650,20,2000,1800,980,8%,78,413,10,-171,-17.4%,30,13000,19600,23022,-3422,-2800
商品③ステンレスタンブラー真空断熱,ホーム&キッチン,楽観,1200,15,1500,1500,2980,15%,447,455,12,866,29.1%,25,18000,44700,31710,12990,28200
商品③ステンレスタンブラー真空断熱,ホーム&キッチン,中央,1400,15,2000,2000,2780,15%,417,455,16,492,17.7%,35,21000,41700,35820,5880,19800
商品③ステンレスタンブラー真空断熱,ホーム&キッチン,悲観,1700,15,3000,2800,2580,15%,387,455,22,16,0.6%,60,25500,38700,40830,-2130,1200
3商品合計,合算,中央,-,65,9500,-,-,-,-,-,-,-,13.5%,-,56000,107700,97990,9710,44460
