採否,除外理由,商品名(Amazon),asin,jan,カテゴリ,仕入先名,BuyBox実価格,相乗り数,名寄せ一致,score,仕入URL,※Keepa固有の加工値(月間ドロップ数/過去最安値/365日最安/月間販売数/実セラー数)と卸値の列は規約上の理由でリポジトリから除外。完全版は ~/Documents/AI Company 素材/Amazon物販事業/keepa-netsea-full-20260906/
候補,,ARTIST SUPPORT ITEM COLLABORATION 1/,B0DJD67WZM,4582779492997,hobby,ARTIST SUPPORT ITEM COLLABORATION 1/2ハンド,3800,2,1.0,351,https://store.shopping.yahoo.co.jp/amiami/goods-04538459.html,
候補,,【お手入れ簡単】ドウシシャ 卓上扇風機 スリムコンパクトファン Lite,B0BXBMQQHD,4550557284027,home_kitchen,ドウシシャ 卓上扇風機 スリムコンパクトファン Lite 3電源（AC USB ,4680,2,0.67,221,https://store.shopping.yahoo.co.jp/lifestyle-007/60369.html,
候補,,阪和 mercyu メルシーユー 詰替用フレグランスオイル MRUS-5,B08L53J7RY,4944370029185,home_kitchen,メルシーユー 詰め替え フレグランスオイル 480ml 2本セット MRUS-5,4280,3,0.67,167,https://store.shopping.yahoo.co.jp/otegoro-m/o-n-b08l53j7ry.html,
候補,,東北エスパル 伊達 直 (替刃式) 裁断用 TECY-0360,B00LP4JT7U,4969968102620,diy_tools,板金ハサミ 伊達直 替刃式 裁断用 東北エスパル TECY-0360,54800,5,0.86,140,https://store.shopping.yahoo.co.jp/oktools/tecy-0360.html,
候補,,【修正パーツなし】フレームアームズ・ガール 迅雷 [Fresh Skin,B01BHK3JAE,4934054108213,hobby,中古プラモデル [修正パーツ付] 迅雷 Fresh Skin Limbs App,4010,5,1.0,136,https://store.shopping.yahoo.co.jp/suruga-ya/603070909001.html,
候補,,ポケットモンスター サウンドぬいぐるみ ポケモン モルペコ (まんぷくも,B09K7JP4Y7,4904790713514,toys,サウンドぬいぐるみ ポケモン モルペコ[タカラトミーアーツ]《在庫切れ》,3800,5,0.75,95,https://store.shopping.yahoo.co.jp/amiami/goods-04146224.html,
候補,,スイスイおえかき ドラえもん どこでもボード【ひらがな・とけい・ABC・,B07PP2QZRT,4977554212684,toys,スイスイおえかき ドラえもん どこでもボード【ひらがな・とけい・ABC・おえかき,4280,5,1.0,89,https://store.shopping.yahoo.co.jp/japantradeshop/4977554212684.html,
候補,,カードファイト！！ ヴァンガード スペシャルシリーズ第8弾 はじめようデ,B0C14638HJ,4573592712492,toys,カードファイト！！ ヴァンガード スペシャルシリーズ第8弾 はじめようデッキセッ,6850,3,1.0,88,https://store.shopping.yahoo.co.jp/amiami/card-00021257.html,
候補,,東北エスパル ニューロール TENR-0240,B00LP4JEOS,4969968102743,diy_tools,ニューロールα ハンド折曲機 東北エスパル TENR-1240,53100,2,0.8,70,https://store.shopping.yahoo.co.jp/oktools/nyu-ro-ru.html,
候補,,ヴァイスシュヴァルツブラウ ブースターパック ホロスターズ BOX,B0CMQDSV27,4573592713833,toys,ヴァイスシュヴァルツ ブラウ ブースターパック ホロスターズ 10パック入り /,4980,2,0.5,62,https://store.shopping.yahoo.co.jp/fishingcat/11286.html,
候補,,ガチアクタ VIBRATION STARS -エンジン- 約19㎝,B0GJTRJ9D1,4573102694416,hobby,中古フィギュア エンジン 「ガチアクタ」 VIBRATION STARS-エンジ,3544,2,0.8,41,https://store.shopping.yahoo.co.jp/suruga-ya/602309699001.html,
候補,,ティファール ケトル 1.2L ジャスティンプラス カカオブラック KO,B00LGM51IC,3045386368792,home_kitchen,ティファール電気ケトル 1.2L ジャスティンプラス カカオブラック 湯沸かし ,7180,5,0.83,36,https://store.shopping.yahoo.co.jp/trendline/3045386368792.html,
候補,,303 High Tech Fabric Guard ハイテックファブリ,B000221H08,0082043006508,hobby,【撥水剤】303 ファブリックガード（FABRIC GUARD）スプレーボトル(,6358,2,0.5,21,https://store.shopping.yahoo.co.jp/dc12v-shop/dc12vsp-2900418mk.html,
候補,,ikins iPhone 16 Pro ケース 天然貝 ステンドグラス ,B0DG8K94B5,4582741611326,appliances,ikins 天然貝ケース for iPhone 16 Pro ステンドグラス ピ,5890,3,1.0,7,https://item.rakuten.co.jp/e-bear/4582741611326/?rafcid=wsc_i_is_4ed6972d-e2cc-4305-981d-a8f878fdd2c3,
候補,,ikins iPhone 16 ケース 天然貝 神奈川沖浪裏 [ パール,B0DG8JJWF6,4582741611159,appliances,ikins アイキンス 天然貝ケース for iPhone 16 神奈川沖浪裏 ,5890,2,0.86,6,https://item.rakuten.co.jp/b-surprise2/4582741611159/?rafcid=wsc_i_is_4ed6972d-e2cc-4305-981d-a8f878fdd2c3,
候補,,ikins iPhone 16 ケース 天然貝 モナ・リザ [ パール ,B0DG8K9XHF,4582741611173,appliances,ikins アイキンス 天然貝ケース for iPhone 16 モナ・リザ I,5890,3,0.86,6,https://item.rakuten.co.jp/b-surprise2/4582741611173/?rafcid=wsc_i_is_4ed6972d-e2cc-4305-981d-a8f878fdd2c3,
候補,,ikins iPhone 16 Pro ケース 天然貝 魚と猫 [ パー,B0DG8KV3YZ,4582741611203,appliances,ikins アイキンス 天然貝ケース for iPhone 16 Pro 魚と猫,5890,3,0.86,6,https://item.rakuten.co.jp/b-surprise2/4582741611203/?rafcid=wsc_i_is_4ed6972d-e2cc-4305-981d-a8f878fdd2c3,
除外,ブランド制限,OLYMPUS 電動式パンケーキズームレンズ M.ZUIKO DIGIT,B013N4V40E,8808311551165,appliances,【中古】（新古品） OLYMPUS 電動式パンケーキズームレンズ M.ZUIKO,31999,4,0.8,1190,https://item.rakuten.co.jp/bearhomes/2025-04-27-170/?rafcid=wsc_i_is_4ed6972d-e2cc-4305-981d-a8f878fdd2c3,
除外,ブランド制限,タカラトミー プラレール 200系カラー新幹線 (E2系) ＆ E3系新,B0BQTN62L8,4904810903376,toys,【関東 中部 送料無料】プラレール 200系カラー新幹線 (E2系) ＆ E3系,9990,3,0.75,590,https://store.shopping.yahoo.co.jp/toys-selection/4904810903376.html,
除外,ブランド制限,京セラ(Kyocera) 旧リョービ プロ用 充電式小型レシプロソー 本,B09R44D3YP,4960673616150,diy_tools,KYOCERA 京セラ　プロ用品　14.4V充電式小型レシプロソー　DRJ120,20000,9,0.83,501,https://store.shopping.yahoo.co.jp/handskotera/drj120.html,
除外,ブランド制限,西川 敷きパッド 冷感 ファミリーサイズ 洗える ひんやり＆タオル地 リ,B086X4G89Z,4976008646693,home_kitchen,冷感敷きパッド ファミリーサイズ ワイドキング 200×205cm 西川 夏 ひ,8780,2,0.8,459,https://store.shopping.yahoo.co.jp/k-q/9f-pm37001224.html,
除外,ブランド制限,ドクターエア　3DスーパーブレードS（ブラック）,B01N022O5E,4580235554869,sports,ドクターエア 3DスーパーブレードS SB-002BK Dr.Air エクササイ,21800,3,0.75,454,https://store.shopping.yahoo.co.jp/refun/20173.html,
除外,ブランド制限,TOMIX Nゲージ 国鉄 72・73形 鶴見線 セット 98490 鉄,B0B2Z34S92,4543736984900,hobby,TOMIX Nゲージ 98490 国鉄 72・73形通勤電車(鶴見線) 3両セッ,18000,4,1.0,378,https://store.shopping.yahoo.co.jp/ootsukamokei/98490.html,
除外,ブランド制限/名寄せ低,Dragon Ball S.H.フィギュアーツ 孫悟飯ビースト 約140,B0CCX83ZH3,4573102650412,toys,S.H.Figuarts 孫悟飯ビースト ドラゴンボール超 スーパーヒーロー◆新,25630,10,0.33,376,https://store.shopping.yahoo.co.jp/bii-dama/52990962.html,
