jan,name,source,amazon,asin,category,size,verdict,offer_count,sales_rank,oos90,tier1,tier2,tier3,kw,※Keepa固有の加工値(月間ドロップ数/過去最安値/365日最安/月間販売数/実セラー数)と卸値の列は規約上の理由でリポジトリから除外。完全版は ~/Documents/AI Company 素材/Amazon物販事業/keepa-netsea-full-20260906/
4582532192744,水筒 700ml 保温 保冷 ハンドル付き スクリューボトル アウトドア キャン,Yahoo,1880.0,B0BBPKJPS9,home_kitchen,standard_1,はずれ,1,57,0.01,False,False,False,水筒 ステンレス,
4971860037665,水筒 食洗機対応 ステンレスマグ 600ml 500ml以上 ハンドル付き 保冷,Yahoo,2100.0,B0DV546KGN,home_kitchen,standard_1,はずれ,12,1443,0.0,False,False,False,水筒 ステンレス,
4582532194120,水筒 500ml 520ml 保温 保冷 真空断熱 ステンレス 軽量 ワンタッチ,Yahoo,1498.0,B0BXWS1JQR,home_kitchen,standard_1,はずれ,2,2849,0.06,False,False,False,水筒 ステンレス,
4582532193901,水筒 1リットル 1L 保温 保冷 ハンドル付き スクリューボトル アウトドア ,Yahoo,1980.0,B0BBQ3ZFCL,home_kitchen,standard_1,はずれ,1,57,0.01,False,False,False,水筒 ステンレス,
4573608580350,水筒 500ml 保温 保冷 真空断熱 ステンレス 軽量 スクリューボトル マグ,Yahoo,1398.0,B0FPQMHGB8,home_kitchen,standard_1,はずれ,1,855,0.01,False,False,False,水筒 ステンレス,
4573603020110,サーモス 真空断熱スポーツボトルFJU-1001 水筒 1000ml 1L ボト,Yahoo,3345.0,B0GKDWSG68,home_kitchen,standard_1,はずれ,26,30,0.0,False,False,False,水筒 ステンレス,
4582532195196,水筒 700ml 保温 保冷 真空断熱 ステンレス シームレスボトル スクリュー,Yahoo,2280.0,B0BSN386G5,home_kitchen,standard_1,はずれ,1,3559,0.01,False,False,False,水筒 ステンレス,
4973307376054,当店限定柄新登場 スケーター 水筒 470ml キッズ カバー 付き 直飲み K,Yahoo,2649.0,B06XHFSFLY,home_kitchen,standard_1,はずれ,10,15497,0.0,False,False,False,水筒 ステンレス,
4974305226532,SD-HB10(BA) 象印 ステンレスボトル 水筒 プロテクトアーマー搭載 ク,Yahoo,3880.0,B0CQTP38LL,sports,standard_1,はずれ,24,152,0.0,False,False,False,水筒 ステンレス,
4562344394000,サーモス 真空断熱スポーツボトル FJS-1000F 水筒 1L マグ ステンレ,Yahoo,3700.0,B0CTMHLWQF,home_kitchen,standard_1,はずれ,46,143,0.0,False,False,False,水筒 ステンレス,
