asin,category,jan,amazon_price,buybox,sales_rank,offer_count,size,buy_source,verdict,gem,durable,liquid,name,bb_confirmed,count_new_confirmed,※Keepa固有の加工値(月間ドロップ数/過去最安値/365日最安/月間販売数/実セラー数)と卸値の列は規約上の理由でリポジトリから除外。完全版は ~/Documents/AI Company 素材/Amazon物販事業/keepa-netsea-full-20260906/
B07TNSBVX7,home_kitchen,4549980278154,39888.0,,50065,2,large_1,Yahoo,原石,True,True,False,パナソニック コンパクトオーブン トースト焼き加減自動調整 8段階温度調,,2,
B07TNS9RM5,home_kitchen,4549980278147,33500.0,,50065,2,large_1,Yahoo,原石,True,True,True,パナソニック コンパクトオーブン トースト焼き加減自動調整 8段階温度調,33500.0,2,
B08L53J7RY,home_kitchen,4944370029185,4280.0,,50145,3,standard_1,Yahoo,原石,True,True,True,阪和 mercyu メルシーユー 詰替用フレグランスオイル MRUS-5,4280.0,3,
B0BXBMQQHD,home_kitchen,4550557284027,4680.0,,50375,2,standard_1,Yahoo,原石,True,True,True,【お手入れ簡単】ドウシシャ 卓上扇風機 スリムコンパクトファン Lite,4680.0,2,
B0BXBNSYP3,home_kitchen,4550557284119,6500.0,,50377,2,standard_1,Yahoo,原石,True,True,True,【自動首振り】 ドウシシャ 卓上扇風機 スリムコンパクトファン Swin,6500.0,2,
B004VIT5C6,home_kitchen,4940316702037,3080.0,,50575,2,standard_1,楽天,原石,True,True,False,ZERO JAPAN ハニーポット BRM-40 CA・キャロット w1,,2,
B0BS5GQQNF,home_kitchen,4521121251097,4850.0,,50669,7,standard_1,Yahoo,原石,True,True,True,スヌーピー ＳＮＯＯＰＹ’ｓＬＩＦＥｉｎａＢＯＴＴＬＥ,4850.0,7,
B0876MZ6RY,home_kitchen,4974019147178,51600.0,,50752,2,large_2,Yahoo,原石,True,True,True,シャープ 除湿機 兼 加湿空気清浄機 除湿 5L / プラズマクラスター,51600.0,2,
B091G63GSC,home_kitchen,4973307533150,3450.0,,50778,2,small,Yahoo,原石,True,True,True,スケーター(Skater) ステンレス タンブラー 300ml スヌーピ,3450.0,2,
B0797XCW8X,home_kitchen,4549980067475,3980.0,,50839,4,standard_1,Yahoo,原石,True,True,True,パナソニック(Panasonic) 屋内用ダウンライト LGB73520,3980.0,4,
B086X4G89Z,home_kitchen,4976008646693,8780.0,,50948,2,standard_2,Yahoo,原石,True,True,True,西川 敷きパッド 冷感 ファミリーサイズ 洗える ひんやり＆タオル地 リ,8780.0,2,
B00LGM51IC,home_kitchen,3045386368792,7180.0,,50957,5,standard_2,Yahoo,あやしい,True,True,True,ティファール ケトル 1.2L ジャスティンプラス カカオブラック KO,7180.0,5,
B0DKHKMPVG,home_kitchen,4523931057852,51700.0,,50962,4,large_1,楽天,原石,True,True,True,Bamix（バーミックス）フードプロセッサー 万能 調理用 (スマートプ,51700.0,4,
B0B8S3KFMK,home_kitchen,4903779123818,5500.0,,51039,2,large_1,楽天,原石,True,True,True,和平フレイズ お手入れ簡単 【調理器具セットF】 片手鍋 16cm & ,5500.0,2,
B07NR427QF,home_kitchen,4547441327137,5287.0,,51141,6,standard_2,Yahoo,原石,True,True,False,パナソニック(Panasonic) エアコン配管材スッキリダクト 本体 ,,6,
B0719898YM,drugstore,4901121267616,4250.0,,50014,6,large_2,Yahoo,原石,True,True,True,【まとめ買い】ネピア ネピネピ トイレットロール 12ロール ダブル (,4250.0,6,
B0B2LFH4TW,drugstore,4987286416458,3650.0,,50024,6,standard_1,Yahoo,原石,True,True,True,【指定医薬部外品】のどスッキリうがい薬CPピーチ味300ml 5個セット,3650.0,6,
B0CT5LNHW9,drugstore,4580039801015,9636.0,,64366,4,large_2,Yahoo,原石,True,True,True,バンブークリア Bamboo Clear (3L 詰替用)【 2個セット,9636.0,4,
B008OEUCLG,drugstore,4964433150014,3465.0,,50301,6,large_1,楽天,原石,True,True,True,オーサワ　マザータッチ No.1500R（洗濯用） 1L　x2個セット,3470.0,6,
B07HBR4PRK,drugstore,4946842635900,4367.0,,50323,5,standard_1,Yahoo,原石,True,True,True,【2個セット】ディアナチュラ 29アミノ マルチビタミン&ミネラル 30,4367.0,5,
B0D178NW8Z,drugstore,0884465103298,5860.0,,50356,2,standard_1,Yahoo,原石,True,True,True,【3個セット】2WEEKメニコン プレミオ トーリック 【BC】8.60,5860.0,2,
B0D171655F,drugstore,0884465103250,5860.0,,50356,2,standard_1,Yahoo,原石,True,True,True,【3個セット】2WEEKメニコン プレミオ トーリック 【BC】8.60,5860.0,2,
B0D173718S,drugstore,0884465101256,5860.0,,50356,2,standard_1,Yahoo,原石,True,True,True,【3個セット】2WEEKメニコン プレミオ トーリック 【BC】8.60,5860.0,2,
B0D175HCR3,drugstore,0884465103458,5860.0,,50356,2,standard_1,Yahoo,原石,True,True,True,【3個セット】2WEEKメニコン プレミオ トーリック 【BC】8.60,5860.0,2,
B0D1725K5L,drugstore,0884465103373,5860.0,,50356,2,standard_1,楽天,原石,True,True,True,【3個セット】2WEEKメニコン プレミオ トーリック 【BC】8.60,5860.0,2,
B0BPX3H217,diy_tools,4934446200310,4509.0,,39554,3,small,Yahoo,原石,True,True,True,（株）コバックス トレカット ブロック ブラック／５０枚 7142 K-,4510.0,3,
B003X0H07K,diy_tools,4905009782574,7150.0,,50470,8,large_1,楽天,あやしい,True,True,False,アイリスオーヤマ 自転車スタンド ブラック BYS-3,,8,
B00LP4JEOS,diy_tools,4969968102743,54200.0,,50580,2,standard_2,Yahoo,あやしい,True,True,True,東北エスパル ニューロール TENR-0240,53100.0,2,
B00LP4JT7U,diy_tools,4969968102620,54800.0,,50580,5,standard_1,楽天,あやしい,True,True,True,東北エスパル 伊達 直 (替刃式) 裁断用 TECY-0360,54800.0,5,
B00IX8DX1Y,diy_tools,4547441225471,11100.0,,50751,7,standard_1,Yahoo,原石,True,True,True,パナソニック(Panasonic) 漏電ブレーカ BJW-50型 3P3,11100.0,7,
B00N1QN5KW,diy_tools,4560171673015,8800.0,,50868,3,large_1,Yahoo,原石,True,True,True,末松電子 電気柵 ゲッターシステム用 Sガイシ (100個) 301,8800.0,3,
B081Y1VRX3,diy_tools,4970925156624,5145.0,,51129,2,standard_1,楽天,原石,True,True,True,アサヒペン スタンダードタイプカベ紙用のり １６００Ｇ ７６５ ５個セッ,5155.0,2,
B09X5FWNX4,diy_tools,4987125009056,4192.0,,51170,3,standard_2,Yahoo,原石,True,True,True,株式会社立石春洋堂 大型ハエ取り紙 虫とりカレンダーシート 10枚入り×,4192.0,3,
B08BTMCP1Q,diy_tools,4984834126517,30833.0,,51178,10,large_1,Yahoo,原石,True,True,False,まつうら工業 青色ニューテトロン水平親綱 緊張器付 16mmΦ×15m ,,10,
B0GPDV6B12,diy_tools,4901080326911,3287.0,,26923,6,small,楽天,原石,True,True,True,マモルーム ダニ用 取替えボトル 2ヵ月用 2本入×2個,3287.0,6,
B00LLSNOFI,diy_tools,0088381437752,12000.0,,51346,12,standard_2,Yahoo,あやしい,True,False,False,マキタ(Makita) 高圧スリック 15m A-57227,12000.0,12,
B0FL7L49YH,diy_tools,4966376420070,92500.0,,51467,2,large_2,楽天,原石,True,True,False,HiKOKI(ハイコーキ) 36V 充電式 丸のこ C3605DA(SK,,2,
B09R44D3YP,diy_tools,4960673616150,20000.0,,51837,9,standard_2,Yahoo,原石,True,True,True,京セラ(Kyocera) 旧リョービ プロ用 充電式小型レシプロソー 本,20000.0,9,
B0G5QMRBXN,diy_tools,4994152002646,38600.0,,52143,2,large_2,Yahoo,原石,True,True,True,【9本セット】 初田製作所 ハツタ HATSUTA 消火器 2026年製,38600.0,2,
B0G5QGC5V4,diy_tools,4994152002646,66300.0,,52143,2,large_2,Yahoo,原石,True,True,True,【16本セット】 初田製作所 ハツタ HATSUTA 消火器 2026年,66300.0,2,
B0G62Q6T9R,diy_tools,4994152002646,78750.0,,52143,2,large_2,楽天,原石,True,True,True,【19本セット】 初田製作所 ハツタ HATSUTA 消火器 2026年,78750.0,2,
B0G62SQHX7,diy_tools,4994152002646,34300.0,,52143,2,large_2,Yahoo,原石,True,True,True,【8本セット】 初田製作所 ハツタ HATSUTA 消火器 2026年製,34300.0,2,
B0G5PYZXCZ,diy_tools,4994152002646,30000.0,,52143,2,large_2,Yahoo,原石,True,True,True,【7本セット】 初田製作所 ハツタ HATSUTA 消火器 2026年製,30000.0,2,
B0G5PD7YC2,diy_tools,4994152002646,70450.0,,52143,2,large_2,Yahoo,原石,True,True,True,【17本セット】 初田製作所 ハツタ HATSUTA 消火器 2026年,70450.0,2,
B0G5QRYQJ5,diy_tools,4994152002646,62150.0,,52143,2,large_2,Yahoo,原石,True,True,True,【15本セット】 初田製作所 ハツタ HATSUTA 消火器 2026年,62150.0,2,
B0G5VGM914,diy_tools,4994152002646,42900.0,,52143,2,large_2,Yahoo,原石,True,True,True,【10本セット】 初田製作所 ハツタ HATSUTA 消火器 2026年,42900.0,2,
B0G31V6FKZ,diy_tools,4994152002646,9910.0,,52143,2,large_2,Yahoo,原石,True,True,True,【まとめ買い】初田製作所 消火器 PEP-10N 本体: 奥行20cm ,9910.0,2,
B0G5Q58XTF,diy_tools,4994152002646,47200.0,,52143,2,large_2,Yahoo,原石,True,True,True,【11本セット】 初田製作所 ハツタ HATSUTA 消火器 2026年,47200.0,2,
B003YF9XU6,pet,4987222839686,5160.0,,30471,3,small,楽天,原石,True,True,True,MeijiSeikaファルマ リンパクト デリタブ 50個 (x 1),5160.0,3,
B00X556ERA,pet,4974105001087,3580.0,,56586,2,standard_1,Yahoo,原石,True,True,True,水作エイトM用 活性炭カートリッジ お買得10個入り,3580.0,2,
B07C3MWDSH,pet,4520699631584,5012.0,,56386,9,standard_2,Yahoo,原石,True,True,True,【ケース販売】銀のスプーン 三ツ星グルメ 4種アソート素材入り お魚鶏さ,5012.0,9,
B07FSF17J9,pet,4973321927423,3902.0,,50220,12,standard_2,楽天,原石,True,False,False,（まとめ買い）サンライズ プチアンジュ 超小型犬 1～6歳の成犬用 25,3902.0,12,
B0FM6ZNNFZ,pet,4902201217323,5274.0,,50374,2,standard_1,楽天,原石,True,True,True,【セット販売】ピュリナワン キャット 健康マルチケア 腎臓/尿路・お腹・,5274.0,2,
B0C3TTPHRZ,pet,4972547041975,3600.0,,56354,1,standard_1,Yahoo,原石,True,False,False,【セット販売】ラビレット 三角トイレシーツ 44枚入×2コ,2800.0,1,
B0CYNZMF96,pet,4520699680759,4080.0,,50364,6,standard_1,Yahoo,原石,True,True,True,【3個セット】デオトイレ 1週間消臭・抗菌 飛び散らない緑茶成分入り・消,4080.0,6,
B0CKSC38WB,pet,5214002707668,30690.0,,21821,3,large_2,楽天,原石,True,True,True,アンブロシア HMNダック 12kg,30690.0,3,
B09MVRHP5S,pet,4520699649831,4206.0,,50401,2,standard_1,Yahoo,原石,True,True,True,【セット販売】銀のスプーン ドライ 贅沢素材バラエティ 肥満が気になる猫,4164.0,2,
B0CW616JGT,pet,4994527916509,5183.0,,50417,7,standard_1,Yahoo,原石,True,True,True,【6個セット】アース・ペット パックリン ノーマットタイプ60日用 取替,5183.0,7,
