メーカー名,種商品名,ASIN,カテゴリ,現ランク,現FBA出品者数,推定月販,参考価格,公式HP,問い合わせ手段,中小メーカー判定,JAN,備考
Match,[Match マッチ] カーゴパンツ メンズ ミリタリーパンツ 迷彩 ワークパンツ ８ポケット 大きいサイズ #3357(2XL/36， カーキ),B00E4QL2C6,ロングパンツ,6396,2,53.7,3420,不明,不明,△,6921555002582,カーゴパンツ。JAN先頭692...=中国系。Amazon相乗り前提の輸入ブランドで国内メーカー実体・窓口未確認
SSS·GRGB,SSS·GRGB ケース 12.3インチ Microsoft Surface Pro 7+/7/6/5/4/Pro LTE 保護用頑丈なカバーケース、スタイラスペンホルダーとハンドストラップ付き、タイプカバーキーボードに対応 カップリングピンク,B0D5428H1M,タブレットケース,6467,2,53.3,2799,不明,不明,△,,Surfaceケース。JAN無し・Amazon専売の無名輸入ブランド。国内窓口なしの可能性高
BAUERFEIND,"[BAUERFEIND] バウアーファインド SPORTS COMPRESSION SLEEVES ARM（スポーツコンプレッションスリーブ アーム） スポーツ用アームスリーブ ドイツ製 コンプレッションで筋振動を抑制 エネルギーを促進（Large/Short, ピンク (Pink),2枚組）",B076L2TC3X,サポーター,7288,2,50.0,7150,https://bauerfeind.p-supply.co.jp/,tel(072-875-8013)/form,○,4057532026066,ドイツ本社の医療用サポーター。国内正規輸入代理店=パシフィックサプライ株式会社(大阪府大東市)。直取引は代理店経由。ブランド自体は大手級だが窓口は明確
BAUERFEIND,"[BAUERFEIND] バウアーファインド SPORTS COMPRESSION SLEEVES ARM（スポーツコンプレッションスリーブ アーム） スポーツ用アームスリーブ ドイツ製 コンプレッションで筋振動を抑制 エネルギーを促進（X-Large/X-Long, ネイビー (Navy),2枚組）",B076KPLQNF,サポーター,7288,2,50.0,7150,https://bauerfeind.p-supply.co.jp/,tel(072-875-8013)/form,○,4057532026332,ドイツ本社の医療用サポーター。国内正規輸入代理店=パシフィックサプライ株式会社(大阪府大東市)。直取引は代理店経由。ブランド自体は大手級だが窓口は明確
UNITE,[UNITE] ミズノ(MIZUNO) メディカル ドクターコート 診察衣 レディース 医療用 白衣 【(ユナイト) MZ0175-3 サックス L,B07C1QD7VR,白衣,12450,2,37.0,5325,不明(ミズノ製品の販社ブランド疑い),不明,△,,ミズノ白衣。UNITEは販売者名の可能性。実メーカーはミズノ(大手)＝直取引ハードル高。ブランド実体の切り分け要
UNITE,ミズノ(MIZUNO) メディカル ドクターコート 診察衣 レディース 医療用 白衣 【(ユナイト) UNITE】 MZ0175-3 サックス LL,B07C1QFWBX,白衣,12450,2,37.0,5325,不明(ミズノ製品の販社ブランド疑い),不明,△,,ミズノ白衣。UNITEは販売者名の可能性。実メーカーはミズノ(大手)＝直取引ハードル高。ブランド実体の切り分け要
IK Multimedia,IK Multimedia iRig Stream Pro｜ストリーミングオーディオインターフェース、インラインマルチ入力ミキサー、プロ品質のストリーミングに必要なすべての機能を手のひらに。,B09D2JWQDY,オーディオインターフェイス,14266,2,34.3,45637,https://focal.co.jp/,form(focal.co.jp)/tel,○,8025813871038,伊IK Multimediaのオーディオ機器。国内正規代理店=フォーカルポイント株式会社(横浜市中区)。2024代理店契約。直取引は代理店経由
FIELDOOR(フィールドア),FIELDOOR タープテント スチール/アルミ共用 サイドフレーム補強パーツ 4本セット 簡単取り付け たわみ ゆがみ軽減 [ブラウンフレーム] [3.0m用],B08595C7FS,タープ,16184,2,32.0,3280,https://fieldoor.com/,mail(support@fieldoor.com),◎,4582553737917,運営=株式会社クローバー(東京都新宿区市谷砂土原町/資本金1000万/従業員約30名/2012ブランド登録)。国内自社ブランド・ネット販売中心＝メーカー仕入れ交渉余地あり。※一部情報源で運営会社名に揺れ(株式会社フォームレスト/大阪)あり要確認
DCE,DCE シースナイフ フルタングアウトドアナイフ 【Survival Man・サバイバルマンⅡ】 ATS-34鋼 コーティング黒染石洗仕上げ カイデックス収納鞘,B0CMWQ8FPZ,シースナイフ,19460,2,29.0,4900,不明,不明,△,8603481235767,アウトドアナイフ。JAN先頭860...=中国系。銃刀法の販売可否も別途確認要。国内窓口未確認
DRIPAC,DRIPAC 防水カーキーFOBケース 防水財布 防水ホルダーポーチ キーIDバッジ クレジットカード 現金用 (ブラック+ホワイト),B094XDZ3F4,キーケース・キーホルダー,29794,2,23.0,4200,不明,不明,△,0789093688349,防水キーケース。JAN先頭078...=北米UPC。Amazon専売の輸入ブランド。国内窓口未確認
DigiTech,【国内正規輸入品】DigiTech デジテック 12弦ギターモジュレーション MOSAIC モザイク,B00RC09YK8,ディストーション・オーバードライブ,31915,2,22.0,31113,https://www.kandashokai.co.jp/flos/digitech/,tel(03-3518-6871)/tel(0570-061-011),△大手疑い,0691991202926,米DigiTechギター機材。国内正規輸入代理店=株式会社神田商会(楽器業界大手)。参入ハードル高め
SEAWIND,"【ヘアケアのプロ監修】 SEAWIND シルク 枕カバー まくらカバー 洗える 両面シルク90% 19匁 美肌 美髪 うるつや髪 洗濯可 髪に優しい (ホワイト,50×70cm)",B0DHQVHM1M,枕カバー・ピローケース,692,2,16.7,2290,不明(公式コーポレートサイト無し),不明(Amazon/楽天ストア「自然の恵みセレクト」経由のみ),◎,4571555889830,シルク枕カバー。楽天公式ショップ=「自然の恵みセレクト」。独立コーポレートHP見当たらず＝小規模事業者の可能性高くメーカー仕入れ交渉の本命候補。要・販売元法人特定
