asin,name,category,amazon_price,buy_target_incl,net_at_target,margin_pct,manufacturer,brand,monthly_sales,rival_sellers,sales_rank,size,amazon_oos,maker_tel,maker_email,maker_url,scale_flag,criteria_ok,note,amazon_url
B0DK55RH4L,【2025最新進化・冷暖兼用・空気清浄 】タワーファン 扇風機 羽なし スリムファン 冷暖房 8段送風＆3段温風 100,home_kitchen,19998.0,10712,5000,25.0,Holiwil,Holiwil,52,3,50010,large_2,本体なし,,,,中小候補,True,要連絡先確認,https://www.amazon.co.jp/dp/B0DK55RH4L
B0FVFCQH3Q,サーモス（THERMOS） 水筒 ボトル マグ ステンレスボトル FFX-752 GYBW（ブラウン/ＦＦ）,home_kitchen,5791.0,2691,1448,25.0,サーモス(THERMOS),サーモス(THERMOS),52,20,50011,standard_1,本体なし,,,,中小候補,True,要連絡先確認,https://www.amazon.co.jp/dp/B0FVFCQH3Q
B0FPCYCZ4P,AIMECO 絨毯 約2.5畳 じゅうたん レトロ花柄 カーペット イエロー ラグマット ラグ ペルシャ柄 洗える 滑り,home_kitchen,6999.0,3116,1750,25.0,AIMECO,AIMECO,52,2,50012,large_1,本体なし,,,,中小候補,True,要連絡先確認,https://www.amazon.co.jp/dp/B0FPCYCZ4P
B0FP2BMJL9,AIMECOカーペット レトロ花柄 絨毯 約3畳 じゅうたん 短毛ラグマット ラグ ペルシャ 洗える 滑り止め 床暖房対,home_kitchen,8399.0,3752,2100,25.0,AIMECO,AIMECO,52,2,50012,large_2,本体なし,,,,中小候補,True,要連絡先確認,https://www.amazon.co.jp/dp/B0FP2BMJL9
B0G514DJ7R,AIMECO 洗える 滑り止め ラグ ペルシャ柄 高級 北欧風絨毯 カーペット 床暖房対応 防音 耐磨耗 リビング・寝室,home_kitchen,6699.0,2732,1675,25.0,AIMECO,AIMECO,52,2,50012,large_2,本体なし,,,,中小候補,True,要連絡先確認,https://www.amazon.co.jp/dp/B0G514DJ7R
B0FPCVTJCX,AIMECO絨毯 約3畳 じゅうたん レトロ花柄 カーペット イエロー ラグマット ラグ ペルシャ柄 洗える 滑り止め ,home_kitchen,8499.0,3812,2125,25.0,AIMECO,AIMECO,52,2,50012,large_2,本体なし,,,,中小候補,True,要連絡先確認,https://www.amazon.co.jp/dp/B0FPCVTJCX
B0FPCS94Q6,【Amazon.co.jp限定】YUSIDO 湯たんぽ ゆたんぽ 充電式 蓄熱式 電気湯たんぽ 急速充電 4~12H長時,home_kitchen,3280.0,1184,820,25.0,YUSIDO,YUSIDO,50,2,50013,standard_1,本体なし,,,,中小候補,True,要連絡先確認,https://www.amazon.co.jp/dp/B0FPCS94Q6
B0FVFF4QC6,サーモス（THERMOS） 水筒 ボトル マグ ステンレスボトル FFX-752 JTB（ブラック/ＦＦ）,home_kitchen,5791.0,2691,1448,25.0,サーモス(THERMOS),サーモス(THERMOS),52,18,50020,standard_1,本体なし,,,,中小候補,True,要連絡先確認,https://www.amazon.co.jp/dp/B0FVFF4QC6
B0FVFF3TT4,サーモス（THERMOS） 水筒 ボトル マグ ステンレスボトル FFX-752 ST-BL（ブルーグレー/ＦＦ）,home_kitchen,5792.0,2691,1448,25.0,サーモス(THERMOS),サーモス(THERMOS),52,18,50020,standard_1,本体なし,,,,中小候補,True,要連絡先確認,https://www.amazon.co.jp/dp/B0FVFF3TT4
B0FPCXHM5R,AIMECO 洗える 滑り止め ラグ ペルシャ柄 レトロ絨毯 カーペット 床暖房対応 防音 耐磨耗 リビング・寝室用 2,home_kitchen,8599.0,3872,2150,25.0,AIMECO,AIMECO,52,2,50021,large_2,本体なし,,,,中小候補,True,要連絡先確認,https://www.amazon.co.jp/dp/B0FPCXHM5R
B0G58X13DZ,AIMECO 洗える 滑り止め ラグ ペルシャ柄 高級 北欧風絨毯 カーペット 床暖房対応 防音 耐磨耗 リビング・寝室,home_kitchen,8199.0,3632,2050,25.0,AIMECO,AIMECO,52,2,50021,large_2,本体なし,,,,中小候補,True,要連絡先確認,https://www.amazon.co.jp/dp/B0G58X13DZ
B09JZBNW42,人感センサーライト LED バーライト USB充電式 足元灯 人感センサー 工事不要 長さ18cm 大容量 800mAh,home_kitchen,2469.0,697,617,25.0,四季光源,四季光源,52,2,50028,standard_1,本体なし,,,,中小候補,True,要連絡先確認,https://www.amazon.co.jp/dp/B09JZBNW42
B08KGDPF6Z,ニッコー 布団ばさみ 大型 ふとんばさみ ブルー 2個組×2個セット P-18 ｜ 布団バサミ 物干し ベランダ バルコ,home_kitchen,2633.0,796,658,25.0,ニッコー,ニッコー,60,3,37977,standard_1,本体なし,,,,中小候補,True,要連絡先確認,https://www.amazon.co.jp/dp/B08KGDPF6Z
B08Y8RYN16,アイリスオーヤマ フライパン 鍋 専用ハンドル フライパンセット 深型 目盛り付き 計量カップいらず ハンドル 持ち手 ,home_kitchen,1880.0,344,470,25.0,アイリスオーヤマ(IRIS OHYAMA),アイリスオーヤマ(IRIS OHYAMA),52,7,50028,standard_1,本体なし,,,,中小候補,True,要連絡先確認,https://www.amazon.co.jp/dp/B08Y8RYN16
