preset,ASIN,商品名,ブランド,メーカー,カテゴリ,ランク,新品オファー数,セラー名一覧,メーカー直販フラグ,新品最安値(送料込),価格定義混在,採用窓,損益分岐仕入れ値,損益分岐仕入れ値_精緻,FBAサイズ区分,外注費,規模フラグ,段1回転,段2値下げ耐性,判定,見送り理由,出品制限チェック,Amazonページ,※Keepa固有の加工値(月間ドロップ数/過去最安値/365日最安/月間販売数/実セラー数)と卸値の列は規約上の理由でリポジトリから除外。完全版は ~/Documents/AI Company 素材/Amazon物販事業/keepa-netsea-full-20260906/
A,B0FYG2NDBR,モバイルバッテリー MagSafe対応 10000mAh ワイヤレス充電 22.5W急速充電 USB-C内蔵ケーブル 小型 軽量 薄型 最大3台同時充電 PD対,CHUSII,"Shenzhen Joway Power Supply Co., Ltd.",家電＆カメラ > 携帯電話・スマートフォン > 携帯電話・スマートフォンアクセサリ,2538,3,JunqianStore / Camer Tech / 惠州市博莱博科技有限公司,,1563,はい,2026-02-23以降,833,965,標準(小型),182,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FYG2NDBR,
A,B0GK7MN552,骨伝導イヤホン bluetooth、Kemeskin 水泳 防水イヤホン IP68完全防水 32GBメモリ内蔵 最大8000曲 こつでんどうイヤホン bluet,Kemeskin,"Dongguan Kemi Electronic Technology Co., Ltd",家電＆カメラ > イヤホン・ヘッドホン > イヤホン・ヘッドホン本体,6198,4,henanjinganlongkejiyouxian / Kemeskin Direct JP,メーカー直販,5301,いいえ,2026-02-23以降,3154,4250,標準(小型),182,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0GK7MN552,
A,B0G7G1XGS2,プロジェクター 小型 270°回転 ネイティブ1080P 32000LM 天井投影 Bluetooth5.4 ホームプロジェクター 4k対応 家庭用プロジェクタ,Alprojec,Alprojec,家電＆カメラ > テレビ・レコーダー > ホームプロジェクター,1748,3,Benkaer【翌日発送】 / Alprojec / Al-Alprojec【当日発送】,メーカー直販,5699,はい,2026-02-23以降,3421,4526,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0G7G1XGS2,
A,B0FSSPVT5C,ソーラーモバイルバッテリー 大容量 40800mAh 【22.5W/PD18W急速充電 4本ケーブル内蔵】 6台同時充電 ソーラーチャージャー,Toyomii,Toyomii,家電＆カメラ > 携帯電話・スマートフォン > 携帯電話・スマートフォンアクセサリ,4467,2,PEILUN SHOP / TianXiang-shop,,3488,はい,2026-02-23以降,1985,2492,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FSSPVT5C,
A,B0FDQ73HJJ,水月雨 Moondrop Pill オープンイヤー型ワイヤレスイヤホン イヤーカフ イヤホン オープンイヤー ワイヤレス Bluetooth 6.0,Moondrop,Moondrop,家電＆カメラ > イヤホン・ヘッドホン > イヤホン・ヘッドホン本体,4951,2,水月雨(MOONDROP)公式ストア / e☆イヤホン【イヤホン・ヘッドホン専門店 16時までの通常注文は当日発送！】,メーカー直販,6750,はい,2026-02-23以降,3485,4719,標準(小型),182,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FDQ73HJJ,
A,B0GCFT1YLL,Evinof テレビ スピーカー ワイヤレス【テレビ全機種対応★2.4G送信機同梱】手元スピーカー テレビ用 最大30m 低遅延 27時間連続再生,Evinof,Evinof,家電＆カメラ > ポータブルオーディオ > ポータブルスピーカー・ドック,1652,2,Evinof-shop / Evinof-direct,メーカー直販,6997,いいえ,2026-02-23以降,4266,5721,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0GCFT1YLL,
A,B0FSKR4BSQ,Shell 100W 急速充電器 Type-c 4ポート PSE技術基準適合,Shell,"‎Shenzhenshi Ezreal Technology Co.,Ltd",家電＆カメラ > 携帯電話・スマートフォン > 携帯電話・スマートフォンアクセサリ,2067,2,,,2429,はい,2026-02-23以降,1396,1762,標準(小型),182,中小候補,GO,GO,見送り,相乗り出品が基準未満（卸している証拠なし）,,https://www.amazon.co.jp/dp/B0FSKR4BSQ,
A,B0CXSM7ZQL,Sound Blaster GS3 ブラック 12W RMS/ピーク出力24W ゲーミング サウンドバー,CREATIVE,クリエイティブ・メディア,パソコン・周辺機器 > PCスピーカー,4351,2,,,7182,はい,2026-02-23以降,4386,5891,大型,282,中小候補,GO,GO,見送り,FBA大型サイズ,,https://www.amazon.co.jp/dp/B0CXSM7ZQL,
A,B0FSSL4JP2,ソーラーモバイルバッテリー 大容量 63200mAh 22.5W/PD18W急速充電 手回し充電 ケーブル内蔵 ソーラーチャージャー 防水 ブラック,Toyomii,Toyomii,家電＆カメラ > 携帯電話・スマートフォン > 携帯電話・スマートフォンアクセサリ,3650,2,PEILUN SHOP / IGARASHI STORE,,5111,いいえ,2026-02-23以降,2990,3856,標準2,332,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FSSL4JP2,
A,B0F1Y625QH,【正規品】 ネットギア NETGEAR スイッチングハブ 8ポート ギガ 金属筐体 VLAN QoS 静音ファンレス メーカー5年保証 アンマネージプラス GS,NETGEAR,ネットギア,パソコン・周辺機器 > 無線LAN・ネットワーク機器 > スイッチングハブ,3510,4,,,7413,はい,2026-02-23以降,3691,4907,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0F1Y625QH,
A,B0B5FWS7J7,オウルテック ライトニングケーブル 巻取り式 両引きタイプ データ転送 480Mbps MFi認証取得 軽量 コンパクト 静音 iPhone/iPad対応 1.,オウルテック,オウルテック,パソコン・周辺機器 > PCアクセサリ・サプライ > ケーブル・アクセサリ,4307,3,オウルテック ダイレクト / ミーニャ 簡易梱包、衣類ぬいぐるみ等は圧縮後発送となります / ECJOY! [創業24年インボイスT7011001061049],メーカー直販,1780,はい,2026-02-23以降,963,1149,標準(小型),182,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0B5FWS7J7,
A,B0GCFK5NF3,Evinof ネックスピーカー テレビ用【テレビ全機種対応★2.4GHz送信機同梱】テレビスピーカー ワイヤレス 低遅延 左右バランス調整 マイク付き,Evinof,Evinof,家電＆カメラ > ポータブルオーディオ > ポータブルスピーカー・ドック,3412,3,国海商店 / Evinof-direct / Evinof-shop,メーカー直販,6999,はい,2026-02-23以降,4267,5723,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0GCFK5NF3,
A,B0CN99RD5L,TELESIN スマホネックレスマウント スマホ ネックホルダー 磁気マグネット 首掛けスマホホルダー iPhone対応,TELESIN,TELESIN°,家電＆カメラ > 携帯電話・スマートフォン > 携帯電話・スマートフォンアクセサリ,2019,2,TELESIN GLOBAL / TELESIN Shop,メーカー直販,3215,はい,2026-02-23以降,1807,2241,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0CN99RD5L,
A,B0GH6S573Q,【Amazon.co.jp -直営商品-2026年プライムデー 先行販売】ワイヤレス イヤホン Bluetooth ANC+ENCノイズキャンセリング イヤフォ,ノーブランド品,ノーブランド品，JASICDIET,家電＆カメラ > イヤホン・ヘッドホン,1606,2,JASICDIET【メーカー直営店・１年保証付】,,3790,はい,2026-02-23以降,2027,2655,標準(小型),182,中小候補,GO,GO,見送り,相乗り出品が基準未満（卸している証拠なし）,,https://www.amazon.co.jp/dp/B0GH6S573Q,
