preset,ASIN,商品名,ブランド,メーカー,カテゴリ,ランク,新品オファー数,セラー名一覧,メーカー直販フラグ,新品最安値(送料込),価格定義混在,採用窓,損益分岐仕入れ値,損益分岐仕入れ値_精緻,FBAサイズ区分,外注費,規模フラグ,段1回転,段2値下げ耐性,判定,見送り理由,出品制限チェック,Amazonページ,※Keepa固有の加工値(月間ドロップ数/過去最安値/365日最安/月間販売数/実セラー数)と卸値の列は規約上の理由でリポジトリから除外。完全版は ~/Documents/AI Company 素材/Amazon物販事業/keepa-netsea-full-20260906/
A,B0GK7MN552,骨伝導イヤホン bluetooth、Kemeskin 水泳 防水イヤホン IP68完全防水 32GBメモリ内蔵 最大8000曲 こつでんどうイヤホン bluet,Kemeskin,"Dongguan Kemi Electronic Technology Co., Ltd",家電＆カメラ > イヤホン・ヘッドホン > イヤホン・ヘッドホン本体,6198,4,henanjinganlongkejiyouxian / Kemeskin Direct JP,メーカー直販,5301,いいえ,2026-02-23以降,3154,4250,標準(小型),182,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0GK7MN552,
B,B0GL852YPJ,Keculboデジカメ 5K 75MP デジタルカメラWIFI スマホに送れるオートフォーカス3.0インチ180度回転画面 Micro SDカード黑,Keculbo,Keculbo,家電＆カメラ > カメラ > デジタルカメラ,6044,4,Keculbo-ghl / Keculbo 株式会社,メーカー直販,11499,はい,2026-02-23以降,5508,7480,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0GL852YPJ,
B,B0FPB5DSB4,"Anker Charger (100W, 3 Ports) with USB-C & USB-Cケーブル ダークグレー",Anker,Anker,家電＆カメラ > 携帯電話・スマートフォン > 携帯電話・スマートフォンアクセサリ,3387,2,AnkerDirect / 安心末広ショップ,メーカー直販,9990,はい,2026-02-23以降,3611,4794,標準1,282,大手/海外疑い,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FPB5DSB4,
A,B0FSSPVT5C,ソーラーモバイルバッテリー 大容量 40800mAh 【22.5W/PD18W急速充電 4本ケーブル内蔵】 6台同時充電 ソーラーチャージャー,Toyomii,Toyomii,家電＆カメラ > 携帯電話・スマートフォン > 携帯電話・スマートフォンアクセサリ,4467,2,PEILUN SHOP / TianXiang-shop,,3488,はい,2026-02-23以降,1985,2492,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FSSPVT5C,
A,B0FDQ73HJJ,水月雨 Moondrop Pill オープンイヤー型ワイヤレスイヤホン イヤーカフ イヤホン オープンイヤー ワイヤレス Bluetooth 6.0,Moondrop,Moondrop,家電＆カメラ > イヤホン・ヘッドホン > イヤホン・ヘッドホン本体,4951,2,水月雨(MOONDROP)公式ストア / e☆イヤホン【イヤホン・ヘッドホン専門店 16時までの通常注文は当日発送！】,メーカー直販,6750,はい,2026-02-23以降,3485,4719,標準(小型),182,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FDQ73HJJ,
A,B0DNT9Z2HS,UGREEN 100W GaN 卓上急速充電器 (4*USB-C+2*USB-A) コンパクト【PSE技術基準適合/PD3.0/QC4.0/PPS対応】 複数台,UGREEN,Ugreen Group Limited,家電＆カメラ > 携帯電話・スマートフォン > 携帯電話・スマートフォンアクセサリ,1089,2,"Ugreen Japan Co., Ltd / SK堂本店",メーカー直販,5235,はい,2026-02-23以降,3086,4052,標準1,282,大手/海外疑い,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0DNT9Z2HS,
A,B0GCFT1YLL,Evinof テレビ スピーカー ワイヤレス【テレビ全機種対応★2.4G送信機同梱】手元スピーカー テレビ用 最大30m 低遅延 27時間連続再生,Evinof,Evinof,家電＆カメラ > ポータブルオーディオ > ポータブルスピーカー・ドック,1652,2,Evinof-shop / Evinof-direct,メーカー直販,6997,いいえ,2026-02-23以降,4266,5721,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0GCFT1YLL,
A,B0FSSL4JP2,ソーラーモバイルバッテリー 大容量 63200mAh 22.5W/PD18W急速充電 手回し充電 ケーブル内蔵 ソーラーチャージャー 防水 ブラック,Toyomii,Toyomii,家電＆カメラ > 携帯電話・スマートフォン > 携帯電話・スマートフォンアクセサリ,3650,2,PEILUN SHOP / IGARASHI STORE,,5111,いいえ,2026-02-23以降,2990,3856,標準2,332,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FSSL4JP2,
A,B0CN99RD5L,TELESIN スマホネックレスマウント スマホ ネックホルダー 磁気マグネット 首掛けスマホホルダー iPhone対応,TELESIN,TELESIN°,家電＆カメラ > 携帯電話・スマートフォン > 携帯電話・スマートフォンアクセサリ,2019,2,TELESIN GLOBAL / TELESIN Shop,メーカー直販,3215,はい,2026-02-23以降,1807,2241,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0CN99RD5L,
B,B0FXWZ5XGX,【電池式の限界を超える·常時録画×360°自動追尾 】ieGeek 防犯カメラ 屋外 ソーラー 9000mAhバッテリー 9Wソーラー/連続給電 25m暗視距離,ieGeek,ieGeek,家電＆カメラ > カメラ > 防犯カメラ,7845,2,SanMI Store / MySHOPTOP,,13990,はい,2026-02-23以降,6158,8340,標準2,332,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FXWZ5XGX,
A,B0GJSPJ661,プラネタリウム 家庭用 スタープロジェクター 月 オーロラ 15種類光 USB充電式 Bluetooth 音楽再生 パーティー 睡眠グッズ リモコン,Cambink,CAMBINK,家電＆カメラ > テレビ・レコーダー > ホームプロジェクター,4006,2,ORIENTEC / SOUNDGIC-JP,,4179,はい,2026-02-23以降,2279,2908,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0GJSPJ661,
B,B0DK79LN9H,CIO NovaPort TRIOⅡ 140W PD急速充電器 USB-C×3 PD3.1 3台同時充電 世界最小級（ブラック）,CIO,CIO,パソコン・周辺機器 > PCアクセサリ・サプライ > ノートパソコンアクセサリ,4884,2,株式会社CIO / オールズマーケットweb支店,メーカー直販,11800,はい,2026-02-23以降,5539,7523,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0DK79LN9H,
