メーカー/ブランド,該当商品数,想定仕入れ金額の中央値,Amazon価格の中央値,消化月数の中央値,代表ASIN,代表商品名,代表Amazonページ,代表Keepaリンク,メーカー検索(Google),主なカテゴリ,規模フラグ,リスク区分あり件数
ウォルト・ディズニー・ジャパン株式会社,25,4786,12838,2,B013HK778M,スター・ウォーズ コンプリート・サーガ ブルーレイコレクション(9枚組) (初回生産限定) [Blu-ray],https://www.amazon.co.jp/dp/B013HK778M,https://keepa.com/#!product/5-B013HK778M,https://www.google.com/search?q=%E3%82%A6%E3%82%A9%E3%83%AB%E3%83%88%E3%83%BB%E3%83%87%E3%82%A3%E3%82%BA%E3%83%8B%E3%83%BC%E3%83%BB%E3%82%B8%E3%83%A3%E3%83%91%E3%83%B3%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,DVD,中小候補,0
UGREEN,23,2119,5230,1,B0CWV5LG6M,UGREEN HiTune Max5c Bluetooth5.4 オーバーイヤーヘッドホン 最大75時間再生 LDACハイレゾ ノイキャン ブラック,https://www.amazon.co.jp/dp/B0CWV5LG6M,https://keepa.com/#!product/5-B0CWV5LG6M,https://www.google.com/search?q=UGREEN%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,家電＆カメラ,大手/海外疑い,23
CIO,19,2250,6080,1,B0D53Z5BYG,CIO モバイルバッテリー USB-Cケーブル内蔵 軽量 10000mAh SMARTCOBY Pro SLIM CABLE 35W (ホワイト),https://www.amazon.co.jp/dp/B0D53Z5BYG,https://keepa.com/#!product/5-B0D53Z5BYG,https://www.google.com/search?q=CIO%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,パソコン・周辺機器,中小候補,19
Anker,18,4310,8990,1,B0CQY7SRTY,"Anker Power Bank (20000mAh, 30W) ブラック",https://www.amazon.co.jp/dp/B0CQY7SRTY,https://keepa.com/#!product/5-B0CQY7SRTY,https://www.google.com/search?q=Anker%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,家電＆カメラ,大手/海外疑い,18
UNIVERSAL MUSIC GROUP,16,5482,12158,2,B0873L7TL8,EDEN no SONO Live at YOKOHAMA ARENA 2019.12.08(初回限定盤)[DVD],https://www.amazon.co.jp/dp/B0873L7TL8,https://keepa.com/#!product/5-B0873L7TL8,https://www.google.com/search?q=UNIVERSAL%20MUSIC%20GROUP%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,ミュージック,中小候補,0
Universal,16,7488,13082,2,B019ZZAL04,ALL TIME BEST Presence(初回限定盤) - 徳永英明 (DVD付),https://www.amazon.co.jp/dp/B019ZZAL04,https://keepa.com/#!product/5-B019ZZAL04,https://www.google.com/search?q=Universal%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,DVD,中小候補,0
SONY MUSIC,15,4482,13160,1,B0085DWC8C,"ON THE ROAD 2011 “The Last Weekend""(完全生産限定盤) [2DVD+3CD]",https://www.amazon.co.jp/dp/B0085DWC8C,https://keepa.com/#!product/5-B0085DWC8C,https://www.google.com/search?q=SONY%20MUSIC%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,DVD,大手/海外疑い,0
BANDAI,14,1268,5690,2,B09DG6K1ZG,[バンダイ(BANDAI)] BlockLabo ブロックラボ アンパンマン たのしいこうえんブロックバケツ 対象年齢 3 才以上 それいけ！アンパンマン,https://www.amazon.co.jp/dp/B09DG6K1ZG,https://keepa.com/#!product/5-B09DG6K1ZG,https://www.google.com/search?q=BANDAI%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,おもちゃ,大手/海外疑い,0
WARNER BROS,14,4048,11472,2,B075FSMR1Z,Prestige - Die Meister der Magie: 4K Ultra HD Blu-ray + Blu-ray,https://www.amazon.co.jp/dp/B075FSMR1Z,https://keepa.com/#!product/5-B075FSMR1Z,https://www.google.com/search?q=WARNER%20BROS%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,DVD,中小候補,0
マタインク,13,655,1786,1,B0DD796SCZ,マタインク BCI-331 BCI-330 6本セット キャノン用 インク 純正 と併用可 331 330 プリンター TS8730 インク,https://www.amazon.co.jp/dp/B0DD796SCZ,https://keepa.com/#!product/5-B0DD796SCZ,https://www.google.com/search?q=%E3%83%9E%E3%82%BF%E3%82%A4%E3%83%B3%E3%82%AF%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,パソコン・周辺機器,中小候補,13
