name,cls,n,flag,cat,ean,jan,isbn,pref
ウォルト・ディズニー・ジャパン株式会社,A_法人格つき,25,中小候補,DVD,27,True,True,495
UGREEN,C_英数字のみ,23,大手/海外疑い,家電＆カメラ,24,False,False,694
CIO,C_英数字のみ,19,中小候補,パソコン・周辺機器,19,True,False,457
Anker,C_英数字のみ,18,大手/海外疑い,家電＆カメラ,32,False,False,019
UNIVERSAL MUSIC GROUP,C_英数字のみ,16,中小候補,ミュージック,17,True,False,498
Universal,C_英数字のみ,16,中小候補,DVD,20,True,True,002
SONY MUSIC,C_英数字のみ,15,大手/海外疑い,DVD,13,True,False,454
BANDAI,C_英数字のみ,14,大手/海外疑い,おもちゃ,17,True,False,458
WARNER BROS,C_英数字のみ,14,中小候補,DVD,17,False,True,505
マタインク,B_和名(法人格なし),13,中小候補,パソコン・周辺機器,9,False,False,078
ソニー・インタラクティブエンタテインメント,B_和名(法人格なし),13,大手/海外疑い,ゲーム,18,True,False,220
パナソニック(Panasonic),B_和名(法人格なし),12,大手/海外疑い,家電＆カメラ,14,True,False,498
LxTek,C_英数字のみ,12,大手/海外疑い,パソコン・周辺機器,10,False,False,078
エレコム(ELECOM),B_和名(法人格なし),11,大手/海外疑い,パソコン・周辺機器,15,True,False,495
iClever,C_英数字のみ,11,中小候補,パソコン・周辺機器,3,False,False,697
Soundcore,C_英数字のみ,11,大手/海外疑い,家電＆カメラ,11,False,False,019
任天堂,B_和名(法人格なし),11,大手/海外疑い,ゲーム,15,True,False,490
ノーブランド品,B_和名(法人格なし),10,中小候補,大型家電,1,True,False,494
講談社,B_和名(法人格なし),10,中小候補,本,4,False,True,978
Dyoac,C_英数字のみ,9,中小候補,家電＆カメラ,1,False,False,073
スクウェア・エニックス(SQUARE ENIX),B_和名(法人格なし),9,中小候補,ゲーム,12,True,False,498
Bandai Namco,C_英数字のみ,9,大手/海外疑い,ゲーム,11,True,False,457
ワーナーホームビデオ,B_和名(法人格なし),9,中小候補,DVD,11,True,True,088
KODAK,C_英数字のみ,8,中小候補,家電＆カメラ,22,False,False,004
ポニーキャニオン,B_和名(法人格なし),8,中小候補,DVD,9,True,False,498
ワコーズ(Wako's),B_和名(法人格なし),8,中小候補,車＆バイク,11,True,False,493
ロイヤルカナン,B_和名(法人格なし),8,中小候補,ペット用品,8,False,False,318
GPC Image Flex,C_英数字のみ,6,大手/海外疑い,パソコン・周辺機器,10,False,False,071
COOAU,C_英数字のみ,6,中小候補,家電＆カメラ,3,False,False,088
Sony,C_英数字のみ,6,大手/海外疑い,ゲーム,10,True,False,230
Logitech,C_英数字のみ,6,大手/海外疑い,パソコン・周辺機器,7,True,False,692
ビクターエンタテインメント,B_和名(法人格なし),6,中小候補,DVD,9,True,False,498
Sony Pictures Home Entertainment,C_英数字のみ,6,大手/海外疑い,DVD,7,True,False,454
ジェイストーム,B_和名(法人格なし),6,中小候補,DVD,5,True,False,458
20TH CENTURY STUDIOS,C_英数字のみ,6,中小候補,DVD,11,False,True,002
Gudluky,C_英数字のみ,5,大手/海外疑い,家電＆カメラ,0,False,False,
Hamee(ハミィ),B_和名(法人格なし),5,中小候補,家電＆カメラ,9,True,False,452
skybest,C_英数字のみ,5,中小候補,家電＆カメラ,6,False,False,073
Evinof,C_英数字のみ,5,中小候補,家電＆カメラ,5,False,False,073
ieGeek,C_英数字のみ,5,中小候補,家電＆カメラ,7,False,False,073
タカラトミー(TAKARA TOMY),B_和名(法人格なし),5,大手/海外疑い,おもちゃ,7,True,False,490
Moondrop,C_英数字のみ,5,中小候補,家電＆カメラ,0,False,False,
バンダイビジュアル,B_和名(法人格なし),5,大手/海外疑い,DVD,4,True,False,493
Bloomsbury,C_英数字のみ,5,中小候補,洋書,5,False,True,978
アイオーデータ,B_和名(法人格なし),5,中小候補,パソコン・周辺機器,9,True,False,495
Warner,C_英数字のみ,5,中小候補,DVD,6,False,True,088
Paramount,C_英数字のみ,5,中小候補,DVD,8,False,True,009
THREEKEY,C_英数字のみ,4,中小候補,家電＆カメラ,0,False,False,
SHEENGO,C_英数字のみ,4,中小候補,パソコン・周辺機器,4,False,False,075
CASIO(カシオ),B_和名(法人格なし),4,大手/海外疑い,ファッション,8,True,False,456
RemarksJapan,C_英数字のみ,4,中小候補,ファッション,4,True,False,457
KEENKLE,C_英数字のみ,4,大手/海外疑い,パソコン・周辺機器,2,False,False,075
ejet,C_英数字のみ,4,大手/海外疑い,パソコン・周辺機器,1,False,False,697
Mumay,C_英数字のみ,4,中小候補,家電＆カメラ,0,False,False,
MACOO,C_英数字のみ,4,中小候補,家電＆カメラ,4,False,False,078
Gimama,C_英数字のみ,4,中小候補,パソコン・周辺機器,4,False,False,019
