brand,guessed_domain,final_url
UGREEN,ugreen.com,https://www.ugreen.com/
CIO,cio.com,https://www.cio.com/
Anker,anker.com,https://www.anker.com/
UNIVERSAL MUSIC GROUP,,
Universal,,
SONY MUSIC,sonymusic.co.jp,https://www.sonymusic.co.jp/
BANDAI,bandai.com,https://www.bandai.com/
WARNER BROS,warnerbros.com,https://www.warnerbros.com/
LxTek,,
iClever,iclever.com,https://iclever.com/
Soundcore,soundcore.com,https://www.soundcore.com/
Dyoac,dyoac.com,https://dyoac.com/
Bandai Namco,bandainamco.com,https://bandainamco.com/
KODAK,kodak.com,https://www.kodak.com/en/
GPC Image Flex,,
COOAU,cooau.com,https://www.cooau.com/
Sony,sony.jp,https://www.sony.jp/
Logitech,logitech.com,https://www.logicool.co.jp/ja-jp
20TH CENTURY STUDIOS,20thcenturystudios.com,https://www.20thcenturystudios.com/
Gudluky,,
skybest,skybest.com,https://www.skybest.com/
Evinof,evinof.com,https://evinof.com/
ieGeek,iegeek.com,https://www.iegeek.com/
Moondrop,moondrop.com,https://moondrop.com/
Bloomsbury,,
Warner,warner.com,https://www.warnerbros.com/
Paramount,paramount.jp,https://paramount.jp/close.html
THREEKEY,,
SHEENGO,,
RemarksJapan,,
KEENKLE,,
ejet,ejet.com,https://ejet.com/
Mumay,mumay.com,https://www.hugedomains.com/domain_profile.cfm?d=mumay.com
MACOO,,
Gimama,gimama.com,https://www.hugedomains.com/domain_profile.cfm?d=gimama.com
ProtoArc,protoarc.com,https://www.protoarc.com/
PHILIPS,philips.com,https://www.philips.co.jp/
BOIFUN,,
KADOKAWA,kadokawa.co.jp,https://www.kadokawa.co.jp/
BURTLE,burtle.com,https://burtle.com/
Hoxhyon,,
Lexar,lexar.com,https://www.lexar.com/jp/
HAGOOGI,hagoogi.com,https://hagoogi.com/
HEIBAS,,
KIOXIA,kioxia.com,https://www.kioxia.com/en-jp/top.html?refloc=1
Yaizk,,
Runbod,,
CPWORLD,cpworld.com,https://cpworld.com/
GADEBAO,,
Besecou,,
TANITA,tanita.com,https://tanita.com/
HUAKUA,huakua.com,https://www.huakua.com/
Aliliy,,
Fochai,fochai.com,http://fochai.com/
Penguin,penguin.com,https://www.penguin.com/
Brook,brook.com,https://brook.com/
Biwin,biwin.com,https://www.biwin.com/
JIT,jit.com,https://jit.com/
happilaff,happilaff.com,https://happilaff.com/
Rolling Square,rollingsquare.com,https://rollingsquare.com/
Universal Pictures,universalpictures.com,https://www.universalpictures.com/
Krunia,krunia.com,https://www.krunia.com/
SanDisk,sandisk.com,https://www.sandisk.com/
Betenet,betenet.com,https://www.hugedomains.com/domain_profile.cfm?d=betenet.com
Turtleback,turtleback.com,https://perfectionlearning.com/turtleback
Johnny & Associates,johnnyassociates.com,https://johnnyassociates.com/
iface,iface.com,https://iface.com/
Leacco,leacco.com,https://www.leacco.com/
Zeniss,zeniss.com,https://zeniss.com/
Ailewu,ailewu.com,https://ailewu.com/
TXWDFHL,,
Negolas,,
Tuwejia,tuwejia.com,https://tuwejia.com/
basemax,basemax.com,https://basemax.com/
CITIZEN,citizen.com,https://citizen.com/
Ralkepy,,
YOCOEI,,
Hanmir,,
GLAMERGY,,
Tufuha,,
KEEZING,keezing.com,https://www.hugedomains.com/domain_profile.cfm?d=keezing.com
Hobbywing,hobbywing.com,https://www.hobbywing.com/
Keypal,keypal.jp,http://www.keypal.jp/
Sanlao,sanlao.com,http://sanlao.com/
Boleve,boleve.com,https://boleve.com/
Toyomii,,
INTEX,intex.com,https://intex.com/main/
KEEPRO,keepro.jp,https://keepro.jp/
DUNLOP,,
SKYBASIC,,
SPAHER,spaher.com,https://spaher.com/
Augnner,,
Kemeskin,,
Iosare,,
BOS,bos.com,https://bos.com/
Listening Library,listeninglibrary.com,https://www.penguinrandomhouse.com/books/audiobooks/
Yaotin,,
Pursay,pursay.com,https://pursay.com/
YINCODI,,
WISHOLY,wisholy.com,http://wisholy.com/
CREATIVE,creative.com,https://jp.creative.com/
Boweer,,
Dr.'s care,drscare.com,https://drscare.com/
SCYROX,scyrox.com,https://scyrox.com/
Nextorage,nextorage.com,https://nextorage.com/
Bmax,bmax.com,https://bmax.com/
Veoyads,veoyads.com,https://veoyads.com/
Edifier,edifier.com,https://www.edifier.com/jp
DEPSTECH,depstech.com,https://depstech.com/
Capitol,capitol.com,http://www.capitol.com/
iWIMIUS,iwimius.com,https://iwimius.com/
Marshall,marshall.com,https://www.marshall.com/jp/ja
BACOENG,bacoeng.com,https://bacoeng.com/
HIKMICRO,,
HOUOA,,
RiDATA,ridata.com,https://ridata.com/
ZYQ,zyq.com,https://zyq.com/
Kachiari,kachiari.jp,https://kachiari.jp/
Beanet,beanet.com,http://beanet.com/
Aiolo Innovation,,
Mzyxxel,mzyxxel.com,https://mzyxxel.com/
Yorano,,
Lamake,lamake.com,https://lamake.com/
COMEDYKING,comedyking.com,https://comedyking.com/
Ci-Fotto,,
GOYOJO,goyojo.com,https://goyojo.com/
viangs,,
BabySmile,babysmile.com,https://babysmile.com/
Tibnozt,,
adidas Originals,,
UTRAI,utrai.com,https://www.utrai.com/
SOOEO,sooeo.com,https://sooeo.com/
ZIPPO,zippo.com,https://zippo.com/
BESROY,besroy.com,http://besroy.com/
LIXIL,lixil.com,https://www.lixil.com/
PDP,pdp.com,https://www.turtlebeach.com/pages/wheres-pdp
suptronics,suptronics.com,https://suptronics.com/
Rhino,rhino.jp,https://rhino.jp/
Pearson Education,,
STUDIOCANAL,,
Happinet,happinet.com,https://www.dynamo.com/assets.htm
Omron,,
Zach Top,zachtop.com,https://zachtop.com/
STSEETOP,stseetop.com,https://stseetop.com/
WORKPRO,workpro.com,https://www.workpro.com/
Motowolf,motowolf.com,https://motowolf.com/
52TOYS,52toys.com,https://hi52toys.com/
SSYFEI,,
Crimson,crimson.com,https://www.brandforce.com/domain/Crimson.com/
avex trax,avextrax.com,https://www.hugedomains.com/domain_profile.cfm?d=avextrax.com
SME,sme.jp,https://sme.jp/
SNK,snk.com,https://snk.com/
Lions Gate,lionsgate.com,https://www.lionsgate.com/
SilentPower,silentpower.jp,https://silentpower.jp/
htrahy,,
CHUSII,,
ZZU,zzu.com,https://zzu.com/
Vulendu,,
AirDry,airdry.com,https://www.thomar.de/english/mobile-home
Boytond,,
VELIKE,,
actiTube,actitube.com,https://actitube.com/
PRXA,prxa.com,https://prxa.com/
Newluck,,
FleekFit,fleekfit.com,https://fleek-fit.com/
ZVZHM,,
AWINEY,,
Kungix,kungix.com,https://kungix.com/
