brand,domain,title,brand_in_page,park
UGREEN,ugreen.com,UGREEN Official Site,Y,
CIO,cio.com,CIO.com - The voice of IT leadership,Y,park
Anker,anker.com,Anker | Live Charged. - Anker US,Y,
SONY MUSIC,sonymusic.co.jp,ソニーミュージックオフィシャルサイト,Y,
BANDAI,bandai.com,Bandai Namco - Fun for All into the Future,Y,
WARNER BROS,warnerbros.com,"WarnerBros.com | Home of WB Movies, TV, Games, and more!",Y,
iClever,iclever.com,iClever Kids Headphones &ndash; iClever.com,Y,
Soundcore,soundcore.com,"Soundcore Headphones &amp; Speakers - Hear it, Feel it - soundcore US",Y,
Dyoac,dyoac.com,Active Warranty,N,
Bandai Namco,bandainamco.com,"BANDAI NAMCO Holdings USA Inc. - Dreams, Fun and Inspiration",Y,
KODAK,kodak.com,Eastman Kodak Company | Kodak,Y,
COOAU,cooau.com,COOAU,Y,
Sony,sony.jp,\j[iE\j[XgA - \j[,Y,
Logitech,logitech.com,ロジクール日本,Y,
20TH CENTURY STUDIOS,20thcenturystudios.com,20th Century Studios | Official Site,Y,
skybest,skybest.com,"SkyLine/SkyBest - High Speed Internet, TV, Security and Voice",Y,
Evinof,evinof.com,Active Warranty,N,
ieGeek,iegeek.com,ieGeek | Making Security Simpler,Y,
Moondrop,moondrop.com,MOONDROP.COM | Strategic-Grade domain names for established businesses and funded startups,Y,park
Warner,warner.com,"WarnerBros.com | Home of WB Movies, TV, Games, and more!",Y,
Paramount,paramount.jp,サービス終了のお知らせ - パラマウント・ピクチャーズ ブルーレイ&DVD公式サイト,Y,
ejet,ejet.com,EJET,Y,
Mumay,mumay.com,Mumay.com is for sale | HugeDomains,Y,park
Gimama,gimama.com,Gimama.com is for sale | HugeDomains,Y,park
ProtoArc,protoarc.com,ProtoArc® - A Workspace for Wellness.,Y,
PHILIPS,philips.com,Philips - フィリップス | Philips,Y,
KADOKAWA,kadokawa.co.jp,KADOKAWAオフィシャルサイト,Y,
BURTLE,burtle.com,,N,
Lexar,lexar.com,Lexar レキサー公式サイト,Y,
HAGOOGI,hagoogi.com,家電・インテリア通販｜HAGOOGI公式サイト &ndash; HAGOOGI（ハゴオギ）,Y,
KIOXIA,kioxia.com,KIOXIA Corporation Home | KIOXIA - Japan (English),Y,
CPWORLD,cpworld.com,,N,
TANITA,tanita.com,Healthy Habits for Happiness | TANITA,Y,
HUAKUA,huakua.com,HUAKUA.COM,Y,
Fochai,fochai.com,,Y,park
Penguin,penguin.com,,Y,
Brook,brook.com,Brook,Y,
Biwin,biwin.com,"BIWIN TECHNOLOGIES CO., LTD.",Y,
JIT,jit.com,,N,
happilaff,happilaff.com,Happilaff｜日本の家庭に笑顔を届ける調理家電ブランド,Y,
Rolling Square,rollingsquare.com,Rolling Square | The lifehackers company,Y,
Universal Pictures,universalpictures.com,Universal Pictures | New Movies In Theaters &amp; Upcoming Releases,Y,
Krunia,krunia.com,My Store,Y,
SanDisk,sandisk.com,,N,
Betenet,betenet.com,BeteNet.com is for sale | HugeDomains,Y,park
Turtleback,turtleback.com,Turtleback - Home,Y,
Johnny & Associates,johnnyassociates.com,This site is under development,N,
iface,iface.com,"iFace | Daily Delight, Always By Your Side",Y,
Leacco,leacco.com,leacco,Y,
Zeniss,zeniss.com,In-Car Android Multimedia For BMW MERCEDES-BENZ AUDI &ndash; ZENISS TECHNOLOGY COMPANY LIMITED-SilverStrong official sto,Y,
Ailewu,ailewu.com,,N,
Tuwejia,tuwejia.com,tuwejia.com,Y,park
basemax,basemax.com,フレッツ対応プロバイダ インターリンク,N,
CITIZEN,citizen.com,Citizen - Connect and stay safe.,Y,
KEEZING,keezing.com,Keezing.com is for sale | HugeDomains,Y,park
Hobbywing,hobbywing.com,HOBBYWING好盈科技 | 无人机/RC车船/个人出行动力系统,Y,
Keypal,keypal.jp,東京都荒川区の鍵トラブルはキーパル｜安くて早い鍵屋さん,Y,
Sanlao,sanlao.com,网站建设中,N,
Boleve,boleve.com,Boleve,Y,
INTEX,intex.com,Intex - Intex,Y,
KEEPRO,keepro.jp,KEEPRO &#8211; 価値ある未来を創造します。,Y,
SPAHER,spaher.com,,N,
BOS,bos.com,Office Furniture &amp; Workplace Design | BOS — Haworth Dealer,Y,
Listening Library,listeninglibrary.com,Audiobooks Books | Penguin Random House,N,
Pursay,pursay.com,,N,
WISHOLY,wisholy.com,wisholy.com is For Sale,Y,park
CREATIVE,creative.com,jp.creative.com - PCエンターテイメント製品のリーディングカンパニー,Y,
Dr.'s care,drscare.com,"DoctorsCare - Urgent Care Walk in Medical Clinic &#8211; Clarksville, Tennessee",N,
SCYROX,scyrox.com,Official Scyrox Gaming Gear | Ultimate performance -for the true games,Y,
Nextorage,nextorage.com,,N,
Bmax,bmax.com,Power to shape | Bmax,Y,
Veoyads,veoyads.com,veoyads.com for sale | Spaceship.com,Y,park
Edifier,edifier.com,音の情熱|イヤホン、スピーカー - Edifier Japan,Y,
DEPSTECH,depstech.com,"DEPSTECH Official Store | Borescopes, Webcams, Endoscopes, Power Tools",Y,
Capitol,capitol.com,capitol.com,Y,
iWIMIUS,iwimius.com,,N,
Marshall,marshall.com,Marshall — 60 years of loud | Marshall.com,Y,
BACOENG,bacoeng.com,"Vacuum Chamber Kit, Motorized Ball Valve, Circulation Pump &ndash; BACOENG",Y,
RiDATA,ridata.com,RIDATA - Right for All Your Data,Y,
ZYQ,zyq.com,,N,
Kachiari,kachiari.jp,株式会社カチアリ | ブランドを創造し、日本の外食を輝かせる。,Y,
Beanet,beanet.com,,N,
Mzyxxel,mzyxxel.com,mzyxxel.com for sale | Spaceship.com,Y,park
Lamake,lamake.com,lamake.com for sale | Spaceship.com,Y,park
COMEDYKING,comedyking.com,,N,
GOYOJO,goyojo.com,工游记,Y,
BabySmile,babysmile.com,,N,
UTRAI,utrai.com,UTRAI -Best Portable Car Jump Starter,Y,
SOOEO,sooeo.com,SOOEO.COM,Y,
ZIPPO,zippo.com,Official Zippo Website | Zippo.com &ndash; Zippo USA,Y,
BESROY,besroy.com,besroy.com-(www.west.cn)н,Y,park
LIXIL,lixil.com,LIXIL,Y,
PDP,pdp.com,Where’s PDP? | Discover PDP Gaming Now on Turtle Beach | Turtle Beach,Y,park
suptronics,suptronics.com,SupTronics Technologies,Y,
Rhino,rhino.jp,Your requested host is not found.,N,
Happinet,happinet.com,,N,
Zach Top,zachtop.com,Zach Top - Official Site,Y,
STSEETOP,stseetop.com,STSEETOP,Y,
WORKPRO,workpro.com,"Case Management Software, Complaints &amp; HR Case Tracking - Workpro",Y,
Motowolf,motowolf.com,,N,
52TOYS,52toys.com,"52TOYS Official Store | Blind Boxes, Figures &amp; Plush",Y,
Crimson,crimson.com,Crimson.com is for sale | www.brandforce.com,Y,park
avex trax,avextrax.com,AvexTrax.com is for sale | HugeDomains,Y,park
SME,sme.jp,ERROR,N,
