ブランド,JAN45_49,jpTLD,日本語タイトル,manufacturer日本語,日本シグナル,公式HP候補,manufacturer例
138OnlineShop,,,,,,,
1Mii,,,,,,1mii.com,ML301
20TH CENTURY STUDIOS,,,,,,20thcenturystudios.com,20th Century Fox / Twentieth Century Fox
21Technology,Y,,,,Y,,21technology
52TOYS,,,,,,52toys.com,52TOYS
8Bitdo,,,,,,8bitdo.com,8bitdo
ACKDZU,,,,,,,
ACMEZING,,,,,,,ACMEZING
AHS,Y,,,,Y,ahs.com,AHS
AIZEO,,,,,,aizeo.com,AIZEO
AMOVO,,,,,,amovo.com,
AQielev,,,,,,,
ARZOPA,,,,,,arzopa.com,ARZOPA
ATLANTIC RECORDS,,,,,,,Atlantic
AWINEY,,,,,,,AWINEY
AboveTEK,,,,,,abovetek.com,AboveTEK
Abrams Books,,,,,,abramsbooks.com,Harry N. Abrams
Ailewu,,,,,,,"ShenZhen Sailangde Technology Co., Ltd."
Aiolo Innovation,,,,,,,Aiolo Innovation
AirDry,,,,,,,AirDry
Aliliy,,,,,,,Aliliy
Alprojec,,,,,,,Alprojec
Amigo Spiel + Freizeit,,,,,,,
Anker,,,,,,anker.com,Anker
Annexfun,,,,,,annexfun.com,Annexfun
AooDen,,,,,,,AooDen
Arrow Video,,,,,,arrowvideo.com,Arrow Video
Ashei,,,,,,,Ashei
Aterm,Y,,,Y,Y,,NEC / NECプラットフォームズ
Audwierr,,,,,,,Audwierr
Augnner,,,,,,,"Shenzhen Meskey Technology co.,ltd"
Authors Equity,,,,,,authorsequity.com,Authors Equity
Avrpqiwy,,,,,,,
Avylet,,,,,,,Avylet
B3 BIGTHREE,,,,,,,B3 BIGTHREE
BACOENG,,,,,,bacoeng.com,zhiyaqingmu
BAL,Y,,,,Y,bal.com,BAL
BANDAI,Y,,,Y,Y,bandai.com,バンダイ / バンダイ(BANDAI)
BESROY,,,,,,besroy.com,BESROY
BGB,,,,,,,BGB
BINGFU,,,,,,,BINGFU
BIUBLE,,,,,,,BIUBLE
BMAXPAD,,,,,,,BMAXPAD
BMSE,,,,,,,BMSE
BOIFUN,,,,,,,BOIFUN
BONTEC,,Y,Y,,Y,bontec.jp,BONTEC
BOS,Y,,,,Y,bos.com,BOS-SHOP
BQEYZ,,,,,,bqeyz.com,BQEYZ
BRJR,,,,,,,BRJR
BTIHCEUOT,,,,,,,BTIHCEUOT
BUODCO,,,,,,,BUODCO
BURTLE,Y,,,Y,Y,,BURTLE(バートル) / バートル(Burtle)
Baby Shusher,,,,,,babyshusher.com,Pneo
BabySmile,Y,,,Y,Y,,シースター株式会社
Bandai Namco,Y,,,Y,Y,bandainamco.com,コーエーテクモゲームス / ナムコ / バンダイナムコエンターテインメント
Barbie,,,,,,barbie.com,ALLWIN
Barnes & Noble,,,,,,,Barnes & Noble Inc
Beanet,,,,,,,BeaNet
BeeTool,,,,,,beetool.com,BeeTool
Belkin,,,,,,belkin.com,Belkin
Besecou,,,,,,,Besecou
Betenet,,,,,,betenet.com,Betenet
Bit Trade One,Y,,,,Y,,Bit Trade One
Biwin,,,,,,biwin.com,BIWIN
Biyoso,,,,,,biyoso.com,Biyoso
Blackstone Publishing,,,,,,blackstonepublishing.com,Blackstone Pub
Blaze Entertainment,,,,,,blazeentertainment.com,Blaze Entertainment
Bloomsbury,,,,,,,Bloomsbury Children's Books / Bloomsbury Childrens Books / Bloomsbury YA
Bmax,,,,,,bmax.com,Bmax
Boleve,,,,,,boleve.com,Boleve
Bolinda/Audible Audio,,,,,,,Bolinda/Audible Audio
Bolvunes,,,,,,,Bolvunes
Bosch,,,,Y,Y,bosch.com,ボッシュ(BOSCH)
Boweer,,,,,,,Boweer
Boytond,,,,,,,Boytond
Braun,Y,,Y,,Y,braun.com,P&G
Brook,Y,,,Y,Y,brook.com,Brook / ブルック(Brook) BY LEXIS
Bulonchi,,,,,,,Bulonchi
Business,,,,,,business.com,Blackstone Pub
Butterfly,Y,,,Y,Y,butterfly.com,バタフライ(Butterfly)
C&G,,,,,,,
CEREMONY,,Y,Y,,Y,ceremony.jp,ceremony
CHUSII,,,,,,,"Shenzhen Joway Power Supply Co., Ltd."
CIO,Y,,,,Y,cio.com,CIO / ＣＩＯ
CITIZEN,Y,,,Y,Y,citizen.com,CITIZEN(シチズン) / シチズン・システムズ
CME,,,,,,,CME
COMEDYKING,,,,,,,Pingyang County Hongxing Arts and Crafts Factory
COOAU,,,,,,cooau.com,COOAU
COOLERPLUS,,,,,,coolerplus.com,
CPWORLD,,,,,,,CPWORLD
CREATIVE,Y,,Y,Y,Y,creative.com,クリエイティブ・メディア
Cambink,,,,,,,CAMBINK
Capitol,Y,,,,Y,capitol.com,Capitol Records / EMI
Casio,,,,,,,CASIO
Ci-Fotto,,,,,,,Ci-Fotto
Clipa,Y,,,Y,Y,clipa.com,SUNDAY MOUNTAIN (サンデーマウンテン)
ColorfulHome,Y,,,Y,Y,colorfulhome.com,バズエージェンシー合同会社
CoolDove,,,,,,,CoolDove
Crimson,Y,,,Y,Y,crimson.com,Analogue Prod. / 日本ファルコム
Cryfokt,,,,,,,Cryfokt
CyclingDeal,,,,,,,CyclingDeal
DEPSTECH,,,,,,depstech.com,DEPSTECH
DEXION,,,,,,dexion.com,DEXION
DUNLOP,Y,,,Y,Y,,ダンロップ(DUNLOP)
DYKL,,,,,,,DYKL
Def Jam,,,,,,defjam.com,ISLAND
Deltran,,,,,,deltran.com,Deltran
Derila,,,,,,derila.com,Derila
Doubleday,,,,,,doubleday.com,Doubleday / Doubleday Canada
Douyear,,,,,,,Douyear
Dr.'s care,Y,,,Y,Y,,ペットライン
Dreemstar,,,,,,,Dreemstar
Dyoac,,,,,,,Dyoac
E-Kitap Projesi & Cheapest Books,,,,,,,E-Kitap Projesi & Cheapest Books
E-enemo,Y,,,,Y,,E-enemo
EJD,,,,,,,EJD
ELUTENG,,,,,,eluteng.com,ELUTENG
ENTEKE,,,,,,,
ERJ,Y,,,,Y,erj.com,ERJ
ESET,Y,,,Y,Y,eset.com,キヤノンITソリューションズ
Earbood,,,,,,,Earbood
Earth Plus,,,,Y,Y,,キヤノン
Edifier,,,Y,,Y,edifier.com,Edifier / edifier
Eonon,,,,,,eonon.com,EONON
Erssimo,,,,,,,Erssimo
Evercade,,,,,,,
Everline,,Y,Y,,Y,everline.jp,
EveryDrop by Whirlpool,,,,,,,Whirlpool
Evinof,,,,,,,Evinof
Eynew,,,,,,,Eynew
FAR EAST GADGET,Y,,Y,,Y,fareastgadget.com,FAR EAST GADGET
FIDECO,,,,,,,FIDECO
Faber & Faber,,,,,,,Faber & Faber
"Farrar, Straus and Giroux",,,,,,,Farrar Straus & Giroux
Feesun,,,,,,,Feesun
FiiO,Y,,,,Y,fiio.com,FIIO
Finish Line,,Y,,Y,Y,finishline.jp,フィニッシュライン(FINISH LINE)
FleekFit,,,,,,fleekfit.com,"FleekFit （Jiang Xi Cheng jiang new energy Co.,Ltd）"
Flirva,,,,,,,Flirva
Fochai,,,,,,fochai.com,Fochai
Focusrite,,,,,,focusrite.com,FOCUSRITE
Fodalum,,,,,,,Fodalum
Foxkoo,,,,,,,co.jp
Franklin Sensors,,,,,,,Franklin Sensors
Funimation,,,,,,,
GADEBAO,,,,,,,GADEBAO / GEDEBAO
GEMBLO COMPANY,,,,,,,GEMBLO COMPANY / GEMLO COMPANY
GLAMERGY,,,,,,,GLAMERGY
GOBOT,,,,,,,GOBOT
GOODNEW,,,,,,goodnew.com,GOODNEW
GOYOJO,,,Y,,Y,goyojo.com,GOYOJO
GPC Image Flex,,,,Y,Y,,GPC Image Flex / GPC Image Flex ( ブラザー LC3117 対応 / GPC Image Flex for 300 301 インク キャノン 用
Galaxy,Y,,,Y,Y,galaxy.com,サムスン(Samsung)
Garnier Editora,,,,,,,Garnier Editora
Generic,,,,,,,AJP-MJD
Gigastone,,Y,,,Y,gigastone.jp,Gigastone
Gillmar,,,,,,gillmar.com,Gillmar
Gimama,,,,,,gimama.com,"Dongguan Fengchuan Technology Co., LTD / Dongguan Fengchuan technology Co., LTD"
Glaazo,,,,,,,Glaazo
Globular Cluster,,,,,,,Globular Cluster
Goal Zero,,,,,,goalzero.com,GOAL ZERO
GooSpy,,,,,,,GooSpy
Google,,,,,,google.com,Google
Gourde,,,,,,,Gourde
GoveeLife,,,,,,goveelife.com,GoveeLife
Graphixly,,,,,,graphixly.com,Celsys
Greneo,,,,,,,Greneo
GuMosh,,,Y,,Y,gumosh.com,"Shenzhen Caibo Technology Co.,Ltd."
Gudluky,,,,,,,Gudluky
Gumsry,,,,,,,Gumsry
H&W,,,,,,,H&W
HAGOOGI,Y,,Y,,Y,hagoogi.com,HAGOOGI
HANMATEK,,,,,,hanmatek.com,
HARU,,Y,Y,,Y,haru.co.jp,
HEIBAS,,,,,,,HEIBAS / Origin qilin
