メーカー名,正規化名,分類,正式商号,法人番号,所在地,公式HP,電話,問い合わせフォームURL,メール,取得手段,出典URL,確度,備考,別名
ウォルト・ディズニー・ジャパン株式会社,ウォルト・ディズニー・ジャパン株式会社,和名法人らしき,ウォルト・ディズニー・ジャパン株式会社,5013201005431,〒105-0001 東京都港区虎ノ門1丁目23番1号 虎ノ門ヒルズ森タワー,http://www.disney.co.jp/,03-6752-2300,,,Exa検索(エージェント取得),https://info.gbiz.go.jp/hojin/ichiran?hojinBango=5013201005431 ; https://houjin.jp/c/5013201005431,候補,[Exa検索(エージェント取得)] 法人番号と所在地は gBizINFO（経産省）で確認＝確定。ただし電話 03-6752-2300 は houjin.jp / PITACT / マピオンの第三者DBのみで、公式サイトでは裏が取れていないため行全体を候補とした。ライセンス管理会社であり仕入れ先ではない / Exa取得日:2026-09-04,
UNIVERSAL MUSIC GROUP,UNIVERSAL MUSIC GROUP,英字ブランド,,,,,,,,,,不明,,
Universal,Universal,英字ブランド,,,,,,,,,,不明,,
SONY MUSIC,SONY MUSIC,英字ブランド,,,,,,,,,,不明,,
Anker,Anker,英字ブランド,,,,,,,,,,不明,,
BANDAI,BANDAI,英字ブランド,,,,,,,,,,不明,,
UGREEN,UGREEN,英字ブランド,,,,,,,,,,不明,,
WARNER BROS,WARNER BROS,英字ブランド,,,,,,,,,,不明,,
ワーナーホームビデオ,ワーナーホームビデオ,和名法人らしき,ワーナー ブラザース ジャパン合同会社（Warner Bros. Japan LLC）,5010401016820,〒105-5515 東京都港区虎ノ門2-6-1 虎ノ門ヒルズステーションタワー15階,https://www.warnerbros.co.jp/,03-5251-6950,,,Exa検索(エージェント取得),https://www.warnerbros.co.jp/company/outline/ ; https://companydata.tsujigawa.com/company/5010401016820/,候補,[Exa検索(エージェント取得)] 『ワーナーホームビデオ』はブランド名で、法人はワーナー ブラザース ジャパン合同会社（旧・ワーナーエンターテイメントジャパン株式会社）。商号・所在地は公式サイトで確認。電話と法人番号は第三者DBのみのため行全体を候補とした。映画配給・ライセンス事業者であり仕入れ先ではない / Exa取得日:2026-09-04,
Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,英字ブランド,,,,,,,,,,不明,,
CIO,CIO,英字ブランド,,,,,,,,,,不明,,
任天堂,任天堂,和名法人らしき,,,,,,,,,,不明,,
Disney(ディズニー),Disney,和名法人らしき,ウォルト・ディズニー・ジャパン株式会社,5013201005431,〒105-0001 東京都港区虎ノ門1丁目23番1号 虎ノ門ヒルズ森タワー,http://www.disney.co.jp/,03-6752-2300,,,Exa検索(エージェント取得),https://info.gbiz.go.jp/hojin/ichiran?hojinBango=5013201005431,候補,[Exa検索(エージェント取得)] 『ウォルト・ディズニー・ジャパン株式会社』行と同一法人。名寄せの取りこぼし（別行として2つ存在する）。電話は第三者DBのみで公式未確認 / Exa取得日:2026-09-04,ディズニー
パナソニック(Panasonic),パナソニック,和名法人らしき,,,,,,,,,,不明,,Panasonic
20TH CENTURY STUDIOS,20TH CENTURY STUDIOS,英字ブランド,,,,,,,,,,不明,,
エレコム(ELECOM),エレコム,和名法人らしき,エレコム株式会社,5120001094974,〒541-8765 大阪市中央区伏見町4-1-1 明治安田生命大阪御堂筋ビル9F,https://www.elecom.co.jp/,06-6229-1418,,,Exa検索(エージェント取得),https://info.gbiz.go.jp/hojin/ichiran?hojinBango=5120001094974 ; https://www.elecom.co.jp/company/bases/,確定,[Exa検索(エージェント取得)] 法人番号は gBizINFO（経産省）で確認＝公的DB。東証プライム上場の大手。**初回5万円の小ロット直取引の相手ではない**。フォームURLは未特定 / Exa取得日:2026-09-04,ELECOM
講談社,講談社,和名法人らしき,株式会社講談社（KODANSHA Ltd.）,,〒112-8001 東京都文京区音羽2-12-21,https://www.kodansha.co.jp/,,,,Exa検索(エージェント取得),https://www.kodansha.co.jp/company/about ; https://recruit.kodansha.co.jp/corporate/,確定,"[Exa検索(エージェント取得)] 電話は意図的に空欄。公式サイトで見つかったのは人事部採用担当（03-5395-3416）のみで、営業窓口の番号ではない。出版社は取次経由の流通が基本で直取引の相手ではない。売上1,710億円 / Exa取得日:2026-09-04",
ソニー・インタラクティブエンタテインメント,ソニー・インタラクティブエンタテインメント,和名法人らしき,,,,,,,,,,不明,,
マタインク,マタインク,和名法人らしき,,,,,,,,,,不明,[Exa検索(エージェント取得)] **取得ゼロ。** 検索結果はすべて無関係な互換インク業者（合同会社インクマニア／互換インク販売株式会社／インク王国／合資会社スカイホース）で、『マタインク』というブランドの運営元に一致するものはなかった。公式サイト・法人いずれも特定できず。**同業他社の連絡先を掴む典型的な罠なので、あえて空欄のままにした** / Exa取得日:2026-09-04,
ロイヤルカナン,ロイヤルカナン,和名法人らしき,"ロイヤルカナン ジャポン合同会社（ROYAL CANIN JAPON, Inc.）",,〒108-0075 東京都港区港南1-2-70 品川シーズンテラス7階,https://royalcanin.jp/,0120-125-850,,,Exa検索(エージェント取得),https://royalcanin.jp/company/profile ; https://www.royalcanin.com/jp/contact-us,確定,[Exa検索(エージェント取得)] 仏マース傘下の日本法人（従業員215名）。電話はお客様相談室（総合栄養食向け／動物病院向けは 0120-618-505）。サイトにあるメール rcj-recruit@royalcanin.com は**採用専用のため採用しなかった**。ペットフードは正規流通の管理が厳しく、初回小ロットの直取引は現実的でない / Exa取得日:2026-09-04,
ポニーキャニオン,ポニーキャニオン,和名法人らしき,株式会社ポニーキャニオン,,〒106-8487 東京都港区六本木一丁目5番17号 泉ガーデンANNEX,https://www.ponycanyon.biz/,03-6230-9700,https://www.ponycanyon.biz/contact/,,Exa検索(エージェント取得),https://www.ponycanyon.biz/company/outline/ ; https://www.ponycanyon.biz/contact/,確定,[Exa検索(エージェント取得)] フォームは法人向け窓口が明示されている（一般客はカスタマーセンターへ誘導）。電話 03-6230-9700 はマイナビ掲載の代表番号で公式サイト未確認のため参考。売上360億円の大手 / Exa取得日:2026-09-04,
