メーカー,レーン,判定理由,商号候補,法人格表記,該当商品数,主カテゴリ,第三者セラー数,屋号型セラー数,CNスコア,CNシグナル,想定仕入れ上限の中央値,Amazon価格の中央値,代表商品,代表ASIN,メーカー検索
BANDAI,A_メインレーン,日本語商号あり→gBizINFOで従業員数照合へ,バンダイ(BANDAI),,27,おもちゃ,7,3,0,,1254,4722,バンダイ(BANDAI) バトルスピリッツ コラボスターター 仮面ライダー AGENT OF DREAM【26RSD07】,B0GN4RH67Y,https://www.google.com/search?q=BANDAI%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
パナソニック(Panasonic),A_メインレーン,日本語商号あり→gBizINFOで従業員数照合へ,パナソニック(Panasonic),あり,19,家電&カメラ,6,5,0,,2303,5109,【2セット：計4個入】 パナソニック Panasonic カメラ用リチウム電池 CR-123AW/2P （2個入） カメラ スマートロック 電池 交換,B0GFV9FFRS,https://www.google.com/search?q=%E3%83%91%E3%83%8A%E3%82%BD%E3%83%8B%E3%83%83%E3%82%AF%28Panasonic%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
マタインク,A_メインレーン,日本語商号あり→gBizINFOで従業員数照合へ,マタインク キヤノン(Canon)対応 CRG-337 互換トナーカートリッジ,,17,パソコン・周辺機器,4,1,0,,674,1903,マタインク BCI-301 BCI-300 5本セット TS7530 インク キヤノン用 インク 純正と併用可能 301 300 大容量タイプ,B0DD79PNC4,https://www.google.com/search?q=%E3%83%9E%E3%82%BF%E3%82%A4%E3%83%B3%E3%82%AF%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ロイヤルカナン,A_メインレーン,日本語商号あり→gBizINFOで従業員数照合へ,ROYAL CANIN Japan,,17,ペット用品,7,3,0,,2347,5850,【2袋セット】ロイヤルカナン 食事療法食 犬用 消化器サポート ドライ 1kg,B0BZCDNL5G,https://www.google.com/search?q=%E3%83%AD%E3%82%A4%E3%83%A4%E3%83%AB%E3%82%AB%E3%83%8A%E3%83%B3%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ワコーズ(Wako's),A_メインレーン,日本語商号あり→gBizINFOで従業員数照合へ,ワコーズ(Wako's),,10,車&バイク,6,4,0,,1788,5034,ワコーズ MPS ミッションパワーシールド ミッションオイル等漏れ防止剤 G133,B00PATX26K,https://www.google.com/search?q=%E3%83%AF%E3%82%B3%E3%83%BC%E3%82%BA%28Wako%27s%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
BANDAI SPIRITS(バンダイ スピリッツ),A_メインレーン,日本語商号あり→gBizINFOで従業員数照合へ,BANDAI SPIRITS(バンダイ スピリッツ),,9,ホビー,6,2,0,,2870,7289,RG 機動戦士ガンダム 逆襲のシャア サザビー 1/144スケール 色分け済みプラモデル,B07CMYHVJ4,https://www.google.com/search?q=BANDAI%20SPIRITS%28%E3%83%90%E3%83%B3%E3%83%80%E3%82%A4%20%E3%82%B9%E3%83%94%E3%83%AA%E3%83%83%E3%83%84%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Hamee(ハミィ),A_メインレーン,日本語商号あり→gBizINFOで従業員数照合へ,Hamee(ハミィ),,7,家電&カメラ,3,2,0,,703,1980,[ハミィ] iFace Hang and ストラップホルダー ダブルリング(シルバー),B0DDTGF4YH,https://www.google.com/search?q=Hamee%28%E3%83%8F%E3%83%9F%E3%82%A3%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
BURTLE,A_メインレーン,日本語商号あり→gBizINFOで従業員数照合へ,バートル(Burtle),,7,産業・研究開発用品,6,2,0,,3142,8100,BURTLE バートル エアークラフト用ファンフィルター AC200,B07BL71VJW,https://www.google.com/search?q=BURTLE%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
タカラトミー(TAKARA TOMY),A_メインレーン,日本語商号あり→gBizINFOで従業員数照合へ,タカラトミー(TAKARA TOMY),,7,おもちゃ,6,2,0,,1983,7900,タカラトミー(TAKARA TOMY) BEYBLADE X ベイブレードX BX-48 ランダムブースターVol.9,B0GG8QM8YS,https://www.google.com/search?q=%E3%82%BF%E3%82%AB%E3%83%A9%E3%83%88%E3%83%9F%E3%83%BC%28TAKARA%20TOMY%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
すごろくや,A_メインレーン,日本語商号あり→gBizINFOで従業員数照合へ,すごろくや,,6,おもちゃ,5,1,0,,501,1970,すごろくや ナンジャモンジャ・シロ 2人 - 6人 4歳 15分 命名 記憶 反射神経 パーティー 子供向け ボードゲーム,B01B7QHIGO,https://www.google.com/search?q=%E3%81%99%E3%81%94%E3%82%8D%E3%81%8F%E3%82%84%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
