メーカー,レーン,要注意,判定理由,商号候補,法人格表記,該当商品数,主カテゴリ,第三者セラー数,屋号型セラー数,CNスコア,CNシグナル,想定仕入れ上限の中央値,Amazon価格の中央値,代表商品,代表ASIN,メーカー検索
UGREEN,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,Ugreen Group Limited,,24,家電&カメラ,4,2,0,,2012,5220,UGREEN ipad ペンシル ワイヤレス/Type-C急速充電 2way充電 タッチペン アップルペンシル 磁気吸着充電,B0CT39ZSMZ,https://www.google.com/search?q=UGREEN%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
CIO,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,CIO,,21,パソコン・周辺機器,5,1,0,,2282,6141,CIO モバイルバッテリー USB-Cケーブル内蔵 軽量 10000mAh SMARTCOBY Pro SLIM CABLE 35W (ホワイト),B0D53Z5BYG,https://www.google.com/search?q=CIO%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
iClever,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,iClever,,13,パソコン・周辺機器,2,0,0,,1636,3990,iClever ゲーミングキーボード テンキーレス 赤軸 メカニカル キーボード 日本語配列 マクロ対応 G06 ブラック,B0D86XCN4G,https://www.google.com/search?q=iClever%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Soundcore,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,Anker,,13,家電&カメラ,6,2,0,,4250,9990,Anker Soundcore V20i ブラック,B0D4Z8NPH7,https://www.google.com/search?q=Soundcore%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Hobbywing,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,HOBBYWING,,5,おもちゃ,6,1,0,,2036,4290,HOBBYWING ESC プログラムカード PG-CARD General HW30501003,B01M4JV05V,https://www.google.com/search?q=Hobbywing%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
JIT,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,JIT,,5,パソコン・周辺機器,4,2,0,,1820,3387,BC-340XL BC-341XL キヤノン用 Canon ジット リサイクルインク ブラック 黒 カラー 大容量 2個セット 日本製 MG3630,B07H7FNZNP,https://www.google.com/search?q=JIT%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Runbod,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,Runbod,,4,DIY・工具・ガーデン,2,0,0,,360,1609,sata usb 変換ケーブル 3.5/2.5インチ SSD HDD SATA USB変換アダプター SATA3 USB3.0 変換ケーブル 電源アダプター付 ,B07SGBYB6Z,https://www.google.com/search?q=Runbod%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ProtoArc,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,Fiico,,4,パソコン・周辺機器,2,0,0,,2702,4980,【革新版】ProtoArc EM11 NL エルゴノミクスマウス 縦型58° 静音 無線 Bluetooth 2.4GHz 3台同時接続 手首楽,B0FNKZ6666,https://www.google.com/search?q=ProtoArc%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
GADEBAO,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,GADEBAO,,3,パソコン・周辺機器,2,1,0,,1223,2557,USB C HDMI 変換アダプター 2in1 4K60Hz タイプC hdmi iphone hdmi変換ケーブル typec 100W PD充電,B0DTTBZ6KJ,https://www.google.com/search?q=GADEBAO%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
MINLU,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,MINLU,,3,パソコン・周辺機器,2,0,0,,839,2499,【100W】巻き取り式充電ケーブル タイプc usb c ケーブル 巻き取り 1.2m リール式 PD対応100W/5A 超急速充電 高速データ転送,B0BKKL1M31,https://www.google.com/search?q=MINLU%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
