メーカー,レーン,判定理由,商号候補,法人格表記,該当商品数,主カテゴリ,第三者セラー数,屋号型セラー数,CNスコア,CNシグナル,想定仕入れ上限の中央値,Amazon価格の中央値,代表商品,代表ASIN,メーカー検索
ノーブランド品,除外:ノーブランド,メーカー名が特定できない(ノーブランド品/Generic),ノーブランド品,,15,おもちゃ,6,3,0,,1411,3198,日立 HITACHI NET-KV5 001 洗濯機用糸くずフィルター （下）,B09ZDD8R65,https://www.google.com/search?q=%E3%83%8E%E3%83%BC%E3%83%96%E3%83%A9%E3%83%B3%E3%83%89%E5%93%81%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Generic,除外:ノーブランド,メーカー名が特定できない(ノーブランド品/Generic),AJP-MJD,,2,スポーツ&アウトドア,4,1,0,,1456,3340,キャップライト 充電式 ヘッドライト 帽子ライト ヘルメット対応 軽量38g モード記憶 赤色灯搭載 センサー機能付き 釣り・キャンプ・作業用 収納ボックス＆日,B0G4VB69LP,https://www.google.com/search?q=Generic%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ウォルト・ディズニー・ジャパン株式会社,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),Happinet,あり,56,DVD,6,2,2,S2_ピンイン風セラー+S3_略号JPセラー,4110,9790,スター・ウォーズ コンプリート・サーガ ブルーレイコレクション(9枚組) (初回生産限定) [Blu-ray],B013HK778M,https://www.google.com/search?q=%E3%82%A6%E3%82%A9%E3%83%AB%E3%83%88%E3%83%BB%E3%83%87%E3%82%A3%E3%82%BA%E3%83%8B%E3%83%BC%E3%83%BB%E3%82%B8%E3%83%A3%E3%83%91%E3%83%B3%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
UNIVERSAL MUSIC GROUP,除外:メディア,再販制度対象(法人化でも解けない),Universal Music,,38,ミュージック,6,4,2,S2_ピンイン風セラー+S3_略号JPセラー,3405,9672,グレイテスト・ヒッツ (デラックス・エディション+ライヴ・コレクション)(限定盤)(SHM-CD)(6枚組) - エアロスミス,B0C8TJBD3Q,https://www.google.com/search?q=UNIVERSAL%20MUSIC%20GROUP%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Universal,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),Universal Studios,,34,DVD,6,2,2,S2_ピンイン風セラー+S3_略号JPセラー,4418,9118,Inglourious Basterds (Blu-ray + DVD),B0068FYZ3Y,https://www.google.com/search?q=Universal%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
SONY MUSIC,除外:メディア,再販制度対象(法人化でも解けない),ソニー・ミュージックレーベルズ,,30,ミュージック,6,3,2,S3_略号JPセラー,4076,9750,Human Universe (完全生産限定盤) (アナログ盤) [Analog],B0D95TBMJ6,https://www.google.com/search?q=SONY%20MUSIC%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
WARNER BROS,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),Warner Home Video,,24,DVD,6,1,2,S3_略号JPセラー,4001,10268,Prestige - Die Meister der Magie: 4K Ultra HD Blu-ray + Blu-ray,B075FSMR1Z,https://www.google.com/search?q=WARNER%20BROS%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ワーナーホームビデオ,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),Warner Home Video,,23,DVD,6,2,2,S2_ピンイン風セラー,3322,7422,Casablanca,B000056HRZ,https://www.google.com/search?q=%E3%83%AF%E3%83%BC%E3%83%8A%E3%83%BC%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%93%E3%83%87%E3%82%AA%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Sony Pictures Home Entertainment,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),Happinet,,22,DVD,6,2,2,S2_ピンイン風セラー+S3_略号JPセラー,4512,8390,ワンス・アポン・ア・タイム・イン・ハリウッド 4K ULTRA HD & ブルーレイセット(初回生産限定) [4K ULTRA HD + Blu-ray],B07ZJK4H1R,https://www.google.com/search?q=Sony%20Pictures%20Home%20Entertainment%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
任天堂,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),任天堂,,20,ゲーム,6,4,2,S2_ピンイン風セラー+S3_略号JPセラー,2734,7140,マリオカート8 デラックス+Joy-Conハンドル 2個セット,B06XTHP83H,https://www.google.com/search?q=%E4%BB%BB%E5%A4%A9%E5%A0%82%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
