メーカー,該当商品数,主なカテゴリ,判定,判定理由,卸の証拠,規模,日本実体シグナル,海外シグナル,国内独立セラー例,国内独立セラー数,独立セラー数,想定仕入れ金額の中央値,代表ASIN,代表商品名,代表Amazonページ,メーカー検索,※Keepa固有の加工値(月間ドロップ数/過去最安値/365日最安/月間販売数/実セラー数)と卸値の列は規約上の理由でリポジトリから除外。完全版は ~/Documents/AI Company 素材/Amazon物販事業/keepa-netsea-full-20260906/
ウォルト・ディズニー・ジャパン株式会社,54,DVD,条件付き（再販/版元カテゴリ）,ルートカテゴリ=DVD,A: 国内の第三者が2社以上で扱っている,規模未確認,JAN45/49／manufacturer日本語／メーカー名日本語／日本法人格,なし,スリーポイント / またあか書店 / ホビー通販～未来屋～,5,6,4295,B0CKLT1XKJ,インディ・ジョーンズと運命のダイヤル 4K UHD MovieNEX [4K ULTRA HD+ブルーレイ+デジタルコピ,https://www.amazon.co.jp/dp/B0CKLT1XKJ,https://www.google.com/search?q=%E3%82%A6%E3%82%A9%E3%83%AB%E3%83%88%E3%83%BB%E3%83%87%E3%82%A3%E3%82%BA%E3%83%8B%E3%83%BC%E3%83%BB%E3%82%B8%E3%83%A3%E3%83%91%E3%83%B3%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
UNIVERSAL MUSIC GROUP,38,ミュージック,条件付き（再販/版元カテゴリ）,ルートカテゴリ=ミュージック,A: 国内の第三者が2社以上で扱っている,規模未確認,JAN45/49／manufacturer日本語,なし,バンダレコードweb店 / Felista玉光堂 / ときめき ライフ,6,6,3405,B0D58WKG7X,TOMORROW X TOGETHER ＜ACT : SWEET MIRAGE＞ IN JAPAN (初回限定盤)(3枚,https://www.amazon.co.jp/dp/B0D58WKG7X,https://www.google.com/search?q=UNIVERSAL%20MUSIC%20GROUP%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
Universal,34,DVD,条件付き（再販/版元カテゴリ）,ルートカテゴリ=DVD,A: 国内の第三者が2社以上で扱っている,規模未確認,JAN45/49／manufacturer日本語,なし,"★am store★ご購入前に店舗名をクリックし「出品者について」をお読みください / 東京エムケイセンター本店 / ✅ 宇 宙 円 盤 舎 -Disctail,Inc.-",4,6,4417,B01DDGU9YE,デンジャラス・ウーマン~デラックス・エディション(初回限定盤)(DVD付),https://www.amazon.co.jp/dp/B01DDGU9YE,https://www.google.com/search?q=Universal%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
SONY MUSIC,30,ミュージック,条件付き（再販/版元カテゴリ）,ルートカテゴリ=ミュージック,A: 国内の第三者が2社以上で扱っている,大企業確定,JAN45/49／manufacturer日本語,なし,総合アニメショップ「赤い熊さん」(oricon/Billboard加盟店) / エスネット ストアー / ときめき ライフ,5,6,4076,B0FYNTH1LX,EPIPHANY at TOKYO DOME 2025.06.15 (初回生産限定盤) (DVD) - UVERworl,https://www.amazon.co.jp/dp/B0FYNTH1LX,https://www.google.com/search?q=SONY%20MUSIC%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
WARNER BROS,23,DVD,条件付き（再販/版元カテゴリ）,ルートカテゴリ=DVD,A: 国内の第三者が2社以上で扱っている,規模未確認,なし,なし,MIDORI TRADING (輸入品専門店) / グローバル輸入館 / インポートショップ泉堂,3,6,3970,B00C2IPB70,INCEPTION,https://www.amazon.co.jp/dp/B00C2IPB70,https://www.google.com/search?q=WARNER%20BROS%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
ワーナーホームビデオ,23,DVD,条件付き（再販/版元カテゴリ）,ルートカテゴリ=DVD,A: 国内の第三者が2社以上で扱っている,規模未確認,JAN45/49／manufacturer日本語／メーカー名日本語,なし,ＳＨＯＰ　ＫＵＲＯ　真心を込めてお届けします☆ / Beautiful Lifeショップ / 未来屋陶商店,3,6,3322,B009KKHOX2,ダークナイト トリロジー ブルーレイBOX(初回数量限定生産) [Blu-ray],https://www.amazon.co.jp/dp/B009KKHOX2,https://www.google.com/search?q=%E3%83%AF%E3%83%BC%E3%83%8A%E3%83%BC%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%93%E3%83%87%E3%82%AA%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
Sony Pictures Home Entertainment,21,DVD,条件付き（再販/版元カテゴリ）,ルートカテゴリ=DVD,A: 国内の第三者が2社以上で扱っている,大企業確定,JAN45/49／manufacturer日本語,なし,アイルオンラインストア ※すり替え対策店※ ★賞味期限あるものはコンディションにて要確認★ / レインボードラゴンオンラインストア / ホビー通販～未来屋～,4,6,4443,B0CFYF162D,バイオハザード：デスアイランド　プレミアム・エディション(初回生産限定) [Blu-ray],https://www.amazon.co.jp/dp/B0CFYF162D,https://www.google.com/search?q=Sony%20Pictures%20Home%20Entertainment%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
Disney(ディズニー),20,DVD,条件付き（再販/版元カテゴリ）,ルートカテゴリ=DVD,A: 国内の第三者が2社以上で扱っている,規模未確認,メーカー名日本語,なし,Kahala Market(輸入品専門店) / 月夜商店 / townsandstreets（国内発送）,4,6,3166,B07BZ5F71X,Avengers: Infinity War,https://www.amazon.co.jp/dp/B07BZ5F71X,https://www.google.com/search?q=Disney%28%E3%83%87%E3%82%A3%E3%82%BA%E3%83%8B%E3%83%BC%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
任天堂,20,ゲーム,条件付き（再販/版元カテゴリ）,ルートカテゴリ=ゲーム,A: 国内の第三者が2社以上で扱っている,規模未確認,JAN45/49／manufacturer日本語／メーカー名日本語,なし,PENTACT JAPAN(土・日・祝休まず出荷 / インボイス登録店) / らいぶShop,5,6,2734,B078Y35VK4,星のカービィ スターアライズ - Switch,https://www.amazon.co.jp/dp/B078Y35VK4,https://www.google.com/search?q=%E4%BB%BB%E5%A4%A9%E5%A0%82%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
20TH CENTURY STUDIOS,18,DVD,条件付き（再販/版元カテゴリ）,ルートカテゴリ=DVD,A: 国内の第三者が2社以上で扱っている,規模未確認,なし,なし,WAKUWAKUHOUSE 輸入DVD・ＣＤ・ゲームの販売店 / 輸入アイテム専門店METHODメソッド / インポートショップ泉堂,4,6,4965,B003ZSJ212,Star Wars the Complete Saga/,https://www.amazon.co.jp/dp/B003ZSJ212,https://www.google.com/search?q=20TH%20CENTURY%20STUDIOS%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
ソニー・インタラクティブエンタテインメント,18,ゲーム,条件付き（再販/版元カテゴリ）,ルートカテゴリ=ゲーム,A: 国内の第三者が2社以上で扱っている,大企業確定,JAN45/49／manufacturer日本語／メーカー名日本語,なし,レイはうちのねこ(商品情報詳細をよくご確認下さい) / オリジン電化 / シロイ商店,6,8,5362,B07JYZ51M8,プレイステーション クラシック,https://www.amazon.co.jp/dp/B07JYZ51M8,https://www.google.com/search?q=%E3%82%BD%E3%83%8B%E3%83%BC%E3%83%BB%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%A9%E3%82%AF%E3%83%86%E3%82%A3%E3%83%96%E3%82%A8%E3%83%B3%E3%82%BF%E3%83%86%E3%82%A4%E3%83%B3%E3%83%A1%E3%83%B3%E3%83%88%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
講談社,18,本,条件付き（再販/版元カテゴリ）,ルートカテゴリ=本,A: 国内の第三者が2社以上で扱っている,規模未確認,manufacturer日本語／メーカー名日本語／日本法人格,なし,マイスペース【24時間/365日即日発送】 / つばめ書店　（２冊以上で自動の場合的に速達出荷。雑誌BN、一部書籍は発送に時間がかかる場合有） / BSHストア,5,6,3575,B0G38MBM9H,ちいかわ なんか小さくてかわいいやつ　コミック　1-8巻セット (講談社),https://www.amazon.co.jp/dp/B0G38MBM9H,https://www.google.com/search?q=%E8%AC%9B%E8%AB%87%E7%A4%BE%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
Bandai Namco,16,ゲーム,条件付き（再販/版元カテゴリ）,ルートカテゴリ=ゲーム,A: 国内の第三者が2社以上で扱っている,大企業確定,JAN45/49／manufacturer日本語,なし,パーソナルストア　本店 / あじあ堂 / Item shop オンライン店,4,7,2024,B0792P3CJ5,SDガンダム ジージェネレーション ジェネシス for Nintendo Switch,https://www.amazon.co.jp/dp/B0792P3CJ5,https://www.google.com/search?q=Bandai%20Namco%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
ポニーキャニオン,16,DVD,条件付き（再販/版元カテゴリ）,ルートカテゴリ=DVD,A: 国内の第三者が2社以上で扱っている,規模未確認,JAN45/49／manufacturer日本語／メーカー名日本語,なし,"コナカオンラインショップ / トリプルハート / ✅ 宇 宙 円 盤 舎 -Disctail,Inc.-",3,5,6257,B07KR99CK8,劇場版コード・ブルー -ドクターヘリ緊急救命- 4K Ultra HD Blu-ray豪華版[本編4K UHD BD+本,https://www.amazon.co.jp/dp/B07KR99CK8,https://www.google.com/search?q=%E3%83%9D%E3%83%8B%E3%83%BC%E3%82%AD%E3%83%A3%E3%83%8B%E3%82%AA%E3%83%B3%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
