メーカー,該当商品数,主なカテゴリ,判定,判定理由,卸の証拠,規模,日本実体シグナル,海外シグナル,国内独立セラー例,国内独立セラー数,独立セラー数,想定仕入れ金額の中央値,代表ASIN,代表商品名,代表Amazonページ,メーカー検索,※Keepa固有の加工値(月間ドロップ数/過去最安値/365日最安/月間販売数/実セラー数)と卸値の列は規約上の理由でリポジトリから除外。完全版は ~/Documents/AI Company 素材/Amazon物販事業/keepa-netsea-full-20260906/
CIO,21,パソコン・周辺機器,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49,なし,ハウオリストア / 暮らしは良品 / TMK ストア,3,5,2282,B0D53VY57G,CIO NovaPort DUOⅡ 45W PD急速充電器 USB-C×2 2台同時充電 世界最小級 （ブラック）,https://www.amazon.co.jp/dp/B0D53VY57G,https://www.google.com/search?q=CIO%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
マタインク,17,パソコン・周辺機器,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認,manufacturer日本語／メーカー名日本語,なし,互換インク専門家 / Tufuha専門店 / インク専門家,3,3,674,B0DD79PNC4,マタインク BCI-301 BCI-300 5本セット TS7530 インク キヤノン用 インク 純正と併用可能 301,https://www.amazon.co.jp/dp/B0DD79PNC4,https://www.google.com/search?q=%E3%83%9E%E3%82%BF%E3%82%A4%E3%83%B3%E3%82%AF%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
ワコーズ(Wako's),10,車＆バイク,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認（大きい可能性あり）,JAN45/49／manufacturer日本語／メーカー名日本語,なし,公式 E&K726 / Tネット【インボイス制度・適格請求書発行事業者】 / プロジェクトエム 【インボイス対応事業者】業歴14年 安心の国内法人運営ストア 適確請求書発行事業者,5,6,1788,B0GHTJ1BCL,ワコーズ(Wako's) パワーエアコン134 カーエアコン用潤滑添加剤 PAC134 25ｇ A053,https://www.amazon.co.jp/dp/B0GHTJ1BCL,https://www.google.com/search?q=%E3%83%AF%E3%82%B3%E3%83%BC%E3%82%BA%28Wako%27s%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
ラブホーム美家,8,ホーム＆キッチン,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認,manufacturer日本語／メーカー名日本語,なし,ラブホーム・ライフ (Love Home Life) / Love Home 美家,2,3,929,B0DKN5QVXC,【新登場 & 3色モード】間接照明 おしゃれ テーブルランプ コードレス 3600mAh 卓上ライト｜タッチ制御＆無段階,https://www.amazon.co.jp/dp/B0DKN5QVXC,https://www.google.com/search?q=%E3%83%A9%E3%83%96%E3%83%9B%E3%83%BC%E3%83%A0%E7%BE%8E%E5%AE%B6%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
BURTLE,7,産業・研究開発用品,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認（大きい可能性あり）,JAN45/49／manufacturer日本語,なし,【セレクトショップ】plus mix / 蔦屋オンラインストア / imashop.【詐欺すり替え対策店】,5,6,3142,B0GNPX3GVM,バートル BURTLE ペルチェファンユニット IC10-1 アイスクラフト エアークラフト 京セラ製 黒ファン 202,https://www.amazon.co.jp/dp/B0GNPX3GVM,https://www.google.com/search?q=BURTLE%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
Hamee(ハミィ),7,家電＆カメラ,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認（大きい可能性あり）,JAN45/49／メーカー名日本語,なし,星空store / dream 本店 / 株式会社コジマ,3,3,703,B0DM9N23S5,iFace BeBling Wave MagSafe対応 スマホリング MagSynq Ring Holder (ホワイ,https://www.amazon.co.jp/dp/B0DM9N23S5,https://www.google.com/search?q=Hamee%28%E3%83%8F%E3%83%9F%E3%82%A3%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
BOS,6,DIY・工具・ガーデン,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49,なし,通販できるみんなのお薬（みんなのお薬） / 有限会社　たからや / カワモール,5,6,1027,B078BJF55P,驚異の防臭袋 BOS (ボス) うんちが臭わない袋 ペット用 うんち 処理袋【袋カラー：ブルー】 (Sサイズ 200枚入,https://www.amazon.co.jp/dp/B078BJF55P,https://www.google.com/search?q=BOS%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
すごろくや,6,おもちゃ,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語／メーカー名日本語,なし,Clips（クリップス）《適格請求書発行事業者》 / おもちゃ＆ホビーSHOP あまのや ≪年中無休≫ / MKショップWEB店,3,4,501,B0D7CQ42MN,すごろくや バンディド 1人 - 4人 6歳 15分 協力 迷路 脱獄 封鎖 ファミリー ボードゲーム,https://www.amazon.co.jp/dp/B0D7CQ42MN,https://www.google.com/search?q=%E3%81%99%E3%81%94%E3%82%8D%E3%81%8F%E3%82%84%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
ブシロード(BUSHIROAD),6,おもちゃ,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認（大きい可能性あり）,JAN45/49／メーカー名日本語,なし,コンハウス / おかげさま本舗本店（適格請求書発行事業者） / TM オンライン,6,6,2150,B0DN9ZWPRW,五等分の花嫁 カードゲーム ブースターパック vol.6 お祭り騒ぎの日常 12パック入りBOX,https://www.amazon.co.jp/dp/B0DN9ZWPRW,https://www.google.com/search?q=%E3%83%96%E3%82%B7%E3%83%AD%E3%83%BC%E3%83%89%28BUSHIROAD%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
愛知電線,6,産業・研究開発用品,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語／メーカー名日本語,なし,株式会社コジマ / 電材堂・旧電電市場,2,3,1800,B00N89PJHY,愛知電線 VVF ケーブル2芯 2.0mm 20m 灰色 VVF2×2.0M20,https://www.amazon.co.jp/dp/B00N89PJHY,https://www.google.com/search?q=%E6%84%9B%E7%9F%A5%E9%9B%BB%E7%B7%9A%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
Hobbywing,5,おもちゃ,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49,なし,ミーニャ 簡易梱包、衣類ぬいぐるみ等は圧縮後発送となります / ホビーマンズ / 通販ショップの駿河屋,4,4,2036,B0816Q6JY9,【国内正規品】HOBBYWING QuicRUN-WP-1060-Brushed BEC内蔵 1/10用,https://www.amazon.co.jp/dp/B0816Q6JY9,https://www.google.com/search?q=Hobbywing%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
ファイナル(final),5,家電＆カメラ,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／メーカー名日本語,なし,KURO STORE （適格請求書発行事業者） / 東方Merchant,2,2,4946,B0DPK8XT5F,【final公式ストア限定】ag (エージー) COTSUBU for ASMR MK2 自分がダミーヘッドになったよう,https://www.amazon.co.jp/dp/B0DPK8XT5F,https://www.google.com/search?q=%E3%83%95%E3%82%A1%E3%82%A4%E3%83%8A%E3%83%AB%28final%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
BabySmile,4,ベビー＆マタニティ,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語／日本法人格,なし,"Hariti(ハーリティー) / 【公式】トイザらス・ベビーザらス Toys""R""Us Japan",2,3,4140,B0CQJMR3PY,ベビースマイル ベビーアラーム E-202 ベビーテックアワード2024大賞受賞商品 ベビーセンサー 赤ちゃん 見守り ,https://www.amazon.co.jp/dp/B0CQJMR3PY,https://www.google.com/search?q=BabySmile%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
