n,exhibitor,hits,strict,tokensLeft
1,升井彩本乾漆,2,NO,479
2,播州織,20,NO,489
3,久留米東部商工会,1,NO,479
4,"NANTONG YAZE TEXTILE GARMENTS CO., LTD.",0,NO,489
5,"JSTYLEKOREA CO., LTD.",0,NO,479
6,ジェッカ ブロック,20,NO,489
7,ICOSKOREA,2,YES,499
8,SLOCK LTD,0,NO,487
9,多気町商工会,0,NO,497
10,"BURICL CO., LTD.",0,NO,487
11,森本産業,20,YES,497
12,Nori’s Beer,0,NO,507
13,トリニティ,20,YES,497
14,FORBAL LIMITED,0,NO,507
15,福山北商工会,0,NO,497
16,覇楼館,16,YES,507
17,co-bo-no,8,NO,517
18,YOプリンセス,20,NO,507
19,"ONL CO., LTD",0,NO,517
20,Sott,20,YES,507
21,DEAR PIPI,0,NO,517
22,志成販売,20,YES,527
23,リソックラボ,0,NO,517
24,きみづかエイチアールイー,0,NO,527
25,"FOAMTECH (ZHEJIANG) NEW MATERIALS CO., LTD.",0,NO,517
26,"QINGDAO AORUI ARTS & CRAFTS CO., LTD.",0,NO,527
