メーカー名,分類,正式商号,法人番号,所在地,公式HP,電話,問い合わせフォームURL,メール,取得手段,出典URL,確度,備考,entity_type,email_source_url,email_optout_notice,personal_suspect,該当商品数,主なカテゴリ,想定仕入れ金額の中央値,Amazon価格の中央値,連絡可否,判定理由
ドリーミュージック,和名法人らしき,株式会社ドリーミュージック,4011001053247,〒150-0001 東京都渋谷区神宮前1-4-16 神宮前M-SQUARE,https://dreamusic.co.jp/,03-6892-1613,https://dreamusic.co.jp/inquiry/,,Exa(web_search_exa+web_fetch_exa),https://dreamusic.co.jp/company/ ; https://houjin.jp/c/4011001053247,確定,法人番号は houjin.jp（国税庁データの二次配信）由来のため参考。商号・所在地・電話は公式会社概要で確認。メールは非公開（フォームのみ）,法人,,,,2,DVD,5040,10686,可,電話＋フォームの両方が公式サイトに公開
アイアップ,和名法人らしき,株式会社アイアップ,,〒150-0002 東京都渋谷区渋谷1-5-7,https://www.eyeup.co.jp/,03-5467-5060,,,Exa(web_search_exa+web_fetch_exa),https://www.eyeup.co.jp/f/company,確定,法人番号は検索結果に出ず（未取得）。フォームURLは会社概要ページからは特定できず未取得。メール非公開,不明,,,,1,おもちゃ,1575,7000,可,公式サイトに代表電話
プロクソン(PROXXON),和名法人らしき,株式会社キソパワーツール,,〒545-0021 大阪府大阪市阿倍野区阪南町7-1-8,https://kiso-proxxon.co.jp/,06-6693-5351,,,Exa(web_search_exa+web_fetch_exa),https://kiso-proxxon.co.jp/publics/index/140/ ; https://www.proxxon.com/jp/,確定,PROXXON はドイツ本国ブランド。日本には製造販売元の株式会社キソパワーツールと、販売代理店の PROX-TECH Co. Ltd の2社が存在（PROXXON 公式の日本代理店ページで確認）。本行は製造販売元のキソパワーツールを採用した。フォームURLは特定できず未取得,不明,,,,1,DIY・工具・ガーデン,7058,16100,可,公式サイトに代表電話
カワサキ(Kawasaki),和名法人らしき,株式会社カワサキモータースジャパン,9140001034735,〒673-8666 兵庫県明石市川崎町1番1号,https://www.kawasaki-motors.com/ja-jp/,0120-400819,,,Exa(web_search_exa+web_fetch_exa),https://www.kawasaki-motors.com/ja-jp/corporate,確定,代表商品『Vent Vert 冴強』はカワサキ純正オイル。1回目の検索では『トタル・ルブリカンツ・ジャパン（受託製造元）』『株式会社ヴァンヴェール（無関係）』『株式会社ルチア（無関係な育毛剤）』が混在し確定できず、2回目の検索で総販売元を特定した。法人番号は公式サイト記載のインボイス登録番号 T9140001034735 の T を除いた値。電話はお客様相談室のフリーダイヤル（仕入れ窓口ではない）,法人,,,,2,車＆バイク,1848,7035,可,お客様相談室のみ。仕入れ窓口ではないため実用度は低い
ジャニーズ・エンタテイメント,和名法人らしき,株式会社ジャニーズ・エンタテイメント,2011001042053,〒107-0052 東京都港区赤坂8丁目11番20号,,,,,Exa(web_search_exa),https://datagojp.com/corporate/2011001042053,参考,法人番号・商号・所在地は取れたが、**連絡手段はゼロ**。ジャニーズ事務所は2023-10に SMILE-UP. へ商号変更し、マネジメントは STARTO ENTERTAINMENT へ移管。レーベルとしての公式サイト・窓口は現存しない。登記情報の最終変更は2019-02-26。**実務上は連絡不能**,法人,,,,1,DVD,1851,7722,不可,法人は存在するが公開窓口が消滅
ＭＥＮＧＬＩ盟励,和名法人らしき,,,,,,,,Exa(web_search_exa),,不明,**取得ゼロ。** 検索結果5件のうち3件が偽ECサイト（umd5533191.xbiz.jp / agritechmurcia.com / opencouncil.co.zw）、2件がアフィリエイト記事。公式サイト・法人・日本窓口いずれも存在しない。Amazon 専売の中国系プライベートブランドと判断。**偽サイト記載の連絡先は採用しなかった**,不明,,,,1,ホーム＆キッチン,968,2799,不可,実体となる法人・窓口が見つからない
あしあげ隊,和名法人らしき,株式会社タツフト,,〒141-0031 東京都品川区西五反田2丁目15-7 ジブラルタ生命五反田ビル1F,https://www.tatsufuto.co.jp/,03-3779-6186,https://www.tatsufuto.co.jp/ashiage/lp/,,Exa(web_search_exa),https://www.tatsufuto.co.jp/office/ ; https://www.tatsufuto.co.jp/ashiage/lp/,確定,『あしあげ隊』はブランド名で、法人は株式会社タツフト。フォームは法人向けLP内のもの（種別=法人・商談希望の選択肢あり）。**卸・OEM の打診先として最も筋が良い1社**。法人番号は未取得,不明,,,,2,DIY・工具・ガーデン,1126,3299,可,電話＋法人向け商談フォームの両方あり
ドレミ楽譜出版社,和名法人らしき,株式会社ドレミ楽譜出版社,4011601004938,〒178-0065 東京都練馬区西大泉5丁目33番32号（本社）／〒171-0033 東京都豊島区高田3丁目10番10号 ドレミ・サーティース・メモリアル4F（営業部）,https://www.doremi.co.jp/,03-5291-1645,,,Exa(web_search_exa),https://www.doremi.co.jp/pages/2/ ; https://houjin.jp/c/4011601004938 ; https://www.j-gakufu.com/summary-member.html,確定,電話は営業部の番号（公式会社案内および日本楽譜出版協会の会員名簿で一致）。本社の代表番号 03-3988-6451 はマピオン電話帳（第三者）由来のため採用せず,法人,,,,1,本,930,5343,可,営業部の直通電話が公式サイトに掲載
メディコム・トイ(MEDICOM TOY),和名法人らしき,株式会社メディコム・トイ,,〒151-0064 東京都渋谷区上原3-22-5,https://www.medicomtoy.co.jp/,03-3460-3933,https://contact.medicomtoy.co.jp/,,Exa(web_search_exa),https://www.medicomtoy.co.jp/company/ ; https://contact.medicomtoy.co.jp/,確定,サポート窓口の電話は 03-3460-7555（別番号）。会社概要の代表TELは 03-3460-3933。メールは mct.recruit@medicomtoy.co.jp のみ見つかったが**採用専用のため不採用**。法人番号は未取得,不明,,,,2,ホビー,5922,12491,可,代表電話＋サポートフォーム
エレコム(ELECOM),和名法人らしき,エレコム株式会社,5120001094974,〒541-8765 大阪市中央区伏見町4-1-1 明治安田生命大阪御堂筋ビル9F,https://www.elecom.co.jp/,06-6229-1418,,,Exa(web_search_exa),https://info.gbiz.go.jp/hojin/ichiran?hojinBango=5120001094974 ; https://www.elecom.co.jp/company/bases/,確定,法人番号は gBizINFO（経産省）で確認＝公的DB。東証プライム上場の大手。**初回5万円の小ロット直取引の相手ではない**。フォームURLは未特定,法人,,,,18,パソコン・周辺機器,2376,6570,可,代表電話。ただし規模的に本丸ではない
