# 【打診文の絶対条件・法務判定 v1.0】メール本文・署名にURLを一切貼らないこと（AmazonストアURL・自社サイト satoy-select.com・SNS すべて）。貼った瞬間に特定電子メール法2条2号の『広告宣伝ウェブサイトへの誘導』に該当し、相手の『営業お断り』表示が法的効力を持つ。白が黒に転ぶ唯一の分岐点。 ／ 1社1通・追送しない・断られたら即終了・一斉送信ツール禁止・実績ゼロを正直に書く。 ／ optout_class が D・E の社には打診しない。C は A/A_PLUS/B を全件消化した後・フォームのみ・1回限り。
順位,スコア,メーカー名,optout_class,contact_priority,action,allowed_channels,optout_hit_terms,optout_rule_ids,form_optout_notice,optout_source_url,optout_checked_at,recheck_condition,optout_needs_review,正式商号,法人番号,所在地,公式HP,電話,問い合わせフォームURL,メール,確度,取引可否シグナル,備考,出典URL,該当商品数,主なカテゴリ,想定仕入れ金額の中央値,Amazon価格の中央値,代表商品名
1,1.0451,SUN-S(サンエス),A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.sun-s.jp/,2026-09-04,,,株式会社サンエス,,〒720-2124 広島県福山市神辺町大字川南741番地の1,https://www.sun-s.jp/,084-963-1111,,,確定,連絡可,『空調風神服』のメーカー。1932年創業・従業員500名・売上240億円（連結）。★取引先が『**全国弊社製品取扱代理店**』と明記されており、**代理店制を敷いている**。飛び込みの直取引は難しい見込み。空調風神服のカスタマーサポートは 0570-07-5566,https://www.sun-s.jp/corp/about.html ; https://www.sun-s.jp/corp/office.html,1,産業・研究開発用品,702,3580,サンエス【RD9010H】空調風神服用 斜めハイパワーファン2個セット／オリジナルステッカー付
2,1.0321,タイガーゴム,A,2,contact,"[""form"", ""mail"", ""phone""]",,,オリジナルの製品の開発、ご提供も可能です。,https://www.tigergomu.com/company.html,2026-09-04,,,株式会社タイガーゴム,,〒577-0065 大阪府東大阪市高井田中3-5-21,https://www.tigergomu.com/,06-6781-3331,https://www.tigergomu.com/contact.html,info@tigergomu.com,確定,有望(小ロット/OEM/B2Bの明示あり),★★最有力級。大正元年（1912年）創業のゴム風船メーカー。会社案内に『**創業当時より製造から完成品まですべて自社・国内製造（日本製）にこだわり**』『**オリジナルの製品の開発、ご提供も可能です**』と明記＝**OEM受託を公開**。メール・電話・フォームの3経路すべて公開。営業お断りの記載なし,https://www.tigergomu.com/company.html ; https://www.tigergomu.com/contact.html,1,おもちゃ,249,1780,【縁日 景品 水ヨーヨーセット】水ヨーヨー クリップ付き 100個 セット ヨーヨーすくい ヨーヨー釣り 夏祭り【Festival Plaza】
3,1.0058,バイクハンド(Bike Hand),A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://e-ftb.co.jp/,2026-09-04,,,株式会社フタバ,,,https://e-ftb.co.jp/,,,,候補,連絡不可,BIKE HAND は1988年設立の**台湾の自転車工具ブランド**（多数の特許を保有）。日本では**株式会社フタバ**が取り扱っている。★フタバの所在地・電話・メールは今回の検索では取得できず空欄。**日本の取扱会社が判明した段階**で、連絡先は追加調査が必要,https://e-ftb.co.jp/item/brand/bikehand/ ; https://www.bikehand.com/en/e-catalog.html,1,スポーツ＆アウトドア,288,1780,BIKE HAND 自転車 ペダルレンチ 高トルク 15mm対応 プロフェッショナル 工具（YC-163L）
4,0.9865,Hikari(ヒカリ),A,2,contact,"[""form"", ""mail"", ""phone""]",,,弊社は一般のお客様への直接の販売は致しておりません。,https://www.kyorin-net.co.jp/,2026-09-04,,true,"株式会社キョーリン（Kyorin CO.,LTD.）",9140001058544,〒670-0912 兵庫県姫路市南町9番地,https://www.kyorin-net.co.jp/,,,,候補,連絡不可,★**直販していないと公式トップに明記**：『弊社は一般のお客様への直接の販売は致しておりません。また、海外については、弊社が設定した海外代理店への販売のみ行っております』。観賞魚飼料の国内トップシェア（Hikariブランド）で、卸（神畑養魚株式会社）経由の流通。**直取引の相手ではない。仕入れるなら卸レーン**。電話は公式で確認できず空欄。法人番号は第三者DB由来,https://www.kyorin-net.co.jp/ ; https://houjin.goo.to/corporations/9140001058544,1,ペット用品,338,1900,「ヒカリ (Hikari) ひかりクレスト タートルスタンドパック 250g」 2個セット
5,0.9539,アセキ,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,,2026-09-04,,,,,,,,,,不明,連絡不可,**取得ゼロ。** 検索結果は偽ECサイト（sgpstudios.com）と無関係な会社のみ。ヒットした『株式会社アセック』は兵庫県尼崎市の**計量データ処理システムの会社で、ジューサーとは無関係**なので採用しなかった。『アセキ』ブランドの運営元に関する一次情報がない。Amazon専売の中国系ブランドの可能性,,2,ホーム＆キッチン,3355,6973,"アセキ ジューサー スロージューサー 搾りカス分離 低速回転 小型 ミキサー 高い搾汁率 酸化しにくい 取り付け簡単(ブラック, Mサイズ)"
6,0.9528,トキワ商事,A_PLUS,1,contact,"[""form"", ""mail"", ""phone""]",仕入,A1_trade_window,おもちゃの卸全般ご相談下さい ≫トキワ商事は他社とどう違うの？≫仕入れ完了までの流れは？≫個人でも取引できるの？≫初めての取引の場合はどうするの？,https://www.tokiwatoy.com/,2026-09-04,,,"株式会社トキワ商事（TOKIWA SHOJI CO.,LTD）",,〒547-0048 大阪市平野区平野馬場1-3-28（本社）／〒101-0031 東京都千代田区東神田3-6-11 馬場ビル2F（東京営業所）／〒594-1144 大阪府和泉市テクノステージ3-5-11（物流）,https://www.tokiwatoy.com/,06-6792-1221,https://www.tokiwatoy.com/ask.php,,確定,連絡可,★★最有力級。**玩具卸売業・企画・製造が本業**（取扱：小物玩具・景品玩具・イベント用クジ引き・流行玩具）。公式トップに『**個人でも取引できるの？**』『**初めての取引の場合はどうするの？**』『仕入れ完了までの流れは？』というFAQ導線があり、**新規取引を明示的に受け付けている**。フリーダイヤル 0120-122-187 も公開。営業お断りの記載なし,https://www.tokiwatoy.com/co.php ; https://www.tokiwatoy.com/,1,おもちゃ,585,2840,【タイガーキャット】トキワ商事 スーパーボール ミックス 18mm (まとめ買い・500入)
7,0.9527,快適設計IBR,A,2,contact,"[""form"", ""mail"", ""phone""]",,,レディースアパレル卸・企画・製造ならIBR,https://ibr.ne.jp/,2026-09-04,,,株式会社アイビーアール（IBR）,,大阪市中央区博労町2丁目6番7号 東邦ビル8階,https://ibr.ne.jp/,06-6281-8088,,shop@ibr.ne.jp,確定,有望(小ロット/OEM/B2Bの明示あり),★★本丸候補。**本業がレディースアパレルの卸・企画・製造（OEM）**で、日本と中国の橋渡しを自称。コロナ期に不織布マスクの輸入販売へ進出したのが『IBR 高機能マスクSHOP』。メール・電話を公開（フリーダイヤル 0120-338-818／代表 06-6281-8088）。営業9:00-17:30 土日祝休。**卸・OEMが本業なので取引の話が通じる型**,https://ibr.official.ec/about ; https://ibr.ne.jp/archives/news/マスク事業-2/,1,産業・研究開発用品,529,1980,[快適設計IBR] KN95 マスク 不織布 5層 CNAS機関認証済み 旧製品「レギュラー」の新バージョン 立体構造 ノーズスポンジ付き 曇りにくい 耳が痛くなりにくい 20枚入
8,0.9493,大石天狗堂(Ooishi Tengudo),A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.tengudo.jp/,2026-09-04,,,株式会社 大石天狗堂,,〒612-8082 京都府京都市伏見区両替町二丁目350-1,https://www.tengudo.jp/,075-603-8688,https://www.tengudo.jp/contact,info@tengudo.jp,確定,連絡可,★★最有力級。寛政12年（1800年）創業のかるた老舗。資本金1000万円。全日本かるた協会公認の百人一首を製造。電話・メール・フォームの3経路すべて公開。営業時間 月〜金9:00-18:00・土10:00-17:00。営業お断りの記載なし,https://www.tengudo.jp/company ; https://www.tengudo.jp/contact,1,おもちゃ,1525,7300,大石天狗堂(Ooishi Tengudo) 小倉百人一首 歌かるた 標準取札
9,0.9472,イースター株式会社,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.yeaster.co.jp/,2026-09-04,,,イースター株式会社,,〒679-4132 兵庫県たつの市誉田町福田726番地（本社/関西工場）／〒885-0114 宮崎県都城市庄内町14307-2（都城工場）,https://www.yeaster.co.jp/,0791-63-2323,,,確定,連絡可,★1964年設立・自社工場2拠点（兵庫・宮崎）を持つペットフードメーカー。関東/関西/中部/九州に営業所。お客様相談室 0800-080-1122。**メールは意図的に空欄**：見つかった info@yeaster.co.jp は採用ページに『採用担当者』宛として記載されており、営業窓口ではない,https://www.yeaster.co.jp/company/ ; https://www.yeaster.co.jp/,3,ペット用品,156,1762,イースター ジリスセレクションプロ グルテンフリー 750g
10,0.9452,コモライフ,A,2,contact,"[""form"", ""mail"", ""phone""]",,,「Ａ＆Ｂトレードご利用規約 第9条（登録解除）9.その他当社が利用者として不適切と判断した時」により、90日間お取引履歴がない会員様や、極端にお取引履歴が少ない会員様に対しまして、今後も継続してご利用の意思がないものとし、事前通知なしに会員登録解除を行い、IDを無効とさせていただくことがございます。再登録をご希望の場合は…基本的にお断りさせていただいております。,https://www.ab.comolife.net/abtrade/html/,2026-09-04,,,コモライフ株式会社,,,https://www.comolife.co.jp/,,https://www.ab.comolife.net/abtrade/html/,,候補,連絡可,★★★**メーカーではなく卸。A-3（登録できるネット卸業者）に直結する発見。** 1972年設立・大阪。自社で『**A&Bトレード**』というネットショップ様専用の商品卸サイトを運営し、**約500社のネットショップが登録**。取引先にアマゾンジャパン・楽天・ディノスセシール・ベルーナ等。サイトに『**1個から注文可能**』『**商品直送対応**』『会員登録・利用は費用無料』と明記＝**予算5万円の初回仕入れに適合**。★ただし利用規約 第9条に『**90日間お取引履歴がない会員様や、極端にお取引履歴が少ない会員様は、事前通知なしに会員登録解除。再登録は基本的にお断り**』とあり、**1回きりの取引では切られる**。継続前提でないと使えない。★所在地・電話は公式サイトがWixのJSレンダリングで取得できず空欄（A&Bトレード側の会社概要ページは 404）,https://www.comolife.co.jp/ビジネスモデル ; https://www.ab.comolife.net/abtrade/html/,1,DIY・工具・ガーデン,544,1993,コモライフ サッと使える緊急携帯トイレ 18回分 600cc 非常用トイレ 簡易 携帯 トイレ 防災 男女兼用 凝固剤
