順位,メーカー名,スコア,該当商品数,想定仕入れ金額の中央値,Amazon価格の中央値,消化月数の中央値,主なカテゴリ,規模フラグ,リスク区分あり件数,代表商品名,代表ASIN
1,宝島社,2.6218,12,1082,4450,1,本,中小候補,0,mont-bell 50th ANNIVERSARY BOOK (TJMOOK),4299070062
2,ウォルト・ディズニー・ジャパン株式会社,2.1708,56,4110,9790,2,DVD,中小候補,0,スター・ウォーズ コンプリート・サーガ ブルーレイコレクション(9枚組) (初回生産限定) [Blu-ray],B013HK778M
3,ポニーキャニオン,1.8105,16,6258,11433,1,DVD,中小候補,0,I LOVE スヌーピー THE PEANUTS MOVIE 3枚組3D・2Dブルーレイ&DVD(初回生産限定) [Blu-ray],B00NLZS120
4,愛知電線,1.7712,6,1800,6500,1,産業・研究開発用品,中小候補,0,愛知電線 VVF ケーブル3芯 2.0mm 20m 灰色 VVF3×2.0M20,B00N8AD010
5,コナミデジタルエンタテインメント(Konami Digital Entertainment),1.6882,6,3353,10788,1,ゲーム,中小候補,0,eBASEBALLプロ野球スピリッツ2021 グランドスラム,B08ZZDL8J4
6,本間ゴルフ,1.5954,4,876,4330,1,スポーツ＆アウトドア,中小候補,0,ホンマ ゴルフ ボール TW-X TW-S 2024年モデル 1ダース 12球入り ホワイト イエロー 3ピース ツアー系 スピン 飛距離 ディスタンス ソフト ゴルフボール TO,B0CTLDN714
7,詰め替えそのまま,1.3697,4,884,2805,1,ホーム＆キッチン,中小候補,0,詰め替えそのまま MINI MS-6W シャンプーボトル ホワイト 3個組み,B0B7WWH2VH
8,カプコン(CAPCOM),1.347,4,3657,11200,1,ゲーム,中小候補,0,バイオハザード レクイエム デラックスエディション【早期購入特典】グレース コスチューム「APOCALYPSE」が入手できるダウンロードコード 同梱,B0FY4QGRYT
9,ジェイストーム,1.3343,14,2326,8110,2,DVD,中小候補,0,ARASHI Anniversary Tour 5×20(DVD)(初回仕様),B08F566N7B
10,Disney(ディズニー),1.334,20,3166,7848,2,DVD,中小候補,0,The Rocky Horror Picture Show,B00BU6MUHO
11,マタインク,1.3314,17,674,1903,1,パソコン・周辺機器,中小候補,17,マタインク BCI-331 BCI-330 6本セット キャノン用 インク 純正 と併用可 331 330 プリンター TS8730 インク,B0DD796SCZ
12,ワーナーホームビデオ,1.3246,23,3322,7422,2,DVD,中小候補,0,Casablanca,B000056HRZ
13,モリドライブ(MORIDRIVE),1.2412,2,682,5575,1,車＆バイク,中小候補,0,モリドライブ エンジンオイル サイレントプラス 5W-30 3L SP GF-6A 全合成油 四輪車 軽自動車 ルート産業 MORIDRIVE,B08QVJWS85
14,オーム社,1.237,2,554,4420,1,本,中小候補,0,ぜんぶ絵で見て覚える 第2種電気工事士 学科試験 すい～っと合格 2025年版,4274232964
15,ロイヤルカナン,1.2345,17,2347,5850,2,ペット用品,中小候補,0,ロイヤルカナン FBN ペルシャ・チンチラ・ヒマラヤン 成猫用 2kg,B000T5N94A
16,講談社,1.1777,18,3576,8039,2,本,中小候補,0,ドラゴン桜 全21巻完結セット (モーニングKC),B002DEKF88
17,タカギ(Takagi),1.1479,3,1113,3300,1,ホーム＆キッチン,中小候補,0,タカギ(takagi) コネクター ホース ジョイント 三方コネクターコック付(FJ) 分岐 G099FJ 4.5 x 15.2 x 18.8 cm,B000EVPH8A
18,ワーナーミュージック・ジャパン,1.1406,10,2623,9415,2,ミュージック,中小候補,0,【Amazon.co.jp限定】瞬間的シックスセンス - あいみょん (メガジャケ付) [Analog],B0GNRXW825
19,Makita(マキタ),1.1396,6,2244,5910,1,DIY・工具・ガーデン,中小候補,2,マキタ アルミケース（TD021DS用） 823295-6,B01B70EAUM
20,ワンダーランド,1.1053,2,460,2106,1,おもちゃ,中小候補,0,トミカ おふろでペタペタ!デラックス,B004DTYCFS
21,駿台文庫,1.0486,2,1254,4850,1,本,中小候補,0,2025-共通テスト実戦パッケージ問題　青パック (駿台大学入試完全対策シリーズ),4796164804
22,東映,1.0444,3,3962,9980,1,DVD,中小候補,0,ドラゴンボール超 ブロリー 特別限定版 (初回生産限定) [DVD],B07P8SM9JN
23,ピープル,1.0356,3,1930,4800,1,おもちゃ,中小候補,0,ピープル ロングセラー いたずら1歳 やりたい放題 ビッグ版 リアル+(リアルプラス) 8ヶ月から,B07VGLGP7M
24,ビクターエンタテインメント,1.0292,14,4004,8900,2,DVD,中小候補,0,ECHO [完全生産限定盤] [CD + Blu-ray + GOODS] - SCANDAL,B0GPWX86KZ
25,マイクロソフト,1.0282,4,4612,9492,1,ゲーム,中小候補,0,NINJA GAIDEN 4 Deluxe Edition -PS5 【特典】リュウ用スキン「トラディショナルダークブルー」 「レジェンダリーブラックファルコン」、リュウ用武器スキ,B0FCRL29CW
26,山形工房(Yamagata Koubou),1.0213,2,532,1915,1,おもちゃ,中小候補,0,けん玉 日本けん玉協会認定 競技用けん玉 大空 水色 No-1312,B01EMI042E
27,ワコーズ(Wako's),1.0195,10,1788,5034,2,車＆バイク,中小候補,0,ワコーズ スロットルバルブクリーナー,B006KMBS8K
28,コムテック(COMTEC),0.9949,3,7873,18500,1,車＆バイク,中小候補,0,コムテック GPSレシーバー シガーソケット挿入タイプ ZERO 108C 無料データ更新,B08CBDNYS7
29,ゲームテック,0.9825,1,28,1600,1,ゲーム,中小候補,0,Pokemon GO Plus+対応本体収納ポーチ『シリコンポーチPlus+(ホワイト×レッド)』 - Mobile,B0C6MD591Y
30,ブリーダーズ・ファーム,0.9817,1,33,1800,1,ペット用品,中小候補,0,【2袋セット】ブリーダーズ・ファーム 濃厚タンパクゼリー エッグ 16g×100個（1600g） 昆虫、フクロモモンガ、ハリネズミ 繁殖期 産卵 体力回復 タンパク質 バナナフレー,B09L1JWGWC
31,リッチェル(Richell),0.9803,1,39,1980,1,ベビー＆マタニティ,中小候補,0,リッチェル(Richell) アクリア おでかけストローマグR 200 ネイビーブルー 1個 200ml 7カ月,B07RTW9WLB
32,扶桑社,0.9725,1,92,3343,1,本,中小候補,0,cookpad plus(クックパッド プラス)2026年冬号,B0FN8BQ39W
33,JASON MARKK(ジェイソンマーク),0.9666,2,940,2970,1,ファッション,中小候補,0,【ジェイソンマーク】 JASON MARKK ESSENTIAL KIT スニーカー クリーナー ( ディープクリーニングソリューション 118ml & スタンダードクリーニングブ,B00D12KGVW
34,日進医療器,0.9592,1,73,1790,1,スポーツ＆アウトドア,中小候補,0,日進医療器 LE携帯酸素スプレー5リットル,B001GXEGEQ
35,ラブホーム美家,0.9591,8,930,2890,1,ホーム＆キッチン,中小候補,8,【2026新登場・省エネ＆目に優しい】 デスクライト 明るい ledライト 照明 無段階調光 5段階調色 タイマー・記憶機能 高輝度 スタンドライト USB給電式 電気スタンド 卓,B0D5CSCHM1
36,中央法規出版,0.9522,2,3015,9228,1,本,中小候補,0,障害者総合支援法 事業者ハンドブック 報酬編〔2024年版〕: 報酬告示と留意事項通知,482430086X
37,サーモス(THERMOS),0.947,1,211,3980,1,スポーツ＆アウトドア,中小候補,0,サーモス ソフトクーラー 5L ミッフィー ネイビー REZ-005B NVY,B08X16VQRH
38,四日市ばんこ焼 【日本製】,0.9444,3,2665,5860,1,ホーム＆キッチン,中小候補,0,【 ふっくら ごはん鍋 】 3合炊き 二重蓋 四日市ばんこ焼 (日本製) 【 本格派 ３合炊 】,B007THC744
