# 【打診文の絶対条件・法務判定 v1.0】メール本文・署名にURLを一切貼らないこと（AmazonストアURL・自社サイト satoy-select.com・SNS すべて）。貼った瞬間に特定電子メール法2条2号の『広告宣伝ウェブサイトへの誘導』に該当し、相手の『営業お断り』表示が法的効力を持つ。白が黒に転ぶ唯一の分岐点。 ／ 1社1通・追送しない・断られたら即終了・一斉送信ツール禁止・実績ゼロを正直に書く。 ／ optout_class が D・E の社には打診しない。C は A/A_PLUS/B を全件消化した後・フォームのみ・1回限り。
順位,スコア,メーカー名,optout_class,contact_priority,action,allowed_channels,optout_hit_terms,optout_rule_ids,form_optout_notice,optout_source_url,optout_checked_at,recheck_condition,optout_e_subclass,optout_decided_by,optout_needs_review,optout_review_reason,正式商号,法人番号,所在地,公式HP,電話,問い合わせフォームURL,メール,確度,取引可否シグナル,備考,出典URL,該当商品数,主なカテゴリ,想定仕入れ金額の中央値,Amazon価格の中央値,代表商品名
1,,ルイファン ジャパン(Ruifan Japan),A_PLUS,1,contact,"[""form"", ""mail"", ""phone""]",OEM,A1_trade_window,KING BLADE(キングブレード)-ペンライト製造・OEM ／ CONTACT 法人のお客様 / 個人のお客様,https://ruifan.co.jp/contact/,2026-09-04,,,,,,株式会社ルイファン・ジャパン（RUIFAN JAPAN LTD.）,,〒107-0062 東京都港区南青山2-20-4 SAT・1ビル3F,https://ruifan.co.jp/,03-6432-9001,https://ruifan.co.jp/contact/corporate,,確定,連絡可,"★★最有力級。2011年設立・資本金2,000万円。ペンライト『KING BLADE（キンブレ）』の製造元で登録商標を保有。中国関連工場で年間200万個超を供給。**公式サイトに専用の /oem ページがあり、CONTACT が『法人のお客様』『個人のお客様』に分かれている**",https://ruifan.co.jp/about/ ; https://ruifan.co.jp/contact/,3,おもちゃ,2340,5089,ルイファン ジャパン(Ruifan Japan) キングブレード X10R シャイニング 2本セット
2,,KAYOTOYS カヨトイズ,A_PLUS,1,contact,"[""form"", ""mail"", ""phone""]",OEM,A1_trade_window,事業内容 玩具・雑貨の企画、生産、販売。OEM生産、売り場の企画・総合ご提案など,https://kayo-trading.com/about/,2026-09-04,,,,,,カヨ通商株式会社,6020001141455,〒111-0053 東京都台東区浅草橋1-5-2 111ビル5F,https://kayo-trading.com/,03-5829-4310,,,確定,有望(小ロット/OEM/B2Bの明示あり),★★最有力級。日本法人設立2021年・資本金500万円・従業員15名（海外含む）。会社概要の事業内容に『玩具・雑貨の企画、生産、販売。**OEM生産**、売り場の企画・総合ご提案』と明記。深圳・香港にオフィスがあり中国生産の窓口を持つ。主な取引先トイザらスジャパン。営業 月〜金9:00-18:00。営業お断りの記載なし,https://kayo-trading.com/about/ ; https://compalyze.co.jp/company/6020001141455,2,おもちゃ,1212,3640,カヨトイズ パウ・パトロール バブルシューター 電動 シャボン玉 バブルガン 自動 タンク式 LEDライト 子ども おもちゃ
3,,イガラシ(Igarashi),A_PLUS,1,contact,"[""form"", ""mail"", ""phone""]",OEM,A1_trade_window,このお問い合わせにつきましては「法人」のお客様用となりますのでご注意ください。※個人事業主・法人の方が対象となります。 お問い合わせ種別：商品仕様についてのお問い合わせ／OEM生産についてのお問い合わせ／新規の取引についてお問い合わせ／弊社へのご提案／その他のお問い合わせ,https://www.igarashi-ltd.co.jp/contact2.html,2026-09-04,,,,,,株式会社イガラシ（K.K.IGARASHI）,,〒101-0052 東京都千代田区神田小川町3-22-16 第三大丸ビル6F,https://www.igarashi-ltd.co.jp/,03-5647-6820,https://www.igarashi-ltd.co.jp/contact2.html,,確定,有望(小ロット/OEM/B2Bの明示あり),"★★★今回の最有力。昭和52年設立・資本金1,000万円・従業員22名。空気入ビニール玩具/ビーチグッズの**企画・製造・卸**。**法人向けフォームの『お問い合わせ種別』に『OEM生産についてのお問い合わせ』『新規の取引についてお問い合わせ』の選択肢があり、さらに『※個人事業主・法人の方が対象となります』と明記**＝当社（個人事業主）が対象に含まれることが公式に書かれている稀なケース。取引先にアマゾン・イオン・カインズ等。西日本営業所 078-262-1577",https://www.igarashi-ltd.co.jp/company.html ; https://www.igarashi-ltd.co.jp/contact2.html,2,おもちゃ,1195,3480,イガラシ ウォーターシャワースライダー 254×116×78cm(膨らましサイズ) シャワー付き 大・小 空気栓付 PAA-SL 大型
4,,山形工房(Yamagata Koubou),A_PLUS,1,contact,"[""form"", ""mail"", ""phone""]",OEM,A1_trade_window,OEM,https://www.kendama.co.jp/,2026-09-04,,,,,,有限会社 山形工房,,〒993-0061 山形県長井市寺泉6493-2,https://www.kendama.co.jp/,0238-84-6062,https://kendama.co.jp/contact.html,info@kendama.co.jp,確定,有望(小ロット/OEM/B2Bの明示あり),★★最有力。1973年創業・資本金800万円・従業員12名の木工メーカー。日本けん玉協会公認の競技用けん玉『大空』の製造元。**公式サイトのグローバルメニューに『OEM』の項目があり、OEM受託を自ら公開募集している**。問い合わせフォームに『会社名』欄があり法人からの問い合わせを想定。経産省『はばたく中小企業・小規模事業者300社』選定。営業お断りの記載なし。メールは第三者サイト（PARASUKU）掲載の組織アドレスのため要現物確認,https://www.kendama.co.jp/company.html ; https://kendama.co.jp/contact.html,2,おもちゃ,532,1915,けん玉 日本けん玉協会認定 競技用けん玉 大空 水色 No-1312
5,,THRIVE(スライヴ),A_PLUS,1,contact,"[""form"", ""mail"", ""phone""]",OEM,A1_trade_window,国内は「THRIVE（スライヴ）」ブランドを、海外はOEMを中心とし、世界中に商品を提供しております。,https://daito-thrive.co.jp/company/,2026-09-04,,,,,,大東電機工業株式会社,,〒579-8046 大阪府東大阪市昭和町9番11号（本社）,https://daito-thrive.co.jp/,072-984-3532,,shop@daito-thrive.co.jp,確定,有望(小ロット/OEM/B2Bの明示あり),"★★最有力級。資本金5,825万円・従業員40名・売上97億円。**会社概要に『国内は「THRIVE（スライヴ）」ブランドを、海外はOEMを中心とし、世界中に商品を提供しております』と明記＝OEMが本業の一角**。マッサージャーは1957年から80種超を展開。東京営業所 03-5846-0822。★**医療機器製造販売業許可（27B2X00055）を保有**＝マッサージ機は管理医療機器の可能性があり、出品前に薬機法の確認が必要（サトルのA-4案件）",https://daito-thrive.co.jp/company/ ; https://daito-thrive-oldproducts.com/transaction/,1,ホーム＆キッチン,439,2564,スライヴ ハンディマッサージャー 「心地よい振動でコリをほぐす」 MD-01 ホワイト 管理医療機器
6,,クリアストーン(Clearstone),A_PLUS,1,contact,"[""form"", ""mail"", ""phone""]",OEM,A1_trade_window,クリアストーンではオリジナルコスチュームの制作（OEM）を承っております。創業以来、国内コスチュームの専門メーカーとして蓄積したノウハウを生かし、デザインの打ち合わせから生産まで、まるごとお任せ下さい。お電話、お問い合わせフォームよりお問い合わせください。商品イメージ、価格、希望納品時期、数量などをお伝えいただきますとスムーズです。,https://www.clearstone.co.jp/forbusiness/partycity/,2026-09-04,,,,,,"株式会社クリアストーン（Clearstone Co., Ltd.）",2011101037060,〒160-0023 東京都新宿区西新宿6-15-1 セントラルパークタワー ラ・トゥール新宿709号室,https://www.clearstone.co.jp/,03-5989-8100,https://www.clearstone.co.jp/forbusiness/partycity/,info@clearstone.co.jp,確定,有望(小ロット/OEM/B2Bの明示あり),★★★最有力級。2004年設立・資本金1億円・正社員35名。パーティコスチューム/グッズの**企画・製造・卸**。年間500アイテム以上を企画、販売数年間100万点。**公式サイトに『クリアストーンではオリジナルコスチュームの制作（OEM）を承っております。…デザインの打ち合わせから生産まで、まるごとお任せ下さい』『まずはお気軽にお問い合わせください』と明記**。関西営業所あり。法人番号はインボイス登録番号 T2011101037060 から,https://www.clearstone.co.jp/company/introduction/ ; https://www.clearstone.co.jp/forbusiness/partycity/,1,ホビー,3076,5490,クリアストーン(Clearstone) コスプレ ハロウィン 金色将軍 ユニセックス ゴールド
7,,トキワ商事,A_PLUS,1,contact,"[""form"", ""mail"", ""phone""]",仕入,A1_trade_window,おもちゃの卸全般ご相談下さい ≫トキワ商事は他社とどう違うの？≫仕入れ完了までの流れは？≫個人でも取引できるの？≫初めての取引の場合はどうするの？,https://www.tokiwatoy.com/,2026-09-04,,,,,,"株式会社トキワ商事（TOKIWA SHOJI CO.,LTD）",,〒547-0048 大阪市平野区平野馬場1-3-28（本社）／〒101-0031 東京都千代田区東神田3-6-11 馬場ビル2F（東京営業所）／〒594-1144 大阪府和泉市テクノステージ3-5-11（物流）,https://www.tokiwatoy.com/,06-6792-1221,https://www.tokiwatoy.com/ask.php,,確定,連絡可,★★最有力級。**玩具卸売業・企画・製造が本業**（取扱：小物玩具・景品玩具・イベント用クジ引き・流行玩具）。公式トップに『**個人でも取引できるの？**』『**初めての取引の場合はどうするの？**』『仕入れ完了までの流れは？』というFAQ導線があり、**新規取引を明示的に受け付けている**。フリーダイヤル 0120-122-187 も公開。営業お断りの記載なし,https://www.tokiwatoy.com/co.php ; https://www.tokiwatoy.com/,1,おもちゃ,585,2840,【タイガーキャット】トキワ商事 スーパーボール ミックス 18mm (まとめ買い・500入)
8,,ハピラ(Hapila),A_PLUS,1,contact,"[""form"", ""mail"", ""phone""]",OEM,A1_trade_window,事業内容 輸入文具・生活用品等の企画、卸販売、OEM,https://www.hpl.co.jp/company/,2026-09-04,,,,,,株式会社ハピラ,,〒103-0004 東京都中央区東日本橋2-8-3 JMFビル東日本橋01 8階,https://www.hpl.co.jp/,,https://www.hpl.co.jp/contact/,,確定,有望(小ロット/OEM/B2Bの明示あり),★★最有力級。自ら『**文具事務用品・推し活グッズ・生活雑貨の卸売メーカー**』と名乗り、事業内容は『輸入文具・生活用品等の**企画、卸販売、OEM**』。旧商号は株式会社スガタ（オリジナル文具の企画・卸販売として東京都台東区で創業）。茨城県つくば市に物流拠点。★電話番号は公式サイトに記載がなくFAX 03-3865-0134 のみのため空欄。**連絡はフォーム**,https://www.hpl.co.jp/company/ ; https://www.hpl.co.jp/contact/,1,文房具・オフィス用品,207,1915,ハピラ 色紙ファイル 20ポケット 大容量 20枚収納 ケース付き 色紙収納 クリアファイル ポケットファイル 大色紙用 オフホワイト PF001
9,,ルミカ(Lumica),A_PLUS,1,contact,"[""form"", ""mail"", ""phone""]",OEM,A1_trade_window,オリジナルペンライト・コンサートグッズ制作 OEM ／ ペンライトだけではなく、普段使いできる日用品雑貨など幅広いアイテムからシーンに合わせた最適なノベルティグッズの制作が可能です。,https://oem.lumica.co.jp/aboutus/,2026-09-04,,,,,,株式会社ルミカ（LUMICA CORPORATION）,2290001036384,〒811-3136 福岡県古賀市糸ケ浦65（本社・研究所）,https://www.lumica.co.jp/,092-942-3211,https://oem.lumica.co.jp/aboutus/,,確定,有望(小ロット/OEM/B2Bの明示あり),★★最有力級。1979年設立・資本金1億円・社員109名。『ルミカライト』『ケミホタル』の化学発光体メーカーで自社工場（茨城・中国大連）を持つ。**OEM専用サイト（oem.lumica.co.jp）を独立運営しており、ノベルティ制作を40年以上手掛けている**。東京支店 03-5569-6080／大阪支店 06-4304-1146。法人番号はインボイス登録番号 T2290001036384 から,https://www.lumica.co.jp/aboutus/company ; https://oem.lumica.co.jp/aboutus/,1,スポーツ＆アウトドア,122,1780,ルミカ(日本化学発光) FIRE FISH 集魚ライト 水中ライトS型スイッチ グリーン
10,,医食同源ドットコム,A_PLUS,1,contact,"[""form"", ""mail"", ""phone""]",卸売;OEM,A1_trade_window,法人のお客様はこちら／お問い合わせ種別：商品のお取り扱い（卸売）について／OEM事業について／取材・メディア掲載について／上記以外のお問い合わせ,https://ishokudogen.co.jp/contact/,2026-09-04,,,,,,株式会社医食同源ドットコム,,〒336-0027 埼玉県さいたま市南区沼影1丁目10番1号 ラムザタワー7階,https://ishokudogen.co.jp/,048-749-1570,https://ishokudogen.co.jp/contact/,,確定,有望(小ロット/OEM/B2Bの明示あり),★★最有力級。設立2011年・資本金4000万円・従業員78名の中小メーカー。健康食品/美容食品/化粧品の企画・製造・販売。★お問い合わせフォームが「個人のお客様」と「法人のお客様」に分かれ、法人側の種別に【商品のお取り扱い(卸売)について】【OEM事業について】が選択肢として用意されている＝卸取引とOEMを公開で受け付けている。,https://ishokudogen.co.jp/company/ ; https://ishokudogen.co.jp/contact/,1,産業・研究開発用品,544,2328,[医食同源ドットコム] iSDG【90枚 30枚入x3箱】 立体型スパンレース不織布カラーマスク SPUN MASK (スパンマスク) ブラック 30枚入x3箱
