SKU仕入れ予算,仕入れ個数,仕入れ単価税込,シナリオ,目標利益率,必要販売価格,掛け率,販売手数料,FBA配送代行,保管料,基本成約料,納品代行,納品送料,NETSEA送料,返品引当,Amazon手数料等合計,1点あたり純利益,SKU全体の純利益
5000,1,5000,楽観,5%,6609,75.7,756,288,30.3,110,12,25.0,0.0,57.1,1278,330,330
5000,1,5000,楽観,20%,8055,62.1,922,288,30.3,110,12,25.0,0.0,57.4,1444,1611,1611
5000,1,5000,中央,5%,6695,74.7,766,318,30.3,110,12,37.5,0.0,86.6,1360,335,335
5000,1,5000,中央,20%,8161,61.3,934,318,30.3,110,12,37.5,0.0,87.1,1528,1632,1632
5000,1,5000,悲観,5%,8817,56.7,1009,430,60.5,110,30,86.0,1500.0,151.1,3376,441,441
5000,1,5000,悲観,20%,10748,46.5,1230,430,60.5,110,30,86.0,1500.0,152.1,3598,2150,2150
5000,2,2500,楽観,5%,3586,69.7,410,288,30.3,110,12,25.0,0.0,31.5,907,179,359
5000,2,2500,楽観,20%,4371,57.2,500,288,30.3,110,12,25.0,0.0,31.7,997,874,1749
5000,2,2500,中央,5%,3657,68.4,418,318,30.3,110,12,37.5,0.0,48.2,974,183,366
5000,2,2500,中央,20%,4458,56.1,510,318,30.3,110,12,37.5,0.0,48.4,1066,892,1783
5000,2,2500,悲観,5%,4850,51.5,555,430,60.5,110,30,86.0,750.0,86.5,2108,243,485
5000,2,2500,悲観,20%,5912,42.3,676,430,60.5,110,30,86.0,750.0,87.1,2230,1182,2365
5000,3,1667,楽観,5%,2579,64.6,295,288,30.3,110,12,25.0,0.0,23.0,783,129,387
5000,3,1667,楽観,20%,3143,53.0,360,288,30.3,110,12,25.0,0.0,23.1,848,629,1886
5000,3,1667,中央,5%,2645,63.0,303,318,30.3,110,12,37.5,0.0,35.4,846,132,397
5000,3,1667,中央,20%,3223,51.7,369,318,30.3,110,12,37.5,0.0,35.5,912,645,1934
5000,3,1667,悲観,5%,3528,47.2,404,430,60.5,110,30,86.0,500.0,65.0,1685,176,529
5000,3,1667,悲観,20%,4301,38.8,492,430,60.5,110,30,86.0,500.0,65.4,1774,860,2580
5000,5,1000,楽観,5%,1773,56.4,203,288,30.3,110,12,25.0,0.0,16.1,684,89,443
5000,5,1000,楽観,20%,2161,46.3,247,288,30.3,110,12,25.0,0.0,16.2,729,432,2161
5000,5,1000,中央,5%,1834,54.5,210,318,30.3,110,12,37.5,0.0,25.1,743,92,459
5000,5,1000,中央,20%,2236,44.7,256,318,30.3,110,12,37.5,0.0,25.2,789,447,2236
5000,5,1000,悲観,5%,2470,40.5,283,430,60.5,110,30,86.0,300.0,47.8,1347,124,618
5000,5,1000,悲観,20%,3011,33.2,344,430,60.5,110,30,86.0,300.0,48.1,1409,602,3011
5000,10,500,楽観,5%,1168,42.8,134,288,30.3,110,12,25.0,0.0,11.0,610,58,584
5000,10,500,楽観,20%,1424,35.1,163,288,30.3,110,12,25.0,0.0,11.1,639,285,2848
5000,10,500,中央,5%,1227,40.8,140,318,30.3,110,12,37.5,0.0,17.4,666,61,613
5000,10,500,中央,20%,1495,33.4,171,318,30.3,110,12,37.5,0.0,17.5,696,299,2991
5000,10,500,悲観,5%,1677,29.8,192,430,60.5,110,30,86.0,150.0,34.9,1093,84,839
5000,10,500,悲観,20%,2044,24.5,234,430,60.5,110,30,86.0,150.0,35.1,1135,409,4089
5000,20,250,楽観,5%,786,31.8,90,222,30.3,110,12,25.0,0.0,7.1,496,39,786
5000,20,250,楽観,20%,957,26.1,110,222,30.3,110,12,25.0,0.0,7.1,516,191,3830
5000,20,250,中央,5%,842,29.7,96,252,30.3,110,12,37.5,0.0,11.6,550,42,842
5000,20,250,中央,20%,1125,22.2,129,318,30.3,110,12,37.5,0.0,13.6,650,225,4501
5000,20,250,悲観,5%,1280,19.5,146,430,60.5,110,30,86.0,75.0,28.4,966,64,1280
5000,20,250,悲観,20%,1561,16.0,179,430,60.5,110,30,86.0,75.0,28.6,999,312,6243
7500,1,7500,楽観,5%,9631,77.9,1102,288,30.3,110,12,25.0,0.0,82.8,1650,482,482
7500,1,7500,楽観,20%,11739,63.9,1343,288,30.3,110,12,25.0,0.0,83.2,1891,2348,2348
7500,1,7500,中央,5%,9733,77.1,1113,318,30.3,110,12,37.5,0.0,125.1,1746,487,487
7500,1,7500,中央,20%,11863,63.2,1357,318,30.3,110,12,37.5,0.0,125.7,1991,2373,2373
7500,1,7500,悲観,5%,11886,63.1,1360,430,60.5,110,30,86.0,1500.0,215.2,3791,594,594
7500,1,7500,悲観,20%,14488,51.8,1657,430,60.5,110,30,86.0,1500.0,216.5,4090,2898,2898
