exhibitor,booth,class
宇仁繊維ファッション,西3-T42-16,PASS
川辺（株）,西4-T57-06,PASS
スチームクリーム／コスメサイエンス,東3-T26-13,PASS
宇野刷毛ブラシ製作所,西3-T42-03,PASS
川本デザイン研究室,東7-T47-02,商社・代理店・デザイン(メーカー直でない)
（有）サーチディストリビューション,東7-SL17,商社・代理店・デザイン(メーカー直でない)
STEP-UP,東2-T19-30,海外表記(国内から仕入れられない)
（株）,西3-T45-04,PASS
神田産業（株）,西1-T11-02,PASS
サイアム-Siam-,西2-T31-09,PASS
stem／（有）TRUNK,西2-T35-21,海外表記(国内から仕入れられない)
ウブスナ,東7-T35-24,PASS
缶詰キッチン,東7-Ｔ48-02,PASS
（株）サイエルインターナショナル,東8-T56-09,PASS
ストーリオ,西1-T01-03,PASS
ウペラデザイン電動ゴミ箱,東3-T29-34,PASS
関東車輌（株）,東2-T18-10,PASS
（株）サイモン,東7-T31-06,PASS
SPARKY,西1-T13-08,海外表記(国内から仕入れられない)
EARTH MADE,東7-MC57,海外表記(国内から仕入れられない)
ウルトラスエード®／東レ,西1-T03-01,PASS
Kanto Audio／完実電気（株）,西1-T02-01,海外表記(国内から仕入れられない)
サウナブリック,西4-GLS-06,PASS
すばらしき沖縄の職人,西3-T43-11,PASS
アーティス ディ ヴォーチェ,西2-T34-16,PASS
宇和海真珠,西1-T05-20,PASS
kannaworks,西2-T34-17,海外表記(国内から仕入れられない)
SAUNEA（サウネア）,西4-GLS-01,PASS
"SPIN CO., LTD.",東2-T12-35,海外表記(国内から仕入れられない)
アートウエルド,東3-T25-20,PASS
（株）芸艸堂,西1-T06-17,PASS
缶バッジ専門工場CREAm(クリーム）,東3-T24-41,PASS
Saunature（同）,西4-GLS-03,海外表記(国内から仕入れられない)
スペースジョイ,西1-T02-18,PASS
アートシー,東2-T16-45,PASS
AIR TWOKYO,東3-T26-35,海外表記(国内から仕入れられない)
（株）SAEDA,東2-T18-48,海外表記(国内から仕入れられない)
SMILER,東7-MC24,海外表記(国内から仕入れられない)
アートライン,東7-T45-14,PASS
（株）永幸,東7-Ｔ48-02,PASS
木内籐材工業（株）,西3-T42-03,PASS
（株）サカエ工業,西1-T05-19,PASS
スマイルキッズ,東7-T37-02,PASS
URBAN OLE ECOPARK,西1-AC-18,海外表記(国内から仕入れられない)
永善,西1-T11-06,PASS
ギエモン│久留米絣│オカモト商店,東7-FS10,PASS
（株）坂源,西3-T45-08,PASS
smachi,東7-FS18,海外表記(国内から仕入れられない)
（株）RH PLUS,東7-MC34,海外表記(国内から仕入れられない)
永泰（株）,西2-T29-03,PASS
KIZAWA,東7-T45-15,海外表記(国内から仕入れられない)
（有）坂田織物／広川町商工会,西2-T26-06,団体・自治体・教育機関(メーカーでない)
（株）住健,西1-T12-04,PASS
アールデザインスタイル,東7-T47-02,PASS
