company,term,hits,brand_match,matched_field_value,top_asin,top_title,tokensLeft
株式会社宇野刷毛ブラシ製作所,宇野刷毛ブラシ,20,YES,manufacturer:株式会社　宇野刷毛ブラシ製作所,B0DKBWCKC9,SOMOTO 洋服ブラシ 馬毛 【天然馬毛100%・服の艶を甦らせる】 馬毛ブラシ スーツ コート ブラッシング 天然木,249
有限会社大橋量器,大橋量器 枡,14,YES,brand:大橋量器,B08KVYTSJM,一合枡 10個セット 180ml (85mm×85mm×56mm) 大橋量器 日本製 ます 酒杯 お祝い事に 祝賀 結婚,239
株式会社木村硝子店,木村硝子店,20,YES,brand:木村硝子店,B09B6SNCN1,木村硝子店 コンパクト(COMPACT) 12oz タンブラー グラス 400ml 約高さ128×口径74mm 2550,229
田中帽子店,田中帽子店,20,YES,brand:田中帽子店,B0083RSM2K,(田中帽子) ノア 日本製 麦わら 中折れ ハット / 9-10mm (麦わら帽子 メンズ 大きいサイズ ストロー 紫外,219
朝倉染布株式会社,朝倉染布,20,YES,brand:朝倉染布,B09ZNX2ZJK,朝倉染布 超撥水風呂敷ながれ 夜の森でつつむ(平織96cm) 約96×96cm,209
廣田硝子株式会社,廣田硝子,20,YES,brand:廣田硝子(Hirota Glass),B01BWGW3DM,廣田硝子 復刻醤油差し 亀甲 古代色 120ml 600-AM,199
河野製紙株式会社,河野製紙,20,YES,brand:河野製紙,B0FB8JQ8ZP,河野製紙 FULL BLOOM COLLECTION プレミアムシャワートイレット（4ロール入り×10パック）,209
守田漆器株式会社,守田漆器,20,YES,manufacturer:守田漆器,B0CLQQ961F,守田漆器 JOKAN 鏡餅 白木塗 天然木の鏡餅 木製 鏡餅 白木塗 ぬりもの静寛 jokan 守田漆器 日本製,199
池本刷子工業株式会社,池本刷子,20,YES,brand:池本刷子工業(Ikemoto Brush),B0013IEEOG,池本刷子工業 GRAND IKEMOTO 静電除去服ブラシ Sサイズ IKC-3222,189
楠橋紋織株式会社,楠橋紋織,20,YES,brand:楠橋紋織(Kusubashi Mon Ori),B0943MX2HP,楠橋紋織 【moritaMiW】 MiW トートバッグ 川ほとりのニンマリのウたち アイボリー 【A-67834-90-,179
側島製罐株式会社,側島製罐,0,NO,,,,169
金野タオル株式会社,金野タオル,20,YES,brand:金野タオル,B0FMQQQH7Z,金野タオル 日本製 タオル ハンカチ ポケット型 ガーゼ 無撚糸 トゥシューズ 約12×24cm バレエ バレリーナ 泉,159
本野はきもの工業,本野はきもの,0,NO,,,,149
株式会社北尾化粧品部,北尾化粧品,4,YES,brand:北尾化粧品部,B01DIHGZV4,北尾化粧品部 シルクパウダー100 フェイス ノーカラー シルク100% 国産 絹 メイク直し プチプラ 毛穴 おしろい,139
株式会社清水硝子,清水硝子 江戸切子,20,YES,brand:江戸切子,B011AVTENG,すみだ江戸切子館 江戸切子 グラス 焼酎グラス タンブラー (化粧箱入) 重ね剣矢来 (藍) 容量約290ml 日本製 ,129
木内籐材工業株式会社,木内籐材,14,YES,manufacturer:木内籐材工業株式会社,B0C135PF5Z,正座椅子＆おもてな紙セット 籐 とう ラタン 天然素材 正座 せいざ 畳 たたみ タタミ 椅子,139
小野甚味噌醤油醸造株式会社,小野甚,20,YES,brand:小野甚味噌醤油醸造,B0DK8ST2WC,小野甚味噌醤油醸造 小野甚醤油味比べ 100ml×4種セット (たまごむらさき、かき醤油、うすだしむらさき、甚左衛門）,129
七福タオル株式会社,七福タオル,20,YES,brand:七福タオル,B0739P6P6H,日本製タオル「ネオ・リバイブ」クロス（イエロー）,119
株式会社高柳製茶,高柳製茶,20,YES,brand:株式会社　高柳製茶,B082PCT4SP,牧之原の雫茶プレミアムペットボトル 〔350ml×24〕 静岡県産 お茶 高柳製茶,109
亀崎染工有限会社,亀染屋,6,NO,,B07WSSHJYS,戸田屋商店 梨園染 手ぬぐい 亀(白地) 603,99
