company,url,tel_found,contact_urls,wholesale_words,ok
株式会社宇野刷毛ブラシ製作所,https://unobrush.jp/about/,03-3622-7049 / 03-3622-9078,https://unobrush.jp/contact / https://unobrush.jp/wp-content/plugins/contact-form-7-add-confirm/includes/css/styles.css?ver=5.1 / https://unobrush.jp/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1.6,,OK
有限会社大橋量器,https://www.masukoubou.jp/corporate.html,0584-78-5468 / 0584-78-7614,https://www.masukoubou.jp/contact/,お取引 取引先,OK
株式会社木村硝子店,https://zizi.kimuraglass.jp/pages/company,,,,BLOCKED
朝倉染布株式会社,https://www.asakura-senpu.co.jp/company/company-profile/,,https://www.asakura-senpu.co.jp/qa-contact/ / https://www.asakura-senpu.co.jp/wp-content/plugins/contact-form-7-add-confirm/includes/css/styles.css?ver=5.1 / https://www.asakura-senpu.co.jp/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.3,取引先,OK
廣田硝子株式会社,https://hirota-glass.co.jp/contact/,03-3623-4145 / 03−3623−4145,https://hirota-glass.co.jp/contact/ / https://hirota-glass.co.jp/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhirota-glass.co.jp%2Fcontact%2F / https://hirota-glass.co.jp/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhirota-glass.co.jp%2Fcontact%2F&#038;format=xml,,OK
河野製紙株式会社,https://www.kawano-p.co.jp/about/profile/,048-766-9211 / 048-766-9612 / 088-822-3107 / 088-822-3110,https://www.kawano-p.co.jp/app-def/S-102/wordpress/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.3 / https://www.kawano-p.co.jp/contact/,別注 取引先,OK
守田漆器株式会社,https://urusi.jp/contact/,0761-78-0106 / 0761-78-5311,https://urusi.jp/contact/ / https://urusi.jp/wp-content/plugins/contact-form-7-add-confirm/includes/css/styles.css?ver=5.1 / https://urusi.jp/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.4 / https://urusi.jp/wp-json/oembed/1.0/embed?url=https%3A%2F%2Furusi.jp%2Fcontact%2F,お取引 法人のお客様,OK
池本刷子工業株式会社,http://www.ikemoto-brush.co.jp/about/,03-3664-5330 / 03-5623-3040 / 072-964-2331 / 072-964-9363,http://www.ikemoto-brush.co.jp/contact/,卸,OK
楠橋紋織株式会社,https://www.kusubashi.jp/pages/company,,,,BLOCKED
側島製罐株式会社,https://sobajima.jp/company/,050-3535-7317 / 052-442-5111,https://sobajima.jp/sobajima-contact / https://sobajima.jp/sobajima-contact/,,OK
金野タオル株式会社,https://www.kinno.co.jp/company.html,072-462-3801 / 072-463-0600,https://www.kinno.co.jp/contact.html,OEM,OK
金野タオル株式会社(OEM),https://www.kinno.co.jp/oem.html,072-462-3801,https://www.kinno.co.jp/contact.html,OEM,OK
本野はきもの工業,https://motono-hakimono.com/about,0973-22-4460 / 0973-24-4343,https://motono-hakimono.com/contact / https://motono-hakimono.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.7,,OK
株式会社北尾化粧品部,http://kitao.co.jp/company/about/,06-6717-0881 / 06-6717-2026,http://kitao.co.jp/contact/,OEM,OK
株式会社清水硝子,https://www.shimizuglass.com/,,https://shimizuglass.com/contact/ / https://shimizuglass.com/contact_corp/ / https://shimizuglass.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1.6,,OK
木内籐材工業株式会社,https://www.kiuchi-tohzai.co.jp/original8.html,03-3941-4484 / 03-3941-4587,https://www.kiuchi-tohzai.co.jp/login/inquiryedit,,OK
小野甚味噌醤油醸造株式会社,https://onojin.co.jp/,,,,NOFIND
七福タオル株式会社,https://oem.shichifuku-towel.co.jp/,,,,NOFIND
株式会社高柳製茶,https://www.makinohara-cha.com/c_6/,054-656-2413 / 0548-27-2324 / 0548-27-2325 / 0548-27-3920,https://www.makinohara-cha.com/inquiry/,法人のお客様,OK
亀﨑染工有限会社,https://kamesomeya.net/,,,,NOFIND
田中帽子店,https://tanaka-hat.jp/fs/tanakahat/c/company,048-940-8829,,代理店,OK
