No,社名,Amazon上のブランド名（S-d）,S-dブランド登録判定,商標の有無（判定）,出願人名ヒット（登録番号あり／一致件数）,代表商標（名称 区分 登録番号 現況 存続期限）,権利者名・住所の一致,A5材料の型,備考
1,有限会社大橋量器,大橋量器,未登録らしい,ブランド名一致なし／別名称の存続商標あり,5/5,"こびつ 第21類 登録6474636 登録中 期限2031-11-22／ＣＯＢＩＴＳＵ 第21類 登録6474635 登録中 期限2031-11-22／ＯＨＡＳＨＩ 第9,35類 登録6153670 終了(2024-06-21)／§枡工房＼ますや 第35類 登録6181203 終了(2024-09-20)",一致（有限会社大橋量器・岐阜県大垣市）,γ,「終了」2件は登録5年後の日付＝分割納付の後期分未納と読める（推測・確度中）。社名「大橋量器」の文字商標は0件
2,株式会社木村硝子店,木村硝子店,不明,ブランド名一致なし／別名称の存続商標あり＋出願中1件,8/9,ＺＩＺＩ 第21類 登録5280050 登録中 期限2029-11-13／§木（図形） 第21類 2026-02-05出願 公示済み（登録番号なし）／ＣＲＵＭＰＬＥ 第21類 登録6705485／ＫＩＭＵＲＡ ＧＬＡＳＳ＼ＪＡＰＡＮ 登録1908661 期限切れ(1996-11-27),一致（東京都文京区）,γ（＋β）,「木村硝子店」の文字商標は0件。ZIZI は公式ECのブランド名
3,楠橋紋織株式会社,楠橋紋織(Kusubashi Mon Ori),不明,ブランド名一致なし／別名称の存続商標あり,18/21,"ＫｕＳｕ 第24,25類 登録5149241 登録中 期限2028-07-11／図形商標 登録2138668 登録中 期限2029-05-30／わた音 第24,25類 登録5410612／ハッカチーフ 第24類 登録6193248",一致（愛媛県今治市）,γ,「楠橋紋織」「Kusubashi」の文字商標は0件
4,七福タオル株式会社,七福タオル,未登録らしい,社名を含む結合商標が登録中（ブランド名一致）,1/1,"ＳＨＩ＼ＣＨＩ＼ＦＵＫＵ∞七福タオル株式会社 第24,25,35類 登録5531483 登録中 期限2032-10-26",一致（愛媛県今治市）,α,出願人名の短縮キー「七福タオル」では0件・正式名称で1件（TMview 検索の取りこぼし例）
5,金野タオル株式会社,金野タオル,未登録らしい（直販あり）,ブランド名と一致する出願が公示中（未登録）／別名称の存続商標あり,9/10,金野タオル 第24類 2025-04-28出願 公示済み（登録番号なし）／家事ラク 第24類 登録6923702／アルファベット ルーム 第24類 登録6938341／ちぬもめん＼茅渟木綿 第24類 登録4825587,一致（大阪府泉佐野市）,β,短縮キーでは0件・正式名称で10件（取りこぼし例）。Amazon ブランド登録は出願中で可（ハルオ 02 §1-4）
6,株式会社北尾化粧品部,北尾化粧品部,未登録らしい,ブランド名と同一の文字商標が登録中,74/86,"北尾化粧品部 第3,40類 登録6803894 登録中 期限2034-05-13／ＫＩＴＡＯ ＭＡＴＣＨＡ 第35類 登録6266371／キタオマッチャコスメ 第3類 登録5982195／ＫＩＴＡＯ＼Ｓｉｎｃｅ１９１９ 第3,5類 2019出願（登録番号なし・現況未確認）",一致（大阪府大阪市）,α,出願人ヒット86件（1957年〜）。20社で最多
7,株式会社高柳製茶,株式会社 高柳製茶,未登録らしい,ブランド名一致なし／別名称の存続商標あり,6/7,"深むしかぶせ 第30,32類 登録6072370 登録中 期限2028-08-17／雫茶 第30,32類 登録6043844／ちゃつぶ 第30類 登録6034254／ＯＴＥＭＡＥ 第30類 登録6034292",一致（静岡県牧之原市）,γ,社名の文字商標は0件
8,北陸製菓株式会社,北陸製菓,不明,「北陸製菓」の文字商標なし／ブランド hokka が登録中,31/39（API 上限100件で打ち切り・実数はこれ以上）,§ｈｏｋｋａ 第30類 登録5835500 登録中 期限2036-03-25／ＨＯＫＫＡ＼ホッカ＼北菓 第30類 登録5118009 登録中 期限2028-03-14／ｈｏｋｋａのバトンビスケット 第30類 登録5890345,一致（石川県金沢市）,α′（hokka 名義なら）,Amazon の brand 表示は「北陸製菓」。ブランド登録するなら hokka 側で成立（推測・確度高）
9,株式会社宇野刷毛ブラシ製作所,（自社ブランド出品なし。SOMOTO は他社）,該当なし,なし（TMview 0件・正式名称でも0件）,0/0,— （参考）ＳＯＭＯＴＯ 第8類 登録6564376 登録中 期限2032-06-01 権利者 陳麗菊（中華人民共和国）,不一致（SOMOTO は第三者名義）,δ,OEM 先ブランド SOMOTO の権利者は中国の個人。宇野名義の商標は見つからず
10,廣田硝子株式会社,廣田硝子(Hirota Glass),不明,英字社名の商標が登録中（部分一致）／漢字社名は拒絶,32/36,ＨＩＲＯＴＡ＼ＨＩＲＯＴＡ ＧＬＡＳＳ ＣＯ．，ＬＴＤ 第21類 登録3362182 登録中 期限2027-11-21／廣田▲硝▼子 第21類 2013出願 拒絶(2014-08-25)／江戸ガラス工芸 すみだ和硝子館 第21類 登録5931393／§Ｈ 第21類 登録5689559,一致（東京都墨田区）,α（英字）,漢字「廣田硝子」は2014年に拒絶。存続商標の期限2027-11が近い（更新の有無は未確認）
11,守田漆器株式会社,ノーブランド品,未登録らしい,ブランド名一致なし／別名称の存続商標あり,2/2（API 上限100件で打ち切り・実数はこれ以上）,静寛 第21類 登録6205716 登録中 期限2029-12-13／ウスビキ 第11類 登録6123070,一致（石川県加賀市）,γ,社名の文字商標は0件。Amazon 出品は「ノーブランド品」
12,池本刷子工業株式会社,池本刷子工業(Ikemoto Brush),不明,ブランド名一致なし／別名称の存続商標あり,52/82,ＩＫＭＴ 第21類 登録6952021 登録中 期限2035-07-28／ＩＫＭＴ＼ＢＥＴＴＳ 第21類 登録7062408（2026-07-08登録）／ＤＵＢＯＩＳ＼デュボイス 第21類 登録5619154,一致（大阪府東大阪市）,γ,「池本刷子」「Ikemoto Brush」の文字商標は0件。出願人ヒット82件
13,木内籐材工業株式会社,ノーブランド品,未登録らしい,なし（TMview 0件・正式名称でも0件）,0/0,—,—,δ,
14,朝倉染布株式会社,朝倉染布,未登録らしい,ブランド名一致なし／別名称の存続商標あり,14/18,"神肌 第24類 登録6307146 登録中 期限2030-10-22／衛士の盾 第24,40類 登録6424298／ｗａｔｅｒ＼ｄａｎｃｅｒ＼ｐｒｏｄｕｃｔｓ 第5,18,21,24,25類 登録5604477／超撥水風呂敷 第24類 2006出願 拒絶(2007-11-14)",一致（群馬県桐生市）,γ,主力「超撥水風呂敷」は2007年に拒絶（普通名称と読める・推測）
15,河野製紙株式会社,河野製紙,不明（直販あり）,ブランド名と同一の文字商標が登録中,3/4（API 上限100件で打ち切り・実数はこれ以上）,河野製紙 第16類 登録6046030 登録中 期限2028-05-25／ＬＯＧＣＡＢＩＮ 第16類 登録4354747／ＧＲＥＥＮＧＡＢＬＥＳ 第16類 登録1412346,一致（高知県高知市）,α,
16,株式会社清水硝子,（Amazon 上に自社ブランド商品を確認できず）,該当なし,なし（TMview 0件・正式名称でも0件）,0/0,—,—,δ,出願人ヒット7件は同姓の個人等で無関係
17,小野甚味噌醤油醸造株式会社,小野甚味噌醤油醸造,未登録らしい,社名の文字商標なし／略称「おのじん」「§甚」が登録中,3/3,"おのじん 第30,35類 登録5748220 登録中 期限2035-03-13／§甚 第30,35類 登録5748219／琴引の塩ぽんず 第30類 登録5251931",一致（京都府京丹後市）,γ（αに近い）,Amazon の brand 表示「小野甚味噌醤油醸造」と登録商標「おのじん」は不一致
18,側島製罐株式会社,（Amazon 不在。D2C は SOBAJIMA）,該当なし,D2C ブランド名の商標が登録中,2/4,"ＳＯＢＡＪＩＭＡ ｃａｎ ＣＯＭＰＡＮＹ 第6,21,26類 登録6653090 登録中 期限2032-12-16／§ＡｃａｒＮ 第6,9,12類 登録6960271／§ＣＡＮＴＯＮＥ 2022出願（登録番号なし・現況未確認）",一致（愛知県名古屋市）,α,Amazon 参入なら SOBAJIMA でブランド登録の要件（商標）は満たす
19,本野はきもの工業,（Amazon 不在）,該当なし,なし（TMview 0件）,0/0,—,—,δ,個人事業の可能性。個人名義の出願は社名検索では拾えない（未確認）
20,田中帽子店（窓口：有限会社ビスポーク）,田中帽子店,登録済みらしい,ブランド名を含む商標が登録中・権利者は窓口会社ビスポーク,0/0（田中帽子店名義）・20/26（ビスポーク名義）,創業明治十三年＼田中帽子店 第25類 登録6666610 登録中 期限2033-01-27／創業明治十三年＼田中帽子店謹製＼Ｍａｄｅ ｉｎ Ｊａｐａｎ 第25類 登録6666611／ＲＩＮＴＯ・ＡＮＯＮ・ＭＩＬＡＧＲＯ 等（ビスポーク名義）,権利者＝有限会社ビスポーク（埼玉県越谷市）。田中帽子店名義は0件,α（権利者は窓口会社）,S-d の「ストアあり（BESPOKE が販売）」と整合。独占交渉の相手は商標権者＝ビスポーク
