社,ASIN,商品名,brand,親子,親ASIN,ルートカテゴリ,ランク本体_現在,ランク本体_30日平均,Amazon公表月販_下限,月販の層,月販推定,月販上限,新品オファー数_COUNT_NEW,Amazon本体,取り分_個月,取り分上限_個月,足切り_10点_1_8ヶ月,足切り_上限でも,価格,価格の出所,取り分月商,倍率_対3万,倍率上限,備考
大橋量器,B08KVYTSJM,一合枡 10個セット 180ml (85mm×85mm×56mm) 大橋,大橋量器,子（親 B08KXXZZ86）,B08KXXZZ86,ホーム＆キッチン,91195,103042,,推定(公表なし→0〜49の中央),24.5,49.0,1,なし,12.25,24.5,○,○,4950,"現在新品価格(NEW, 着地価格)",60638,2.02,4.04,
大橋量器,B081YSWW4X,八勺枡 10個セット 144ml (82mm×82mm×51mm) 大橋,大橋量器,子（親 B08KXXZZ86）,B08KXXZZ86,ホーム＆キッチン,91195,106831,,推定(公表なし→0〜49の中央),24.5,49.0,1,なし,12.25,24.5,○,○,4620,"現在新品価格(NEW, 着地価格)",56595,1.89,3.77,
大橋量器,B081YY6SMR,五勺枡 10個セット 90ml (67mm×67mm×47mm) 日本製,大橋量器,子（親 B08KXXZZ86）,B08KXXZZ86,ホーム＆キッチン,91221,106966,,推定(公表なし→0〜49の中央),24.5,49.0,2,なし,8.17,16.33,○,○,3960,"現在新品価格(NEW, 着地価格)",32340,1.08,2.16,
大橋量器,B081YTF84F,三勺枡 10個セット 54ml (56mm×56mm×39mm) 日本製,大橋量器,子（親 B08KXXZZ86）,B08KXXZZ86,ホーム＆キッチン,91221,107930,,推定(公表なし→0〜49の中央),24.5,49.0,2,なし,8.17,16.33,○,○,3580,"現在新品価格(NEW, 着地価格)",29237,0.97,1.95,
木村硝子店,B0753DWG67,木村硝子店 ピッコロ 10ozワイン [HD2810],木村硝子店,単体,,ホーム＆キッチン,16299,14135,100,実測(Amazon公表・階級下限),100.0,100.0,3,なし,25.0,25.0,○,○,1925,"現在新品価格(NEW, 着地価格)",48125,1.6,1.6,
木村硝子店,B0DR68878X,木村硝子店 【 ソプラノ 15oz 2脚セット 箱なし 】 ワイングラス,木村硝子店,単体,,ホーム＆キッチン,21010,23060,100,実測(Amazon公表・階級下限),100.0,100.0,1,なし,50.0,50.0,○,○,3900,"現在新品価格(NEW, 着地価格)",195000,6.5,6.5,
木村硝子店,B0FY26KFRD,木村硝子店 ピッコロ 10oz 2脚セット ワイングラス カジュアル ワ,木村硝子店,単体,,ホーム＆キッチン,21442,30657,50,実測(Amazon公表・階級下限),50.0,50.0,3,なし,12.5,12.5,○,○,3820,"現在新品価格(NEW, 着地価格)",47750,1.59,1.59,
木村硝子店,B0936R8B53,木村硝子店 ピッコロ 15ozワイン 個箱入,木村硝子店,単体,,ホーム＆キッチン,24196,28978,50,実測(Amazon公表・階級下限),50.0,50.0,2,なし,16.67,16.67,○,○,2200,"現在新品価格(NEW, 着地価格)",36667,1.22,1.22,
木村硝子店,B0H6S1J179,木村硝子店 ピッコロ 10ozワイン 6脚セット 【韋駄天食器-sele,木村硝子店,単体,,ホーム＆キッチン,28620,40933,50,実測(Amazon公表・階級下限),50.0,50.0,0,なし,50.0,50.0,○,○,9479,avg90 NEW（現在オファーなし）,473950,15.8,15.8,現在新品オファーなし
木村硝子店,B0DR68MZZJ,木村硝子店 【 ソプラノ 12oz 2脚セット 箱なし 】 ワイングラス,木村硝子店,単体,,ホーム＆キッチン,28776,56799,,推定(公表なし→0〜49の中央),24.5,49.0,2,なし,8.17,16.33,○,○,3843,"現在新品価格(NEW, 着地価格)",31384,1.05,2.09,
木村硝子店,B09KL93R8C,木村硝子 ボデガ グラス 大 510cc,木村硝子店,単体,,ホーム＆キッチン,38611,80121,,推定(公表なし→0〜49の中央),24.5,49.0,4,なし,4.9,9.8,×,○,1250,"現在新品価格(NEW, 着地価格)",6125,0.2,0.41,
木村硝子店,B088KB2WNQ,木村硝子店 ワサビ 6脚セット (10ozタンブラー),木村硝子店,子（親 B0897NGW8S）,B0897NGW8S,ホーム＆キッチン,68172,32136,,推定(公表なし→0〜49の中央),24.5,49.0,0,なし,24.5,49.0,○,○,4480,avg90 NEW（現在オファーなし）,109760,3.66,7.32,現在新品オファーなし
木村硝子店,B09B6SNCN1,木村硝子店 コンパクト(COMPACT) 12oz タンブラー グラス ,木村硝子店,単体,,ホーム＆キッチン,30670,21933,100,実測(Amazon公表・階級下限),100.0,100.0,2,あり,33.33,33.33,○,○,2420,"現在新品価格(NEW, 着地価格)",80667,2.69,2.69,
木村硝子店,B0D1C43YLM,木村硝子店 ソプラノ 15ozワイン 個箱入,木村硝子店,単体,,ホーム＆キッチン,34099,73291,,推定(公表なし→0〜49の中央),24.5,49.0,1,なし,12.25,24.5,○,○,2635,"現在新品価格(NEW, 着地価格)",32279,1.08,2.15,
楠橋紋織,B09TR8BCR9,楠橋紋織 【moritaMiW】 MiW マチ付きポーチ 樹枝のシッポの,楠橋紋織(Kusubashi Mon Ori),子（親 B09J8F72RF）,B09J8F72RF,ファッション,7520,9727,,推定(公表なし→0〜49の中央),24.5,49.0,8,あり,2.72,5.44,×,×,2350,"現在新品価格(NEW, 着地価格)",6397,0.21,0.43,
楠橋紋織,B09TR75WZC,楠橋紋織 【moritaMiW】 MiW トートバッグ 深海のダンスのタ,楠橋紋織(Kusubashi Mon Ori),子（親 B09J8F72RF）,B09J8F72RF,ファッション,7520,9681,50,実測(Amazon公表・階級下限),50.0,50.0,6,あり,7.14,7.14,○,○,4465,"現在新品価格(NEW, 着地価格)",31893,1.06,1.06,
楠橋紋織,B0943N31HK,楠橋紋織 【moritaMiW】 MiW トートバッグ 公園の大きな樹の,楠橋紋織(Kusubashi Mon Ori),子（親 B09J8F72RF）,B09J8F72RF,ファッション,7519,9633,,推定(公表なし→0〜49の中央),24.5,49.0,6,あり,3.5,7.0,×,○,4459,"現在新品価格(NEW, 着地価格)",15606,0.52,1.04,
楠橋紋織,B0943MX2HP,楠橋紋織 【moritaMiW】 MiW トートバッグ 川ほとりのニンマ,楠橋紋織(Kusubashi Mon Ori),子（親 B09J8F72RF）,B09J8F72RF,ファッション,7519,9644,,推定(公表なし→0〜49の中央),24.5,49.0,5,あり,4.08,8.17,×,○,4459,"現在新品価格(NEW, 着地価格)",18208,0.61,1.21,
楠橋紋織,B09TR6S283,楠橋紋織 【moritaMiW】 MiW マチ付きポーチ 深海のダンスの,楠橋紋織(Kusubashi Mon Ori),子（親 B09J8F72RF）,B09J8F72RF,ファッション,7520,9748,,推定(公表なし→0〜49の中央),24.5,49.0,7,あり,3.06,6.12,×,○,2410,"現在新品価格(NEW, 着地価格)",7381,0.25,0.49,
