社,ASIN数,うち子,ファミリー数,実測層,Amazon本体あり,ランク本体_中央,オファー数_中央,取り分_中央,取り分_最大,足切り通過ASIN,足切り通過ファミリー,倍率_中央,倍率_最大,取り分月商_合計_ファミリー
大橋量器,4,4,1,0,0,91208.0,1.5,10.21,12.25,4,1,1.48,2.02,60638
木村硝子店,10,1,10,6,1,28698.0,2.0,20.59,50.0,9,9,1.6,15.8,1061707
楠橋紋織,10,10,2,1,10,7520.0,6.5,3.28,7.14,2,1,0.25,1.06,20947
七福タオル,10,10,6,0,0,386044.5,1.0,12.25,24.5,10,6,0.58,1.48,169467
金野タオル,10,10,2,0,0,34267.0,2.0,8.17,12.25,10,2,0.2,0.36,13475
北尾化粧品部,10,5,6,1,0,126154.0,1.0,18.38,50.0,10,6,1.26,2.97,209122
高柳製茶,2,0,2,0,0,169997.0,1.0,12.25,12.25,2,2,4.24,6.46,254396
北陸製菓,10,2,10,5,9,37749.5,2.0,18.62,40.0,8,8,0.47,1.95,213394
宇野刷毛ブラシ製作所,0,,0,,,,,,,,,,,
廣田硝子,10,9,4,1,3,79390.5,3.5,5.56,24.5,5,3,0.63,10.33,370236
守田漆器,0,,0,,,,,,,,,,,
池本刷子工業,10,8,5,6,9,12563.0,9.5,6.35,50.0,6,4,0.23,2.48,108112
木内籐材工業,1,0,1,0,0,114366,1,12.25,12.25,1,1,10.33,10.33,309925
朝倉染布,10,0,10,0,10,84996.0,1.0,12.25,12.25,9,9,1.25,1.81,361431
河野製紙,10,2,9,4,0,29310.5,2.5,8.17,50.0,8,7,0.36,3.85,282433
小野甚味噌醤油醸造,4,3,2,0,0,785550.0,0.0,24.5,24.5,4,2,,,0
田中帽子店,10,10,2,0,0,80306.0,3.5,5.51,24.5,5,1,1.26,6.45,31442
