# 01_mc_harvest 出力（n=1500）

| 案 | 新規ロットの最終月 | 補充の最終月 | P(実質現金>0)（中央） | P20／P80 | P(累計損益>0)（中央） | P(手仕舞い値>0) | 月12の月商 中央 |
|---|---|---|---|---|---|---:|---:|
| C_best | 2027-05 | 2027-06 | 58%（+3万） | -8万／+22万 | 61%（+5万） | 61% | 0万 |
| C_best | 2027-05 | 2027-07 | 65%（+7万） | -7万／+29万 | 69%（+9万） | 69% | 4万 |
| C_best | 2027-06 | 2027-07 | 66%（+8万） | -7万／+30万 | 72%（+11万） | 72% | 5万 |
| C_best | 2027-06 | 2027-08 | 35%（-5万） | -14万／+7万 | 75%（+15万） | 75% | 28万 |
| C_best | 2027-07 | 2027-08 | 30%（-7万） | -15万／+5万 | 77%（+16万） | 76% | 31万 |
| B_best | 2027-05 | 2027-06 | 51%（+0.3万） | -10万／+20万 | 54%（+2万） | 54% | 1万 |
| B_best | 2027-05 | 2027-07 | 59%（+4万） | -9万／+29万 | 62%（+6万） | 62% | 5万 |
| B_best | 2027-06 | 2027-07 | 60%（+5万） | -9万／+30万 | 65%（+7万） | 65% | 6万 |
| B_best | 2027-06 | 2027-08 | 24%（-9万） | -15万／+2万 | 71%（+11万） | 70% | 30万 |
| B_best | 2027-07 | 2027-08 | 20%（-11万） | -17万／+0.4万 | 72%（+12万） | 71% | 34万 |
