カテゴリ,社名,名簿,会員種別,名簿URL,区分,外資の日本法人,大手（既知リスト）,従業員数（gBizINFO）,商社語を含む社名,取扱品目（名簿記載）,EC直販の有無
ホーム＆キッチン,株式会社 赤川器物製作所,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社イケダ,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,池田物産株式会社,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,ウルシヤマ金属工業株式会社,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社遠藤製作所,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社大屋製作所,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社岡部洋食器製作所,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社オダジマ,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社タカヒロ,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,有限会社スズキ商店,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,有限会社片力商事,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,はい,,未調査
ホーム＆キッチン,宗村化工株式会社,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社武田金型製作所,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,新潟合成株式会社,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社金光,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社タマハシ,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,パール金属株式会社,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社ハシモト,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社トーダイ,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,貝印株式会社,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,はい,409,,,未調査
ホーム＆キッチン,株式会社神子島製作所,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,笠原プレス工業株式会社,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社片岡製作所,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,カットウェル株式会社,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社玉虎堂製作所,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,廣田硝子株式会社,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,サーモス株式会社,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,はい,,,,未調査
ホーム＆キッチン,ササゲ工業株式会社,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社 佐野製作所,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,サミット工業株式会社,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,三宝産業株式会社,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,下村工業株式会社,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社霜鳥製作所,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社新越ワークス,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社シモリュウ,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,新光金属株式会社,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社杉安製作所,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,杉山金属株式会社,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,杉山工業株式会社,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,有限会社竹井器物製作所,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社タケコシ,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社ワクイ,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社田辺金具 第五事業部,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,燕器工株式会社,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,燕振興工業株式会社,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社中野科学,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,燕物産株式会社,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社日本メタルワークス,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,有限会社長谷元,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社 早川器物,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社 藤井器物製作所,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,藤次郎株式会社,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社フジノス,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,有限会社フナックス,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社本間製作所,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,本間冬治工業株式会社,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,丸新銅器株式会社,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社丸山技研,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社ミネックスメタル,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社 宮﨑製作所,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,山崎金属工業株式会社,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社ヨシカワ,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社和田助製作所,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,和田ステンレス工業株式会社,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,和平フレイズ株式会社,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社大泉物産,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社ワクワクック,日本金属ハウスウェア工業組合（燕）,組合員,https://houseware.jp/company/,メーカー候補,,,,,,未調査
ホーム＆キッチン,アートナップ株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社アイセン,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社アイナック,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社アサヒ興洋,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,アスベル株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,アロン化成株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,はい,526,,,未調査
ホーム＆キッチン,株式会社イシミズ,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,和泉化成株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社伊勢藤,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社伊原企販,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,イノマタ化学株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,岩崎工業株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,岩谷マテリアル株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,エビス株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社エンテック,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社オーエ,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社オーエスケー,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,大澤ワックス株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,オカ株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,オルディ株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社カワキタ,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,関西合成樹脂工業株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,関東プラスチック工業株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社共栄ライト製作所,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,クリタック株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社ケイハウス,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,国際化工株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社小森樹脂,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,サナダ精工株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,佐野屋産業株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社サワフジ,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社サンコー,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社サンコープラスチック,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,三信化工株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,信濃化学工業株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,新輝合成株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,シンコハンガー株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社伸晃,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社スエヒロ,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,スケーター株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,162,,,未調査
ホーム＆キッチン,株式会社ソーゴ,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,タイキいいづか,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社台和,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,大和物産株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,タカギ産業株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,タケヤ化学工業株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,蝶プラ工業株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,Ｔ-ＷＯＲＬＤ株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,天馬株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,はい,,,,未調査
ホーム＆キッチン,東和産業株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社トーホク,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社ナカノ,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,ナカヤ化学産業株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,ナックス株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,錦化成株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,ニシダ株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,ニッコー株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,八幡化成株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社ヒマラヤ化学工業所,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,プラテック株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,平和工業株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,ポニー化成工業株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,三宅化学株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,やなぎプロダクツ株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,山崎産業株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,山田化学株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,ヤマト化工株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,ヨコズナクリエーション株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社吉川国工業所,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,リス株式会社,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社リッチェル,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ホーム＆キッチン,株式会社ワイズ,日本プラスチック日用品工業組合,組合員,https://jpm.or.jp/kumiai/,メーカー候補,,,,,,未調査
ペット用品,アイシア株式会社,ペットフード協会,正会員,https://petfood.or.jp/outline-list/,メーカー候補,,,,,,未調査
ペット用品,アース・ペット株式会社,ペットフード協会,正会員,https://petfood.or.jp/outline-list/,メーカー候補,,はい,,,,未調査
ペット用品,アイリスオーヤマ株式会社,ペットフード協会,正会員,https://petfood.or.jp/outline-list/,メーカー候補,,はい,2282,,,未調査
ペット用品,イオントップバリュ株式会社,ペットフード協会,正会員,https://petfood.or.jp/outline-list/,非メーカー：小売,,はい,,,,未調査
ペット用品,イースター株式会社,ペットフード協会,正会員,https://petfood.or.jp/outline-list/,メーカー候補,,,,,,未調査
ペット用品,株式会社イトウアンドカンパニーリミテッド,ペットフード協会,正会員,https://petfood.or.jp/outline-list/,メーカー候補,,,,,,未調査
